root_id,slot_name,slot_type,domain,constraint,purpose,corpus_role
PG_BOOL_R006,operator,text_cmp,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R006,rhs,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R007,lhs,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R007,operator,text_cmp,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R007,rhs,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R008,lhs,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R008,operator,text_cmp,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R008,rhs,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R009,lhs,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R009,operator,text_cmp,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R009,rhs,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R010,lhs,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R010,operator,text_cmp,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R010,rhs,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R011,predicate,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R012,predicate,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R013,predicate,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R014,predicate,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R015,predicate,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R016,value,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R016,low,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R016,high,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R016,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R017,value,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R017,low,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R017,high,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R017,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R018,value,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R018,low,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R018,high,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R018,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R019,value,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R019,low,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R019,high,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R019,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R020,value,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R020,low,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R020,high,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R020,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R021,value,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R021,list,int[],generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R021,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R022,value,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R022,list,int[],generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R022,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R023,value,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R023,list,int[],generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R023,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R024,value,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R024,list,int[],generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R024,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R025,value,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R025,list,int[],generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R025,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R026,value,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R026,array,int[],generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R026,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R027,value,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R027,array,int[],generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R027,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R028,value,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R028,array,int[],generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R028,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R029,value,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R029,array,int[],generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R029,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R030,value,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R030,array,int[],generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R030,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R031,text,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R031,pattern,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R031,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R032,text,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R032,pattern,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R032,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R033,text,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R033,pattern,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R033,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R034,text,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R034,pattern,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R034,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R035,text,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R035,pattern,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R035,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R036,text,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R036,pattern,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R036,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R037,text,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R037,pattern,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R037,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R038,text,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R038,pattern,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R038,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R039,text,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R039,pattern,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R039,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R040,text,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R040,pattern,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R040,form,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R041,function,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R041,text,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R041,rhs,typed,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R042,function,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R042,text,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R042,rhs,typed,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R043,function,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R043,text,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R043,rhs,typed,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R044,function,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R044,text,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R044,rhs,typed,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R045,function,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R045,text,text,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R045,rhs,typed,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R046,arith,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R046,operands,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R047,arith,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R047,operands,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R048,arith,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R048,operands,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R049,arith,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R049,operands,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R050,arith,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R050,operands,int,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R051,array,int[],generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R051,op,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R052,array,int[],generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R052,op,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R053,array,int[],generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R053,op,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R054,array,int[],generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R054,op,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R055,array,int[],generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R055,op,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R056,left,"int,int",generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R056,right,"int,int",generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R056,op,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R057,left,"int,int",generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R057,right,"int,int",generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R057,op,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R058,left,"int,int",generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R058,right,"int,int",generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R058,op,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R059,left,"int,int",generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R059,right,"int,int",generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R059,op,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R060,left,"int,int",generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R060,right,"int,int",generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R060,op,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R061,conditional,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R061,operands,typed,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R062,conditional,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R062,operands,typed,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R063,conditional,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R063,operands,typed,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R064,conditional,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R064,operands,typed,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R065,conditional,enum,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
PG_BOOL_R065,operands,typed,generator-controlled typed literal/operator domain,Must preserve root semantic signature and expected truth target.,SeqGAN lineage + pre-training quality control,seqgan_attack_source
