row_index,field,old_value,new_value,rule,reason
413,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
414,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
417,reasoning,Case when for Firebird blind,,R6,Reasoning quality: Only 28 chars (need >= 30)
419,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
421,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
423,reasoning,END keyword without context,,R6,Reasoning quality: Only 27 chars (need >= 30)
424,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
425,reasoning,pg_sleep() for time blind,,R6,Reasoning quality: Only 25 chars (need >= 30)
426,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
428,reasoning,pg_sleep() for time blind,,R6,Reasoning quality: Only 25 chars (need >= 30)
430,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
432,reasoning,benchmark() for time blind,,R6,Reasoning quality: Only 26 chars (need >= 30)
434,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
438,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
439,reasoning,iif() for MSSQL boolean blind,,R6,Reasoning quality: Only 29 chars (need >= 30)
441,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
443,reasoning,elt() for boolean blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
444,reasoning,rlike() for boolean blind,,R6,Reasoning quality: Only 25 chars (need >= 30)
447,reasoning,benchmark() for time blind,,R6,Reasoning quality: Only 26 chars (need >= 30)
449,reasoning,END keyword without context,,R6,Reasoning quality: Only 27 chars (need >= 30)
450,reasoning,pg_sleep() for time blind,,R6,Reasoning quality: Only 25 chars (need >= 30)
452,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
454,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
456,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
457,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
460,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
463,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
467,reasoning,make_set() for boolean blind,,R6,Reasoning quality: Only 28 chars (need >= 30)
469,reasoning,END keyword without context,,R6,Reasoning quality: Only 27 chars (need >= 30)
472,reasoning,ORDER BY without context,,R6,Reasoning quality: Only 24 chars (need >= 30)
473,reasoning,OR equality for boolean blind,,R6,Reasoning quality: Only 29 chars (need >= 30)
474,reasoning,OR equality for boolean blind,,R6,Reasoning quality: Only 29 chars (need >= 30)
478,reasoning,pg_sleep() for time blind,,R6,Reasoning quality: Only 25 chars (need >= 30)
479,reasoning,pg_sleep() for time blind,,R6,Reasoning quality: Only 25 chars (need >= 30)
482,reasoning,sleep() for time blind,,R6,Reasoning quality: Only 22 chars (need >= 30)
483,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
485,reasoning,OR LIKE for boolean blind,,R6,Reasoning quality: Only 25 chars (need >= 30)
487,reasoning,Multiple sysusers table join,,R6,Reasoning quality: Only 28 chars (need >= 30)
488,db_engine,oracle,mysql,R4,"SLEEP() is MySQL function, not Oracle"
488,reasoning,sleep() for Oracle time blind,,R6,Reasoning quality: Only 29 chars (need >= 30)
492,reasoning,AND equality for blind,,R6,Reasoning quality: Only 22 chars (need >= 30)
493,reasoning,OR comparison for blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
494,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
495,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
496,reasoning,Multiple domain table join,,R6,Reasoning quality: Only 26 chars (need >= 30)
497,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
500,reasoning,randomblob() for time blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
501,reasoning,benchmark() for time blind,,R6,Reasoning quality: Only 26 chars (need >= 30)
502,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
504,reasoning,sleep() for time blind,,R6,Reasoning quality: Only 22 chars (need >= 30)
505,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
506,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
508,reasoning,rlike() for boolean blind,,R6,Reasoning quality: Only 25 chars (need >= 30)
509,reasoning,OR equality for boolean blind,,R6,Reasoning quality: Only 29 chars (need >= 30)
514,reasoning,OR comparison for blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
515,reasoning,OR equality for blind,,R6,Reasoning quality: Only 21 chars (need >= 30)
517,reasoning,randomblob() for time blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
518,reasoning,OR comparison for blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
521,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
522,reasoning,randomblob() for time blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
523,reasoning,SELECT IF for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
526,reasoning,Multiple sysusers table join,,R6,Reasoning quality: Only 28 chars (need >= 30)
529,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
531,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
537,reasoning,Multiple all_users table join,,R6,Reasoning quality: Only 29 chars (need >= 30)
538,reasoning,SELECT without clear type,,R6,Reasoning quality: Only 25 chars (need >= 30)
539,reasoning,OR comparison for blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
540,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
545,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
547,reasoning,Case when for Firebird blind,,R6,Reasoning quality: Only 28 chars (need >= 30)
548,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
549,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
551,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
552,reasoning,Multiple all_users table join,,R6,Reasoning quality: Only 29 chars (need >= 30)
554,reasoning,OR comparison for blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
555,reasoning,SELECT without clear type,,R6,Reasoning quality: Only 25 chars (need >= 30)
557,reasoning,make_set() for boolean blind,,R6,Reasoning quality: Only 28 chars (need >= 30)
558,reasoning,SELECT IF for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
560,reasoning,sleep() for time blind,,R6,Reasoning quality: Only 22 chars (need >= 30)
563,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
564,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
566,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
567,reasoning,Case when for Firebird blind,,R6,Reasoning quality: Only 28 chars (need >= 30)
571,reasoning,randomblob() for time blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
572,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
574,reasoning,benchmark() for time blind,,R6,Reasoning quality: Only 26 chars (need >= 30)
575,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
576,reasoning,Case when for Firebird blind,,R6,Reasoning quality: Only 28 chars (need >= 30)
577,reasoning,Multiple sysusers table join,,R6,Reasoning quality: Only 28 chars (need >= 30)
578,reasoning,benchmark() for time blind,,R6,Reasoning quality: Only 26 chars (need >= 30)
579,reasoning,Multiple sysusers table join,,R6,Reasoning quality: Only 28 chars (need >= 30)
580,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
581,reasoning,CAST with char for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
582,reasoning,Multiplication for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
583,reasoning,AND equality for blind,,R6,Reasoning quality: Only 22 chars (need >= 30)
584,reasoning,Multiplication comparison,,R6,Reasoning quality: Only 25 chars (need >= 30)
587,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
588,reasoning,randomblob() for time blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
589,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
590,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
591,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
593,reasoning,benchmark() for time blind,,R6,Reasoning quality: Only 26 chars (need >= 30)
595,reasoning,sleep() for time blind,,R6,Reasoning quality: Only 22 chars (need >= 30)
596,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
597,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
598,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
599,reasoning,AND equality for blind,,R6,Reasoning quality: Only 22 chars (need >= 30)
600,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
601,reasoning,sleep() for time blind,,R6,Reasoning quality: Only 22 chars (need >= 30)
606,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
607,reasoning,ORDER BY without full query,,R6,Reasoning quality: Only 27 chars (need >= 30)
609,reasoning,CASE WHEN for MSSQL blind,,R6,Reasoning quality: Only 25 chars (need >= 30)
610,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
611,reasoning,pg_sleep() for time blind,,R6,Reasoning quality: Only 25 chars (need >= 30)
612,reasoning,OR equality for blind,,R6,Reasoning quality: Only 21 chars (need >= 30)
613,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
614,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
616,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
618,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
621,reasoning,Multiple domain table join,,R6,Reasoning quality: Only 26 chars (need >= 30)
622,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
627,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
629,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
630,reasoning,sleep() for time blind,,R6,Reasoning quality: Only 22 chars (need >= 30)
636,reasoning,OR comparison for blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
637,reasoning,Multiple systables join,,R6,Reasoning quality: Only 23 chars (need >= 30)
638,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
639,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
640,reasoning,OR equality for blind,,R6,Reasoning quality: Only 21 chars (need >= 30)
641,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
643,reasoning,ORDER BY without context,,R6,Reasoning quality: Only 24 chars (need >= 30)
644,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
645,reasoning,OR comparison for blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
646,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
647,reasoning,sleep() for time blind,,R6,Reasoning quality: Only 22 chars (need >= 30)
648,reasoning,elt() for boolean blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
649,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
650,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
651,reasoning,CONVERT for MSSQL blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
653,reasoning,CONVERT for MSSQL blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
655,reasoning,OR equality for blind,,R6,Reasoning quality: Only 21 chars (need >= 30)
659,reasoning,OR comparison for blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
660,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
661,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
662,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
663,reasoning,Multiplication for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
664,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
665,reasoning,OR equality for blind,,R6,Reasoning quality: Only 21 chars (need >= 30)
666,reasoning,CAST for PostgreSQL blind,,R6,Reasoning quality: Only 25 chars (need >= 30)
667,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
668,reasoning,CAST for PostgreSQL blind,,R6,Reasoning quality: Only 25 chars (need >= 30)
669,reasoning,elt() for boolean blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
670,reasoning,make_set() for boolean blind,,R6,Reasoning quality: Only 28 chars (need >= 30)
671,reasoning,OR comparison for blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
672,reasoning,Case when for Firebird blind,,R6,Reasoning quality: Only 28 chars (need >= 30)
673,reasoning,CASE WHEN for MSSQL blind,,R6,Reasoning quality: Only 25 chars (need >= 30)
674,reasoning,CAST for PostgreSQL blind,,R6,Reasoning quality: Only 25 chars (need >= 30)
675,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
676,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
677,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
678,reasoning,iif() for MSSQL boolean blind,,R6,Reasoning quality: Only 29 chars (need >= 30)
683,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
684,reasoning,Case when for Firebird blind,,R6,Reasoning quality: Only 28 chars (need >= 30)
686,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
689,reasoning,END keyword without context,,R6,Reasoning quality: Only 27 chars (need >= 30)
691,reasoning,Multiplication for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
693,reasoning,elt() for boolean blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
694,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
698,reasoning,OR comparison for blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
699,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
700,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
702,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
703,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
708,reasoning,SELECT IF for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
709,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
710,reasoning,OR comparison for blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
711,reasoning,Multiple domain table join,,R6,Reasoning quality: Only 26 chars (need >= 30)
713,reasoning,benchmark() for time blind,,R6,Reasoning quality: Only 26 chars (need >= 30)
714,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
715,reasoning,elt() for boolean blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
716,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
719,reasoning,OR equality for blind,,R6,Reasoning quality: Only 21 chars (need >= 30)
720,reasoning,END keyword without context,,R6,Reasoning quality: Only 27 chars (need >= 30)
721,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
723,reasoning,elt() for boolean blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
726,reasoning,benchmark() for time blind,,R6,Reasoning quality: Only 26 chars (need >= 30)
729,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
730,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
731,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
733,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
734,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
735,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
736,reasoning,benchmark() for time blind,,R6,Reasoning quality: Only 26 chars (need >= 30)
737,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
738,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
740,reasoning,CAST with char for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
741,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
742,reasoning,OR comparison for blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
745,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
746,reasoning,sleep() for time blind,,R6,Reasoning quality: Only 22 chars (need >= 30)
749,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
750,reasoning,pg_sleep() for time blind,,R6,Reasoning quality: Only 25 chars (need >= 30)
751,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
753,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
755,reasoning,Multiple domain table join,,R6,Reasoning quality: Only 26 chars (need >= 30)
756,reasoning,Multiple all_users table join,,R6,Reasoning quality: Only 29 chars (need >= 30)
757,reasoning,CONVERT for MSSQL blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
761,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
762,reasoning,sleep() for time blind,,R6,Reasoning quality: Only 22 chars (need >= 30)
763,reasoning,SELECT IF for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
765,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
766,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
768,reasoning,Multiple all_users table join,,R6,Reasoning quality: Only 29 chars (need >= 30)
770,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
771,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
774,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
775,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
776,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
777,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
778,reasoning,sleep() for time blind,,R6,Reasoning quality: Only 22 chars (need >= 30)
779,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
781,reasoning,sleep() for time blind,,R6,Reasoning quality: Only 22 chars (need >= 30)
782,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
783,reasoning,Multiple domain table join,,R6,Reasoning quality: Only 26 chars (need >= 30)
784,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
785,reasoning,SELECT without clear type,,R6,Reasoning quality: Only 25 chars (need >= 30)
786,reasoning,Multiple domain table join,,R6,Reasoning quality: Only 26 chars (need >= 30)
788,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
789,reasoning,Multiple domain table join,,R6,Reasoning quality: Only 26 chars (need >= 30)
790,reasoning,OR comparison for blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
791,reasoning,SELECT without clear type,,R6,Reasoning quality: Only 25 chars (need >= 30)
792,reasoning,sleep() for time blind,,R6,Reasoning quality: Only 22 chars (need >= 30)
793,reasoning,OR comparison for blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
796,reasoning,sleep() for time blind,,R6,Reasoning quality: Only 22 chars (need >= 30)
798,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
799,reasoning,Multiplication for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
800,reasoning,CAST for PostgreSQL blind,,R6,Reasoning quality: Only 25 chars (need >= 30)
802,reasoning,OR comparison for blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
803,reasoning,Multiple domain table join,,R6,Reasoning quality: Only 26 chars (need >= 30)
807,reasoning,make_set() for boolean blind,,R6,Reasoning quality: Only 28 chars (need >= 30)
808,reasoning,randomblob() for time blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
811,reasoning,make_set() for boolean blind,,R6,Reasoning quality: Only 28 chars (need >= 30)
812,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
813,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
815,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
816,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
817,reasoning,sleep() for time blind,,R6,Reasoning quality: Only 22 chars (need >= 30)
819,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
820,reasoning,OR comparison for blind,,R6,Reasoning quality: Only 23 chars (need >= 30)
821,reasoning,SELECT without clear type,,R6,Reasoning quality: Only 25 chars (need >= 30)
822,reasoning,WHERE equality for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
823,reasoning,Multiplication for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
826,reasoning,Multiplication for blind,,R6,Reasoning quality: Only 24 chars (need >= 30)
828,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
829,reasoning,UNION ALL for union-based,,R6,Reasoning quality: Only 25 chars (need >= 30)
830,reasoning,benchmark() for time blind,,R6,Reasoning quality: Only 26 chars (need >= 30)
831,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
832,reasoning,CASE WHEN for boolean blind,,R6,Reasoning quality: Only 27 chars (need >= 30)
