structure_cell_id,root_id,y_level,semantic_family,cell_index,cell_recipe,expected_samples,required_tokens,skeleton_reference,structure_signature,cell_contract
PG_BOOL_R002_C01,PG_BOOL_R002,Y2,comparison_numeric,1,base_predicate,6,<|<>|>,INT <> INT,805cc0cc64949cf77f091ae0,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C02,PG_BOOL_R002,Y2,comparison_numeric,2,parenthesized_predicate,6,<|<>|>,(INT <> INT),9c4cd6972322d2ac2ad97722,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C03,PG_BOOL_R002,Y2,comparison_numeric,3,negated_inverse_predicate,6,<|<>|>|NOT,NOT (INT <> INT),624f1699cd69648f4195eb4e,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C04,PG_BOOL_R002,Y2,comparison_numeric,4,is_true_wrapper,6,<|<>|>|IS|TRUE,(INT <> INT) IS TRUE,f4d3683cb29dc3b49c6f91c7,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C05,PG_BOOL_R002,Y2,comparison_numeric,5,is_not_false_wrapper,6,<|<>|>|FALSE|IS|NOT,(INT <> INT) IS NOT FALSE,8f37a914db1f21f4f9f1a0fd,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C06,PG_BOOL_R002,Y2,comparison_numeric,6,case_boolean_wrapper,6,<|<>|>|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (INT <> INT) THEN TRUE ELSE FALSE END,553cd3c00b3bd2106ff7aaaa,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C07,PG_BOOL_R002,Y2,comparison_numeric,7,and_true_guard,6,<|<>|=|>|AND,(INT <> INT) AND (INT = INT),00e444d0f28e13baf1a39127,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C08,PG_BOOL_R002,Y2,comparison_numeric,8,or_false_guard,6,<|<>|>|OR,(INT <> INT) OR (INT <> INT),c73de67594fb9331a586b977,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C09,PG_BOOL_R002,Y2,comparison_numeric,9,equals_true_wrapper,6,<|<>|=|>|TRUE,((INT <> INT) = TRUE),2c5981d4add454f484f1bd06,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R002_C10,PG_BOOL_R002,Y2,comparison_numeric,10,coalesce_false_wrapper,6,<|<>|>|COALESCE|FALSE,"COALESCE((INT <> INT), FALSE)",40866d3b11113c53e84a8724,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R003_C01,PG_BOOL_R003,Y2,comparison_numeric,1,base_predicate,6,>,INT > INT,c93ab66a52abbb6a88313038,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R003_C02,PG_BOOL_R003,Y2,comparison_numeric,2,parenthesized_predicate,6,>,(INT > INT),8a0a1fc9acce7d27ad554e37,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R003_C03,PG_BOOL_R003,Y2,comparison_numeric,3,negated_inverse_predicate,6,>|NOT,NOT (INT > INT),74e969e24bfc20601f071dda,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R003_C04,PG_BOOL_R003,Y2,comparison_numeric,4,is_true_wrapper,6,>|IS|TRUE,(INT > INT) IS TRUE,b24120a3078f9700bd0c1d1c,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R003_C05,PG_BOOL_R003,Y2,comparison_numeric,5,is_not_false_wrapper,6,>|FALSE|IS|NOT,(INT > INT) IS NOT FALSE,c5dcf4713ef7867737bea519,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R003_C06,PG_BOOL_R003,Y2,comparison_numeric,6,case_boolean_wrapper,6,>|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (INT > INT) THEN TRUE ELSE FALSE END,1de30ad53090bf2f9357f5cf,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R003_C07,PG_BOOL_R003,Y2,comparison_numeric,7,and_true_guard,6,=|>|AND,(INT > INT) AND (INT = INT),ba00d1e11cf972f123c29885,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R003_C08,PG_BOOL_R003,Y2,comparison_numeric,8,or_false_guard,6,<|<>|>|OR,(INT > INT) OR (INT <> INT),1ffc611af0d98ff117004725,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R003_C09,PG_BOOL_R003,Y2,comparison_numeric,9,equals_true_wrapper,6,=|>|TRUE,((INT > INT) = TRUE),e0beb876538593b516edeaa4,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R003_C10,PG_BOOL_R003,Y2,comparison_numeric,10,coalesce_false_wrapper,6,>|COALESCE|FALSE,"COALESCE((INT > INT), FALSE)",377b8c58ca5b08de1951ca13,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R004_C01,PG_BOOL_R004,Y2,comparison_numeric,1,base_predicate,6,<|<=|=,INT <= INT,2e51fc7d425ebdd54091fc68,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R004_C02,PG_BOOL_R004,Y2,comparison_numeric,2,parenthesized_predicate,6,<|<=|=,(INT <= INT),030c2b49f4cb791676c6645a,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R004_C03,PG_BOOL_R004,Y2,comparison_numeric,3,negated_inverse_predicate,6,<|<=|=|NOT,NOT (INT <= INT),16d3d60d88a7a8b745ee6a33,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R004_C04,PG_BOOL_R004,Y2,comparison_numeric,4,is_true_wrapper,6,<|<=|=|IS|TRUE,(INT <= INT) IS TRUE,8bec26df9400368f7aadad83,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R004_C05,PG_BOOL_R004,Y2,comparison_numeric,5,is_not_false_wrapper,6,<|<=|=|FALSE|IS|NOT,(INT <= INT) IS NOT FALSE,26b8d894e24e43ca04f3bf9b,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R004_C06,PG_BOOL_R004,Y2,comparison_numeric,6,case_boolean_wrapper,6,<|<=|=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (INT <= INT) THEN TRUE ELSE FALSE END,75de4677f4f4088c7440233b,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R004_C07,PG_BOOL_R004,Y2,comparison_numeric,7,and_true_guard,6,<|<=|=|AND,(INT <= INT) AND (INT = INT),252f1fdf39c80a363be42f07,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R004_C08,PG_BOOL_R004,Y2,comparison_numeric,8,or_false_guard,6,<|<=|<>|=|>|OR,(INT <= INT) OR (INT <> INT),1d35e78d8e4bd35a2868a5dd,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R004_C09,PG_BOOL_R004,Y2,comparison_numeric,9,equals_true_wrapper,6,<|<=|=|TRUE,((INT <= INT) = TRUE),9ac8b77a8ff79182b54e4230,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R004_C10,PG_BOOL_R004,Y2,comparison_numeric,10,coalesce_false_wrapper,6,<|<=|=|COALESCE|FALSE,"COALESCE((INT <= INT), FALSE)",fa4875c0ec78e25f20854a7b,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R005_C01,PG_BOOL_R005,Y2,comparison_numeric,1,base_predicate,6,=,(INT + INT) = INT,a7f4f750118400b1353a75d6,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R005_C02,PG_BOOL_R005,Y2,comparison_numeric,2,parenthesized_predicate,6,=,((INT + INT) = INT),017af7cdf98ffe1e034d40b1,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R005_C03,PG_BOOL_R005,Y2,comparison_numeric,3,negated_inverse_predicate,6,=|NOT,NOT ((INT + INT) = INT),2ab31711f76f8bb3df7590a2,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R005_C04,PG_BOOL_R005,Y2,comparison_numeric,4,is_true_wrapper,6,=|IS|TRUE,((INT + INT) = INT) IS TRUE,6703649be46970ed9df6bcd2,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R005_C05,PG_BOOL_R005,Y2,comparison_numeric,5,is_not_false_wrapper,6,=|FALSE|IS|NOT,((INT + INT) = INT) IS NOT FALSE,1bf95c8928fe1a89d2595129,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R005_C06,PG_BOOL_R005,Y2,comparison_numeric,6,case_boolean_wrapper,6,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN ((INT + INT) = INT) THEN TRUE ELSE FALSE END,de54578e9ab79b59c4e63b68,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R005_C07,PG_BOOL_R005,Y2,comparison_numeric,7,and_true_guard,6,=|AND,((INT + INT) = INT) AND (INT = INT),f3579a2195c44412374b1444,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R005_C08,PG_BOOL_R005,Y2,comparison_numeric,8,or_false_guard,6,<|<>|=|>|OR,((INT + INT) = INT) OR (INT <> INT),4bd75437619811434f998259,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R005_C09,PG_BOOL_R005,Y2,comparison_numeric,9,equals_true_wrapper,6,=|TRUE,(((INT + INT) = INT) = TRUE),a6be2df7cd21db4275c6dc48,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R005_C10,PG_BOOL_R005,Y2,comparison_numeric,10,coalesce_false_wrapper,6,=|COALESCE|FALSE,"COALESCE(((INT + INT) = INT), FALSE)",2bb86918e1180282ad720864,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R006_C01,PG_BOOL_R006,Y2,comparison_text,1,base_predicate,6,=,STR = STR,d9a864d3d9046f421aa08372,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R006_C02,PG_BOOL_R006,Y2,comparison_text,2,parenthesized_predicate,6,=,(STR = STR),9a9d650dcdb2afcd4d09f5ed,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R006_C03,PG_BOOL_R006,Y2,comparison_text,3,negated_inverse_predicate,6,=|NOT,NOT (STR = STR),abb6a62a88c76f6f385764a0,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R006_C04,PG_BOOL_R006,Y2,comparison_text,4,is_true_wrapper,6,=|IS|TRUE,(STR = STR) IS TRUE,ea9c8444bda72936222c2688,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R006_C05,PG_BOOL_R006,Y2,comparison_text,5,is_not_false_wrapper,6,=|FALSE|IS|NOT,(STR = STR) IS NOT FALSE,2bf11cd507b3b7dd91c161bb,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R006_C06,PG_BOOL_R006,Y2,comparison_text,6,case_boolean_wrapper,6,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (STR = STR) THEN TRUE ELSE FALSE END,6dd9fa549da92cb4830528a6,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R006_C07,PG_BOOL_R006,Y2,comparison_text,7,and_true_guard,6,=|AND,(STR = STR) AND (INT = INT),74d9d35f7e8f5a5b1021f5e7,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R006_C08,PG_BOOL_R006,Y2,comparison_text,8,or_false_guard,6,<|<>|=|>|OR,(STR = STR) OR (INT <> INT),d809746c0e1982a611449c52,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R006_C09,PG_BOOL_R006,Y2,comparison_text,9,equals_true_wrapper,6,=|TRUE,((STR = STR) = TRUE),7787787518329bb4da166aa2,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R006_C10,PG_BOOL_R006,Y2,comparison_text,10,coalesce_false_wrapper,6,=|COALESCE|FALSE,"COALESCE((STR = STR), FALSE)",bf5b75718745aa983a570d91,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R007_C01,PG_BOOL_R007,Y2,comparison_text,1,base_predicate,6,<|<>|>,STR <> STR,e962edb178333627ce3839f8,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R007_C02,PG_BOOL_R007,Y2,comparison_text,2,parenthesized_predicate,6,<|<>|>,(STR <> STR),fc1c1aa84211a4ef5c487ca0,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R007_C03,PG_BOOL_R007,Y2,comparison_text,3,negated_inverse_predicate,6,<|<>|>|NOT,NOT (STR <> STR),4707623a6fff0340e675b6b7,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R007_C04,PG_BOOL_R007,Y2,comparison_text,4,is_true_wrapper,6,<|<>|>|IS|TRUE,(STR <> STR) IS TRUE,4430d5571f693204f170fec5,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R007_C05,PG_BOOL_R007,Y2,comparison_text,5,is_not_false_wrapper,6,<|<>|>|FALSE|IS|NOT,(STR <> STR) IS NOT FALSE,9a371611a842fda36dd76889,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R007_C06,PG_BOOL_R007,Y2,comparison_text,6,case_boolean_wrapper,6,<|<>|>|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (STR <> STR) THEN TRUE ELSE FALSE END,0c25cfd5d004feaacfd471b2,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R007_C07,PG_BOOL_R007,Y2,comparison_text,7,and_true_guard,6,<|<>|=|>|AND,(STR <> STR) AND (INT = INT),ca24fb6238b3298bc737eb33,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R007_C08,PG_BOOL_R007,Y2,comparison_text,8,or_false_guard,6,<|<>|>|OR,(STR <> STR) OR (INT <> INT),8f0d9ee15128a0c8f44ca4cf,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R007_C09,PG_BOOL_R007,Y2,comparison_text,9,equals_true_wrapper,6,<|<>|=|>|TRUE,((STR <> STR) = TRUE),2ae976146bca9335243ed711,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R007_C10,PG_BOOL_R007,Y2,comparison_text,10,coalesce_false_wrapper,6,<|<>|>|COALESCE|FALSE,"COALESCE((STR <> STR), FALSE)",9252d7bb0bb72ed7aa241618,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R008_C01,PG_BOOL_R008,Y2,comparison_text,1,base_predicate,6,=,LOWER(STR) = STR,34b9b8defa203424ab3acaa6,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R008_C02,PG_BOOL_R008,Y2,comparison_text,2,parenthesized_predicate,6,=,(LOWER(STR) = STR),042eaa9ada23d4be7625b21f,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R008_C03,PG_BOOL_R008,Y2,comparison_text,3,negated_inverse_predicate,6,=|NOT,NOT (LOWER(STR) = STR),4e64aa218ef5b8678af139b8,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R008_C04,PG_BOOL_R008,Y2,comparison_text,4,is_true_wrapper,6,=|IS|TRUE,(LOWER(STR) = STR) IS TRUE,3a9342c4bbc9c254e6c47989,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R008_C05,PG_BOOL_R008,Y2,comparison_text,5,is_not_false_wrapper,6,=|FALSE|IS|NOT,(LOWER(STR) = STR) IS NOT FALSE,008481e62ae1397e814b77b2,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R008_C06,PG_BOOL_R008,Y2,comparison_text,6,case_boolean_wrapper,6,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (LOWER(STR) = STR) THEN TRUE ELSE FALSE END,dbc56f3008d84cfb9b821c90,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R008_C07,PG_BOOL_R008,Y2,comparison_text,7,and_true_guard,6,=|AND,(LOWER(STR) = STR) AND (INT = INT),358bce4b3b0a277f4f5bc41a,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R008_C08,PG_BOOL_R008,Y2,comparison_text,8,or_false_guard,6,<|<>|=|>|OR,(LOWER(STR) = STR) OR (INT <> INT),e7d261b466d50318a1372604,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R008_C09,PG_BOOL_R008,Y2,comparison_text,9,equals_true_wrapper,6,=|TRUE,((LOWER(STR) = STR) = TRUE),2c640bb1d7357a1f8d59f735,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R008_C10,PG_BOOL_R008,Y2,comparison_text,10,coalesce_false_wrapper,6,=|COALESCE|FALSE,"COALESCE((LOWER(STR) = STR), FALSE)",3d8d85e58ca78802e7e17fb8,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R009_C01,PG_BOOL_R009,Y2,comparison_text,1,base_predicate,6,=,CHAR_LENGTH(STR) = INT,1e7ea32ca87a4bc72e15510e,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R009_C02,PG_BOOL_R009,Y2,comparison_text,2,parenthesized_predicate,6,=,(CHAR_LENGTH(STR) = INT),7f06eba063241d45957e14f3,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R009_C03,PG_BOOL_R009,Y2,comparison_text,3,negated_inverse_predicate,6,=|NOT,NOT (CHAR_LENGTH(STR) = INT),8eae85aaae3af9dd8d5995e4,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R009_C04,PG_BOOL_R009,Y2,comparison_text,4,is_true_wrapper,6,=|IS|TRUE,(CHAR_LENGTH(STR) = INT) IS TRUE,7e85bc433bc5e97e24b9dff4,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R009_C05,PG_BOOL_R009,Y2,comparison_text,5,is_not_false_wrapper,6,=|FALSE|IS|NOT,(CHAR_LENGTH(STR) = INT) IS NOT FALSE,cf841e4894ea2829b721dd1f,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R009_C06,PG_BOOL_R009,Y2,comparison_text,6,case_boolean_wrapper,6,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (CHAR_LENGTH(STR) = INT) THEN TRUE ELSE FALSE END,49bf17936cc192894eb9b240,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R009_C07,PG_BOOL_R009,Y2,comparison_text,7,and_true_guard,6,=|AND,(CHAR_LENGTH(STR) = INT) AND (INT = INT),e1b2a2ba01d50ac574e3fb05,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R009_C08,PG_BOOL_R009,Y2,comparison_text,8,or_false_guard,6,<|<>|=|>|OR,(CHAR_LENGTH(STR) = INT) OR (INT <> INT),2c8d86b655c2f92c1decc7c4,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R009_C09,PG_BOOL_R009,Y2,comparison_text,9,equals_true_wrapper,6,=|TRUE,((CHAR_LENGTH(STR) = INT) = TRUE),f36521b2ca9d6dbe947c3e1d,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R009_C10,PG_BOOL_R009,Y2,comparison_text,10,coalesce_false_wrapper,6,=|COALESCE|FALSE,"COALESCE((CHAR_LENGTH(STR) = INT), FALSE)",c0718c21f4a3949c9bdaae0c,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R010_C01,PG_BOOL_R010,Y2,comparison_text,1,base_predicate,6,>|IN,POSITION(STR IN STR) > INT,5021d84f16768392d3f70f7f,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R010_C02,PG_BOOL_R010,Y2,comparison_text,2,parenthesized_predicate,6,>|IN,(POSITION(STR IN STR) > INT),a57ff92170ff64d3c64127c4,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R010_C03,PG_BOOL_R010,Y2,comparison_text,3,negated_inverse_predicate,6,>|IN|NOT,NOT (POSITION(STR IN STR) > INT),69001f7830bea16a7ef30481,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R010_C04,PG_BOOL_R010,Y2,comparison_text,4,is_true_wrapper,6,>|IN|IS|TRUE,(POSITION(STR IN STR) > INT) IS TRUE,800158a763d6168349261d9d,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R010_C05,PG_BOOL_R010,Y2,comparison_text,5,is_not_false_wrapper,6,>|FALSE|IN|IS|NOT,(POSITION(STR IN STR) > INT) IS NOT FALSE,a18f0dec783b695ea3bbedd2,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R010_C06,PG_BOOL_R010,Y2,comparison_text,6,case_boolean_wrapper,6,>|CASE|ELSE|END|FALSE|IN|THEN|TRUE|WHEN,CASE WHEN (POSITION(STR IN STR) > INT) THEN TRUE ELSE FALSE END,5b9d6579f02f131813455b47,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R010_C07,PG_BOOL_R010,Y2,comparison_text,7,and_true_guard,6,=|>|AND|IN,(POSITION(STR IN STR) > INT) AND (INT = INT),0c2aa7a7f7b58c044f55ae0a,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R010_C08,PG_BOOL_R010,Y2,comparison_text,8,or_false_guard,6,<|<>|>|IN|OR,(POSITION(STR IN STR) > INT) OR (INT <> INT),a2fdffbbc8d1e59467affb09,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R010_C09,PG_BOOL_R010,Y2,comparison_text,9,equals_true_wrapper,6,=|>|IN|TRUE,((POSITION(STR IN STR) > INT) = TRUE),2c23112620ef4a71abc2b3ff,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R010_C10,PG_BOOL_R010,Y2,comparison_text,10,coalesce_false_wrapper,6,>|COALESCE|FALSE|IN,"COALESCE((POSITION(STR IN STR) > INT), FALSE)",0b84393a4e182c64929f7927,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R011_C01,PG_BOOL_R011,Y2,null_boolean,1,base_predicate,6,IS|NULL,NULL IS NULL,feee9e90753626b68e307963,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R011_C02,PG_BOOL_R011,Y2,null_boolean,2,parenthesized_predicate,6,IS|NULL,(NULL IS NULL),f00405682227d969488522e2,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R011_C03,PG_BOOL_R011,Y2,null_boolean,3,negated_inverse_predicate,6,IS|NOT|NULL,NOT (NULL IS NOT NULL),37e0d3c6b6285bdd741d65f7,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R011_C04,PG_BOOL_R011,Y2,null_boolean,4,is_true_wrapper,6,IS|NULL|TRUE,(NULL IS NULL) IS TRUE,73575506ffab7a9489d7d11b,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R011_C05,PG_BOOL_R011,Y2,null_boolean,5,is_not_false_wrapper,6,FALSE|IS|NOT|NULL,(NULL IS NULL) IS NOT FALSE,15e5f9a59bb061e1b5e0f85e,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R011_C06,PG_BOOL_R011,Y2,null_boolean,6,case_boolean_wrapper,6,CASE|ELSE|END|FALSE|IS|NULL|THEN|TRUE|WHEN,CASE WHEN (NULL IS NULL) THEN TRUE ELSE FALSE END,2601a75ee38524be2233f7f3,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R011_C07,PG_BOOL_R011,Y2,null_boolean,7,and_true_guard,6,=|AND|IS|NULL,(NULL IS NULL) AND (INT = INT),5ecee0889e86d351ea20c104,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R011_C08,PG_BOOL_R011,Y2,null_boolean,8,or_false_guard,6,<|<>|>|IS|NULL|OR,(NULL IS NULL) OR (INT <> INT),78a09c16076318c64740dbd7,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R011_C09,PG_BOOL_R011,Y2,null_boolean,9,equals_true_wrapper,6,=|IS|NULL|TRUE,((NULL IS NULL) = TRUE),f90ccbfe54fe8797e42ab153,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
PG_BOOL_R011_C10,PG_BOOL_R011,Y2,null_boolean,10,coalesce_false_wrapper,6,COALESCE|FALSE|IS|NULL,"COALESCE((NULL IS NULL), FALSE)",f7881d69869e3c977a97414c,required_tokens + skeleton_family + delimiter_integrity + boolean_signal
