template,label,original_count,kept,removed
select ( case when ( N = N ) then N else N* ( select N from A..sysdatabases ) en,1,42,3,39
select ( case when ( N = N ) then N else N/ ( select N ) end ) --,1,42,3,39
if ( N = N ) select N else drop A A--,1,42,3,39
select case when N = N then N else null end--,1,42,3,39
select ( case when ( N = N ) then N else N* ( select N from information_schema.c,1,42,3,39
N'STR',1,33,3,30
-N'STR'A'STR'A,1,30,3,27
"select A, A, A A where A is not null",0,29,3,26
"N'STR'A',upper ( hex ( randomblob ( N/N ) ) ) ) --",1,28,3,25
select * from wp_posts where id = N limit N,0,28,3,25
"insert into A ( A, A, A, A, A, A ) values ( 'STR', 'STR'. A'STR'A'STR'A'STR'A'ST",0,27,3,24
select wp_posts.id from wp_posts where N = N and wp_posts.post_type = 'STR' and ,0,26,3,23
select wp_posts.* from wp_posts where id in ( N ),0,26,3,23
A-A,0,23,3,20
"select A,A,A from A left join A on A.A = A.A order by A.A",0,22,3,19
"A A A, N,",0,20,3,17
A A A,0,20,3,17
"A A, N,",0,20,3,17
"A A, N",0,18,3,15
A de la A,0,16,3,13
A@A.A,0,15,3,12
"A A N,",0,15,3,12
"A A A, N",0,15,3,12
N'STR'N:N:N'--,1,14,3,11
-N' or N = N,1,14,3,11
select A ( N ) ;,0,14,3,11
A A N,0,13,3,10
"select A.A, employees.A, employees.A from ordersright join employees on A.employ",0,13,3,10
"select A ( ""2017NN"" ) ;",0,12,3,9
"A N,",0,12,3,9
"A, N",0,12,3,9
"select employees.A, count ( A.A ) as A ( ordersinner join A on A.A = employees.A",0,12,3,9
N'STR'N:N:N'STR'A'STR'A,1,12,3,9
"select A,A,A,A,A ( ( A join A on A.A = A.A ) inner join A A.A = A.A )",0,11,3,8
"A A A N,",0,11,3,8
"select A ( N, N ) ;",0,11,3,8
A A A N,0,10,3,7
A de A A,0,10,3,7
"c/ A, N",0,10,3,7
-N%'STR'%'STR',1,10,3,7
A N,0,9,3,6
"select A ( ""2017NN N:N:N"" ) ;",0,9,3,6
"c/ A N,",0,9,3,6
"A, el",0,9,3,6
A A de A,0,8,3,5
select A ( A ( ) ) ;,0,8,3,5
-N' or N = N#,1,8,3,5
-N' or N = N--,1,8,3,5
-N' ) or N = N--,1,8,3,5
-N' ) or N = N#,1,8,3,5
select A ( N.N ) ;,0,8,3,5
and N = utl_inaddr.get_host_address ( ( select A ( table_name ) from ( select A ,1,8,3,5
"N%'STR'A',upper ( hex ( randomblob ( N/N ) ) ) ) --",1,8,3,5
select * from customers where A like 'STR';,0,7,3,4
"A, la",0,7,3,4
"A, A",0,7,3,4
c/ A N,0,7,3,4
"select A ( N, N, N ) ;",0,7,3,4
"-N"" or N = N--",1,6,3,3
-N or N = N--,1,6,3,3
"A de A, N",0,6,3,3
"N'STR'A'STR'A',upper ( hex ( randomblob ( N/N ) ) ) ) --",1,6,3,3
-N' ) ) or N = N--,1,6,3,3
-N' ) ) ) or N = N--,1,6,3,3
select * from customers where customername like 'STR';,0,6,3,3
"-N"" or N = N#",1,6,3,3
-N' ) ) ) or N = N#,1,6,3,3
"select A ( N.N, N ) ;",0,6,3,3
-N' ) ) or N = N#,1,6,3,3
-N or N = N#,1,6,3,3
N' and N = N,1,5,3,2
A A de la A,0,5,3,2
A.A,0,5,3,2
select A ( -N ) ;,0,5,3,2
"c/ A, N,",0,5,3,2
A/A,0,5,3,2
"A, N,",0,5,3,2
"c/ A A, N",0,5,3,2
"A de A N,",0,4,3,1
"N"" ) as A where N = N and N = N--",1,4,3,1
"N, ( select ( case when ( N = N ) then N else N* ( select N from information_sch",1,4,3,1
-N ) ) as A where N = N or N = N--,1,4,3,1
"-N"" ) or N = N#",1,4,3,1
"-N"" ) or N = N--",1,4,3,1
"-N' or N group by concat ( HEX, ( select ( case when ( N = N ) then N else N end",1,4,3,1
-N' order by N#,1,4,3,1
-N' order by N--,1,4,3,1
-N' union all select N#,1,4,3,1
"-N' union all select N,N#",1,4,3,1
"-N' union all select N,N,N#",1,4,3,1
"-N' union all select N,N,N,N#",1,4,3,1
"-N' union all select N,N,N,N,N#",1,4,3,1
"-N' union all select N,N,N,N,N,N#",1,4,3,1
"-N' union all select N,N,N,N,N,N,N#",1,4,3,1
"-N' union all select N,N,N,N,N,N,N,N#",1,4,3,1
"-N' union all select N,N,N,N,N,N,N,N,N#",1,4,3,1
"-N' union all select N,N,N,N,N,N,N,N,N,N#",1,4,3,1
"-N' union all select N,N,N,N,N,N,N,N,N,N--",1,4,3,1
"-N' union all select N,N,N,N,N,N,N,N,N--",1,4,3,1
"-N' union all select N,N,N,N,N,N,N,N--",1,4,3,1
"-N' union all select N,N,N,N,N,N,N--",1,4,3,1
"-N' union all select N,N,N,N,N,N--",1,4,3,1
"-N' union all select N,N,N,N,N--",1,4,3,1
"-N' union all select N,N,N,N--",1,4,3,1
"-N' union all select N,N--",1,4,3,1
-N' union all select N--,1,4,3,1
-N' where N = N or N = N--,1,4,3,1
"N', ( select ( case when ( N = N ) then N else N* ( select N from information_sc",1,4,3,1
N ) where N = N and N = N--,1,4,3,1
-N ) as A where N = N or N = N--,1,4,3,1
N' ) as A where N = N and N = N--,1,4,3,1
"N"" ) ) as A where N = N and N = N--",1,4,3,1
"N"" where N = N and N = N--",1,4,3,1
N' ) ) as A where N = N and N = N--,1,4,3,1
A!A,0,4,3,1
"N"" ) where N = N and N = N--",1,4,3,1
A*A,0,4,3,1
"-N' ) union all select N,N,N,N,N,N--",1,4,3,1
-N' ) ) as A where N = N or N = N--,1,4,3,1
N ) as A where N = N and N = N--,1,4,3,1
"; if not ( substring ( ( select @@version ) ,N,N ) <> N ) waitfor delay 'STR' --",1,4,3,1
N where N = N and N = N--,1,4,3,1
-N' ) as A where N = N or N = N--,1,4,3,1
N' where N = N and N = N--,1,4,3,1
"select A ( ""N:N:N"" ) ;",0,4,3,1
select A ( ) + N;,0,4,3,1
select A ( ) ;,0,4,3,1
"-N"" ) ) as A where N = N or N = N--",1,4,3,1
N' in A A ) and N = N#,1,4,3,1
-N where N = N or N = N--,1,4,3,1
"A A de A, N,",0,4,3,1
"-N"" ) as A where N = N or N = N--",1,4,3,1
-N ) or N = N#,1,4,3,1
-N ) or N = N--,1,4,3,1
( select ( case when ( N = N ) then N else N* ( select N from information_schema,1,4,3,1
"-N' ) or N group by concat ( HEX, ( select ( case when ( N = N ) then N else N e",1,4,3,1
-N' ) order by N#,1,4,3,1
"-N' union all select N,N,N--",1,4,3,1
-N' ) order by N--,1,4,3,1
-N' ) union all select N#,1,4,3,1
"-N' ) union all select N,N#",1,4,3,1
"-N' ) union all select N,N,N#",1,4,3,1
"-N' ) union all select N,N,N,N#",1,4,3,1
"-N' ) union all select N,N,N,N,N#",1,4,3,1
"-N' ) union all select N,N,N,N,N,N#",1,4,3,1
"-N' ) union all select N,N,N,N,N,N,N#",1,4,3,1
"-N' ) union all select N,N,N,N,N,N,N,N#",1,4,3,1
"-N' ) union all select N,N,N,N,N,N,N,N,N#",1,4,3,1
"-N' ) union all select N,N,N,N,N,N,N,N,N,N#",1,4,3,1
"-N' ) union all select N,N,N,N,N,N,N,N,N,N--",1,4,3,1
"-N' ) union all select N,N,N,N,N,N,N,N,N--",1,4,3,1
"-N' ) union all select N,N,N,N,N,N,N,N--",1,4,3,1
"-N' ) union all select N,N,N,N,N,N,N--",1,4,3,1
"-N' ) union all select N,N,N,N,N--",1,4,3,1
"-N' ) union all select N,N,N,N--",1,4,3,1
"-N' ) union all select N,N,N--",1,4,3,1
"-N' ) union all select N,N--",1,4,3,1
-N' ) union all select N--,1,4,3,1
-N'STR'A'STR'A' ) --,1,4,3,1
-N' ) where N = N or N = N--,1,4,3,1
N'STR'A' where N = N and N = N#,1,4,3,1
N%'STR'N:N:N'--,1,4,3,1
N%'STR'N:N:N'STR'%'STR',1,4,3,1
N'STR'A' where N = N and N = N--,1,4,3,1
-N ) where N = N or N = N--,1,4,3,1
"-N"" ) ) or N = N#",1,4,3,1
"-N"" ) ) ) or N = N#",1,4,3,1
"-N"" ) ) ) or N = N--",1,4,3,1
N'STR'A'STR'A' ) --,1,4,3,1
"A A, N, N?h",0,4,3,1
"-N"" ) ) or N = N--",1,4,3,1
"-N"" ) where N = N or N = N--",1,4,3,1
select sleep ( N ) and 'STR' = 'A,1,4,3,1
select sleep ( N ) and ( 'STR' = 'A,1,4,3,1
select sleep ( N ) and ( ( 'STR' = 'A,1,4,3,1
select sleep ( N ) and ( ( ( 'STR' = 'A,1,4,3,1
N ) ) as A where N = N and N = N--,1,4,3,1
N' ) where N = N and N = N--,1,4,3,1
"-N"" where N = N or N = N--",1,4,3,1
"A A s/n,",0,4,3,1
A @s A ( N ) select @s = HEX ...,1,3,3,0
"-N union all select N,N,N,N,N,N,N,N,N--",1,3,3,0
"-N union all select N,N,N,N,N,N,N,N,N,N--",1,3,3,0
A A A A,0,3,3,0
"-N' ) ) ) or N group by concat ( HEX, ( select ( case when ( N = N ) then N else",1,3,3,0
"-N union all select N,N,N,N,N,N,N,N,N,N#",1,3,3,0
"-N union all select N,N,N,N,N,N,N,N,N#",1,3,3,0
c/ A A N,0,3,3,0
"-N union all select N,N,N,N,N,N,N,N#",1,3,3,0
"c/ A A, N N?f",0,3,3,0
"c/ A A, N,",0,3,3,0
"-N union all select N,N,N,N,N,N,N#",1,3,3,0
"-N union all select N,N,N,N,N,N#",1,3,3,0
"c/ A N, N-a",0,3,3,0
"-N union all select N,N,N,N,N#",1,3,3,0
"-N union all select N,N,N,N#",1,3,3,0
"-N union all select N,N,N#",1,3,3,0
"-N union all select N,N#",1,3,3,0
-N union all select N#,1,3,3,0
-N order by N--,1,3,3,0
-N order by N#,1,3,3,0
A@A.as,0,3,3,0
o.A,0,3,3,0
or N = N --,1,3,3,0
N' ) ) ) and N = N#,1,3,3,0
"-N"" union all select N,N,N,N,N,N,N,N,N#",1,3,3,0
"-N or N group by concat ( HEX, ( select ( case when ( N = N ) then N else N end ",1,3,3,0
"-N"" union all select N,N,N,N,N,N,N,N#",1,3,3,0
"A de A, N,",0,3,3,0
"-N"" union all select N,N,N,N,N,N,N#",1,3,3,0
"-N"" union all select N,N,N,N,N,N#",1,3,3,0
"-N"" union all select N,N,N,N,N#",1,3,3,0
"-N"" union all select N,N,N,N#",1,3,3,0
A A N N?d,0,3,3,0
"-N"" union all select N,N,N#",1,3,3,0
"-N"" union all select N,N#",1,3,3,0
"-N"" union all select N#",1,3,3,0
"-N"" order by N--",1,3,3,0
N' ) and N = N--,1,3,3,0
N' ) and N = N#,1,3,3,0
"-N"" order by N#",1,3,3,0
"-N union all select N,N,N--",1,3,3,0
"A A A, s/n",0,3,3,0
"A A A, N, N?h",0,3,3,0
A A ro,0,3,3,0
N'STR'A'STR'N:N:N'STR',1,3,3,0
N'STR'A'STR'N:N:N'--,1,3,3,0
A el A,0,3,3,0
"A A de la A, N",0,3,3,0
"-N"" or N group by concat ( HEX, ( select ( case when ( N = N ) then N else N end",1,3,3,0
"-N"" union all select N--",1,3,3,0
"-N"" union all select N,N--",1,3,3,0
"-N"" union all select N,N,N--",1,3,3,0
.A,0,3,3,0
"-N"" union all select N,N,N,N--",1,3,3,0
"-N"" union all select N,N,N,N,N--",1,3,3,0
"-N"" union all select N,N,N,N,N,N--",1,3,3,0
"-N"" union all select N,N,N,N,N,N,N--",1,3,3,0
select * from A where at = 'STR',0,3,3,0
select * from A where attention = 'STR',0,3,3,0
"-N"" union all select N,N,N,N,N,N,N,N--",1,3,3,0
"-N"" union all select N,N,N,N,N,N,N,N,N--",1,3,3,0
select * from A;,0,3,3,0
N' and N = N--,1,3,3,0
HEX ...,1,3,3,0
N' and N = N#,1,3,3,0
select * from wp_posts left join wp_postmeta on ( wp_posts.id = wp_postmeta.post,0,3,3,0
"-N"" union all select N,N,N,N,N,N,N,N,N,N--",1,3,3,0
"-N"" union all select N,N,N,N,N,N,N,N,N,N#",1,3,3,0
N' ) ) ) and N = N--,1,3,3,0
"select A ( ""2017NN N:N:N"", A N A ) ;",0,3,3,0
-N union all select N--,1,3,3,0
-N' ) ) ) order by N#,1,3,3,0
-N' ) ) ) order by N--,1,3,3,0
-N' ) ) ) union all select N#,1,3,3,0
"-N union all select N,N--",1,3,3,0
select A ( -N.N ) ;,0,3,3,0
"-N' ) ) ) union all select N,N#",1,3,3,0
"-N' ) ) ) union all select N,N,N#",1,3,3,0
"-N' ) ) ) union all select N,N,N,N#",1,3,3,0
"-N' ) ) ) union all select N,N,N,N,N#",1,3,3,0
"-N' ) ) ) union all select N,N,N,N,N,N#",1,3,3,0
"-N' ) ) ) union all select N,N,N,N,N,N,N#",1,3,3,0
"-N' ) ) ) union all select N,N,N,N,N,N,N,N#",1,3,3,0
"-N' ) ) ) union all select N,N,N,N,N,N,N,N,N#",1,3,3,0
"-N' ) ) ) union all select N,N,N,N,N,N,N,N,N,N#",1,3,3,0
"-N' ) ) ) union all select N,N,N,N,N,N,N,N,N,N--",1,3,3,0
"-N' ) ) ) union all select N,N,N,N,N,N,N,N,N--",1,3,3,0
"-N' ) ) ) union all select N,N,N,N,N,N,N,N--",1,3,3,0
"-N' ) ) ) union all select N,N,N,N,N,N,N--",1,3,3,0
"-N' ) ) ) union all select N,N,N,N,N,N--",1,3,3,0
"-N' ) ) ) union all select N,N,N,N,N--",1,3,3,0
"-N' ) ) ) union all select N,N,N,N--",1,3,3,0
"-N' ) ) ) union all select N,N,N--",1,3,3,0
"-N' ) ) ) union all select N,N--",1,3,3,0
-N' ) ) ) union all select N--,1,3,3,0
A'STR'N'STR'N'--,1,3,3,0
N' ) ) and N = N#,1,3,3,0
"-N union all select N,N,N,N--",1,3,3,0
A'STR'N'STR'N'#,1,3,3,0
"-N union all select N,N,N,N,N--",1,3,3,0
-N%' or N = N,1,3,3,0
"-N union all select N,N,N,N,N,N--",1,3,3,0
"-N union all select N,N,N,N,N,N,N--",1,3,3,0
"-N union all select N,N,N,N,N,N,N,N--",1,3,3,0
"-N' ) ) or N group by concat ( HEX, ( select ( case when ( N = N ) then N else N",1,3,3,0
-N' ) ) order by N#,1,3,3,0
-N' ) ) order by N--,1,3,3,0
-N' ) ) union all select N#,1,3,3,0
"-N' ) ) union all select N,N#",1,3,3,0
select N A N;,0,3,3,0
"-N' ) ) union all select N,N,N#",1,3,3,0
"-N' ) ) union all select N,N,N,N#",1,3,3,0
"-N' ) ) union all select N,N,N,N,N#",1,3,3,0
"-N' ) ) union all select N,N,N,N,N,N#",1,3,3,0
"-N' ) ) union all select N,N,N,N,N,N,N#",1,3,3,0
select count ( * ) from wp_options where option_name like 'STR',0,3,3,0
"-N' ) ) union all select N,N,N,N,N,N,N,N#",1,3,3,0
"-N' ) ) union all select N,N,N,N,N,N,N,N,N#",1,3,3,0
"-N' ) ) union all select N,N,N,N,N,N,N,N,N,N#",1,3,3,0
"-N' ) ) union all select N,N,N,N,N,N,N,N,N,N--",1,3,3,0
"-N' ) ) union all select N,N,N,N,N,N,N,N,N--",1,3,3,0
"-N' ) ) union all select N,N,N,N,N,N,N,N--",1,3,3,0
"select period_diff ( N, N ) ;",0,3,3,0
"-N' ) ) union all select N,N,N,N,N,N,N--",1,3,3,0
"-N' ) ) union all select N,N,N,N,N,N--",1,3,3,0
"-N' ) ) union all select N,N,N,N,N--",1,3,3,0
"-N' ) ) union all select N,N,N,N--",1,3,3,0
"-N' ) ) union all select N,N,N--",1,3,3,0
"select t.*, tt.* from wp_terms as t inner join wp_term_taxonomy as tt on t.term_",0,3,3,0
"select t.*, tt.* from wp_terms as t inner join wp_term_taxonomy as tt on t.term_",0,3,3,0
"select t.*, tt.* from wp_terms as t inner join wp_term_taxonomy as tt on t.term_",0,3,3,0
select wp_posts.* from wp_posts where N = N and wp_posts.post_name in ( 'STR' ) ,0,3,3,0
"-N' ) ) union all select N,N--",1,3,3,0
-N' ) ) union all select N--,1,3,3,0
A s/n,0,3,3,0
N' ) ) and N = N--,1,3,3,0
villanueva de A,0,3,3,0
N' in A A ) and ( N = N ) *N#,1,2,2,0
N' in A A ) and ( select * from ( select ( sleep ( N ) ) ) A ) #,1,2,2,0
N ) where N = N and N = ( select N from pg_sleep ( N ) ) --,1,2,2,0
"N ) where N = N and N = ( select count ( * ) from A as sys1,A as sys2,A as sys3,",1,2,2,0
"N ) where N = N and N = ( select count ( * ) from A$A as t1,A$A as t2,A$collatio",1,2,2,0
"N ) where N = N and N = ( select count ( * ) from A.A as t1,A.columns as t2,A.ta",1,2,2,0
"A A, N, N?g",0,2,2,0
"N ) where N = N and N = ( select count ( * ) from all_users t1,all_users t2,all_",1,2,2,0
"-N"" ) ) ) or N group by concat ( HEX, ( select ( case when ( N = N ) then N else",1,2,2,0
"N ) where N = N and N = ( select count ( * ) from generate_series ( N,N ) ) --",1,2,2,0
N'STR'A' where N = N and N = ( select N from pg_sleep ( N ) ) --,1,2,2,0
"-N"" ) ) ) order by N#",1,2,2,0
"-N"" ) ) ) order by N--",1,2,2,0
"-N"" ) ) ) union all select N#",1,2,2,0
"-N"" ) ) ) union all select N,N#",1,2,2,0
"-N"" ) ) ) union all select N,N,N#",1,2,2,0
"-N"" ) ) ) union all select N,N,N,N#",1,2,2,0
"-N"" ) ) ) union all select N,N,N,N,N#",1,2,2,0
"-N"" ) ) ) union all select N,N,N,N,N,N#",1,2,2,0
"-N"" ) ) ) union all select N,N,N,N,N,N,N#",1,2,2,0
"-N"" ) ) ) union all select N,N,N,N,N,N,N,N#",1,2,2,0
"-N"" ) ) ) union all select N,N,N,N,N,N,N,N,N#",1,2,2,0
"-N"" ) ) ) union all select N,N,N,N,N,N,N,N,N,N#",1,2,2,0
"-N"" ) ) ) union all select N,N,N,N,N,N,N,N,N,N--",1,2,2,0
"-N"" ) ) ) union all select N,N,N,N,N,N,N,N,N--",1,2,2,0
"-N"" ) ) ) union all select N,N,N,N,N,N,N,N--",1,2,2,0
"-N"" ) ) ) union all select N,N,N,N,N,N,N--",1,2,2,0
"-N"" ) ) ) union all select N,N,N,N,N,N--",1,2,2,0
"-N"" ) ) ) union all select N,N,N,N,N--",1,2,2,0
"-N"" ) ) ) union all select N,N,N,N--",1,2,2,0
"-N"" ) ) ) union all select N,N,N--",1,2,2,0
"-N"" ) ) ) union all select N,N--",1,2,2,0
"-N"" ) ) ) union all select N--",1,2,2,0
"-N"" ) ) as A where N = N or ( N = N ) *N--",1,2,2,0
N ) where N = N and N = N#,1,2,2,0
"-N"" ) ) as A where N = N or N = N#",1,2,2,0
"N%"" and N = N#",1,2,2,0
"N%"" and N = N--",1,2,2,0
"N'STR'A' where N = N and N = ( select count ( * ) from A as sys1,A as sys2,A as ",1,2,2,0
"N'STR'A' where N = N and N = ( select count ( * ) from A$A as t1,A$A as t2,A$col",1,2,2,0
"-N"" ) ) as A where N = N or elt ( N = N,N ) --",1,2,2,0
"-N"" ) ) as A where N = N or make_set ( N = N,N ) --",1,2,2,0
N ) where N = N and N = dbms_pipe.receive_message ( chr ( N ) ||chr ( N ) ||chr ,1,2,2,0
"N'STR'A' where N = N and N = ( select count ( * ) from A.A as t1,A.columns as t2",1,2,2,0
"N ) where N = N and N = like ( 'STR',upper ( hex ( randomblob ( N/N ) ) ) ) --",1,2,2,0
N.16e+N,0,2,2,0
N' ) where N = N A ( select ( case when ( N = N ) then N else HEX end ) ) --,1,2,2,0
N ) where N = N and char ( N ) ||char ( N ) ||char ( N ) ||char ( N ) = regexp_s,1,2,2,0
N ) where N = N and char ( N ) ||char ( N ) ||char ( N ) ||char ( N ) = regexp_s,1,2,2,0
"A N, N-c",0,2,2,0
"N ) where N = N and elt ( N = N,N ) --",1,2,2,0
"N'STR'A' where N = N and N = ( select count ( * ) from all_users t1,all_users t2",1,2,2,0
"N'STR'A' where N = N and N = ( select count ( * ) from generate_series ( N,N ) )",1,2,2,0
"N ) where N = N and make_set ( N = N,N ) --",1,2,2,0
N' ) where N = N and ( N = N ) *N--,1,2,2,0
"N"" ) as A where N = N A ( select ( case when ( N = N ) then N else HEX end ) ) -",1,2,2,0
"N'STR'A' where N = N and N = benchmark ( N,md5 ( HEX ) ) #",1,2,2,0
N'STR'A' where N = N and N = dbms_pipe.receive_message ( chr ( N ) ||chr ( N ) |,1,2,2,0
N'STR'A' where N = N and char ( N ) ||char ( N ) ||char ( N ) ||char ( N ) = reg,1,2,2,0
N'STR'A' where N = N and char ( N ) ||char ( N ) ||char ( N ) ||char ( N ) = reg,1,2,2,0
"N"" ) as A where N = N and ( N = N ) *N--",1,2,2,0
"-N"" ) ) or N group by concat ( HEX, ( select ( case when ( N = N ) then N else N",1,2,2,0
N ) where N = N or N = ( select N from pg_sleep ( N ) ) --,1,2,2,0
"N ) where N = N or N = ( select count ( * ) from A as sys1,A as sys2,A as sys3,A",1,2,2,0
"-N"" ) ) order by N#",1,2,2,0
"-N"" ) ) order by N--",1,2,2,0
"-N"" ) ) union all select N#",1,2,2,0
"-N"" ) ) union all select N,N#",1,2,2,0
"-N"" ) ) union all select N,N,N#",1,2,2,0
"-N"" ) ) union all select N,N,N,N#",1,2,2,0
"-N"" ) ) union all select N,N,N,N,N#",1,2,2,0
"-N"" ) ) union all select N,N,N,N,N,N#",1,2,2,0
"-N"" ) ) union all select N,N,N,N,N,N,N#",1,2,2,0
"-N"" ) ) union all select N,N,N,N,N,N,N,N#",1,2,2,0
"-N"" ) ) union all select N,N,N,N,N,N,N,N,N#",1,2,2,0
"-N"" ) ) union all select N,N,N,N,N,N,N,N,N,N#",1,2,2,0
"-N"" ) ) union all select N,N,N,N,N,N,N,N,N,N--",1,2,2,0
"-N"" ) ) union all select N,N,N,N,N,N,N,N,N--",1,2,2,0
"-N"" ) ) union all select N,N,N,N,N,N,N,N--",1,2,2,0
"-N"" ) ) union all select N,N,N,N,N,N,N--",1,2,2,0
"-N"" ) ) union all select N,N,N,N,N,N--",1,2,2,0
"-N"" ) ) union all select N,N,N,N,N--",1,2,2,0
"-N"" ) ) union all select N,N,N,N--",1,2,2,0
"-N"" ) ) union all select N,N,N--",1,2,2,0
"-N"" ) ) union all select N,N--",1,2,2,0
"-N"" ) ) union all select N--",1,2,2,0
"-N"" ) as A where N = N or ( N = N ) *N--",1,2,2,0
"N ) where N = N or N = ( select count ( * ) from A$A as t1,A$A as t2,A$collation",1,2,2,0
"N ) where N = N or N = ( select count ( * ) from A.A as t1,A.columns as t2,A.tab",1,2,2,0
"N ) where N = N or N = ( select count ( * ) from all_users t1,all_users t2,all_u",1,2,2,0
"-N"" ) as A where N = N or N = N#",1,2,2,0
"N ) where N = N or N = ( select count ( * ) from generate_series ( N,N ) ) --",1,2,2,0
N' ) where N = N and N = ( select N from pg_sleep ( N ) ) --,1,2,2,0
"N' ) where N = N and N = ( select count ( * ) from A as sys1,A as sys2,A as sys3",1,2,2,0
N ) where N = N or N = dbms_pipe.receive_message ( chr ( N ) ||chr ( N ) ||chr (,1,2,2,0
"N ) where N = N or N = like ( 'STR',upper ( hex ( randomblob ( N/N ) ) ) ) --",1,2,2,0
"-N"" ) as A where N = N or elt ( N = N,N ) --",1,2,2,0
"-N"" ) as A where N = N or make_set ( N = N,N ) --",1,2,2,0
A casabella,0,2,2,0
A@A-A.dz,0,2,2,0
N ) where N = N or char ( N ) ||char ( N ) ||char ( N ) ||char ( N ) = regexp_su,1,2,2,0
"N"" ) as A where N = N and N = ( select N from pg_sleep ( N ) ) --",1,2,2,0
"N"" ) as A where N = N and N = ( select count ( * ) from A as sys1,A as sys2,A as",1,2,2,0
"N"" ) as A where N = N and N = ( select count ( * ) from A$A as t1,A$A as t2,A$co",1,2,2,0
"N"" ) as A where N = N and N = ( select count ( * ) from A.A as t1,A.columns as t",1,2,2,0
"N' ) where N = N and N = ( select count ( * ) from A$A as t1,A$A as t2,A$collati",1,2,2,0
"N"" ) as A where N = N and N = ( select count ( * ) from all_users t1,all_users t",1,2,2,0
"N"" ) as A where N = N and N = ( select count ( * ) from generate_series ( N,N ) ",1,2,2,0
