payload_norm,sqli_type,db_engine,confidence,reasoning,verdict,critique_reasons,suggested_type,suggested_db,payload_inner,wrapper_detected,strip_depth,a_type,a_db,a_signals,c_type,c_db,c_signals
dropin8,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,dropin8,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
00783778f,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,00783778f,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
40979614p,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,40979614p,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
torcuarto,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,torcuarto,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
tardguila,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,tardguila,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
guinaldo guals,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,guinaldo guals,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
2.45E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,2.45E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
cancia,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,cancia,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
4.22608E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,4.22608E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
trixy,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,trixy,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
derwin,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,derwin,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"de los cazadores, 196, 1-b",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"de los cazadores, 196, 1-b",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
09301966f,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,09301966f,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
g89273t2,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,g89273t2,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
manquel,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,manquel,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
nebila,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,nebila,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
mirko,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,mirko,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
7redil47ta,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,7redil47ta,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
di lorenzo,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,di lorenzo,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
yuncos,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,yuncos,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
desnuda,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,desnuda,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
egner,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,egner,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
vahid,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,vahid,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
ferrs gortrez,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,ferrs gortrez,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
derbyshi,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,derbyshi,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
candelario,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,candelario,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
7.73869E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,7.73869E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
belonne santaella,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,belonne santaella,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
ardurn,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,ardurn,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
gattas,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,gattas,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"pasaje pedrosa 115, 6f",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"pasaje pedrosa 115, 6f",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"passatge credit, 93, 13-c",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"passatge credit, 93, 13-c",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
4.23439E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,4.23439E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
sellees,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,sellees,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
teruyuki,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,teruyuki,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
metyn,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,metyn,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
per8ebimie0to,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,per8ebimie0to,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
2.4082E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,2.4082E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
sirola@professionalhost.cc,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,sirola@professionalhost.cc,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
pfeilsch,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,pfeilsch,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
alg59za,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,alg59za,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
villacastn,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,villacastn,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
valdivieso,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,valdivieso,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
quintanilla del coco,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,quintanilla del coco,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
mayworth@sms24h.tr,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,mayworth@sms24h.tr,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
duplan,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,duplan,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
lahnstein agundis,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,lahnstein agundis,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
1.86E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,1.86E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"portugal 87,",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"portugal 87,",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
soulef,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,soulef,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"carrer pompeu fabra, 151,",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"carrer pompeu fabra, 151,",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
8.62453E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,8.62453E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
castellanos de moriscos,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,castellanos de moriscos,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
remington,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,remington,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
arrazua-ubarrundia,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,arrazua-ubarrundia,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
invo3unta6i5,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,invo3unta6i5,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
11901410z,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,11901410z,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
datario,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,datario,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
holtz@pasajesaereosbaratos.es,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,holtz@pasajesaereosbaratos.es,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
brbara,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,brbara,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
garek,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,garek,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
nolay,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,nolay,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
07608453f,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,07608453f,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
46160431y,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,46160431y,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
ibero saborit,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,ibero saborit,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
equiparable,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,equiparable,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
despault2,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,despault2,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
cecil.wolcott7@librodeapuntes.sv,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,cecil.wolcott7@librodeapuntes.sv,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
macrura,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,macrura,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
11ance3er,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,11ance3er,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
whipp@esmeraldas.org.tm,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,whipp@esmeraldas.org.tm,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
5.56878E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,5.56878E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
dalenna,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,dalenna,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"c/ antonio gonzalez suarez, 44, 11?c",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"c/ antonio gonzalez suarez, 44, 11?c",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
c/ oblit 76,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,c/ oblit 76,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
55585768n,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,55585768n,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
orion,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,orion,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
zapateo,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,zapateo,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
villalgordo del marquesado,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,villalgordo del marquesado,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
5.50989E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,5.50989E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
5.40E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,5.40E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
puntallana,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,puntallana,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
3.11985E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,3.11985E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
vilanova de segri,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,vilanova de segri,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
0a0t4d2r,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,0a0t4d2r,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
batido,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,batido,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
villadoz,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,villadoz,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
grandura,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,grandura,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
14602519a,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,14602519a,False,0,benign,generic,no attack signal detected,heavy_query,generic,contains 7+ digit number (DoS-style payload)
desmerecer,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,desmerecer,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"pl. san marcos, 0, 11f",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"pl. san marcos, 0, 11f",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"pera, la",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"pera, la",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"calle homero, 127",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"calle homero, 127",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
cuevas labradas,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,cuevas labradas,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"coslada 83, 4g",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"coslada 83, 4g",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
duffield@telelujo.coop,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,duffield@telelujo.coop,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
guadalcanal,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,guadalcanal,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
heile,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,heile,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
"escritor nicolas del paso, 95",benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,"escritor nicolas del paso, 95",False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
8.0957E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,8.0957E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
7.17889E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,7.17889E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
flo3a,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,flo3a,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
fernn caballero,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,fernn caballero,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
6.44911E+15,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,6.44911E+15,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
rutledge,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,rutledge,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
milani4@beautifulbody.sh,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,milani4@beautifulbody.sh,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
doerksen,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,doerksen,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
re1v566i7ator0o,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,re1v566i7ator0o,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
dax-branson@indianabilljaen.kp,benign,generic,0.9,not_sql_injection,RELABEL,reasoning too short (17 chars),benign,generic,dax-branson@indianabilljaen.kp,False,0,benign,generic,no attack signal detected,benign,generic,no SQLi signal in heuristic check
