structure_cell_id,root_id,complexity,database,query_language,d_category,rendering_recipe,expected_samples,cross_db_semantic_equivalence,execution_context
Y4_R01_D16,Y4_R01,Y4_Basic_Obfuscation,Neo4j,Cypher,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R01_D17,Y4_R01,Y4_Basic_Obfuscation,Elasticsearch,JSON Query DSL,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R01_D18,Y4_R01,Y4_Basic_Obfuscation,OpenSearch,JSON Query DSL,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R02_D01,Y4_R02,Y4_Basic_Obfuscation,PostgreSQL,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R02_D02,Y4_R02,Y4_Basic_Obfuscation,MySQL,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R02_D03,Y4_R02,Y4_Basic_Obfuscation,MariaDB,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R02_D04,Y4_R02,Y4_Basic_Obfuscation,SQLite,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R02_D05,Y4_R02,Y4_Basic_Obfuscation,SQL Server,T-SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R02_D06,Y4_R02,Y4_Basic_Obfuscation,Oracle,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R02_D07,Y4_R02,Y4_Basic_Obfuscation,BigQuery,GoogleSQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R02_D08,Y4_R02,Y4_Basic_Obfuscation,Snowflake,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R02_D09,Y4_R02,Y4_Basic_Obfuscation,ClickHouse,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R02_D10,Y4_R02,Y4_Basic_Obfuscation,DuckDB,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R02_D11,Y4_R02,Y4_Basic_Obfuscation,MongoDB,MQL/JSON,D3,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R02_D12,Y4_R02,Y4_Basic_Obfuscation,Couchbase,SQL++,D3,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R02_D13,Y4_R02,Y4_Basic_Obfuscation,Redis,RediSearch query syntax (module required),D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R02_D14,Y4_R02,Y4_Basic_Obfuscation,Cassandra,CQL,D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R02_D15,Y4_R02,Y4_Basic_Obfuscation,DynamoDB,Condition/FilterExpression with values,D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R02_D16,Y4_R02,Y4_Basic_Obfuscation,Neo4j,Cypher,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R02_D17,Y4_R02,Y4_Basic_Obfuscation,Elasticsearch,JSON Query DSL,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R02_D18,Y4_R02,Y4_Basic_Obfuscation,OpenSearch,JSON Query DSL,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R03_D01,Y4_R03,Y4_Basic_Obfuscation,PostgreSQL,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R03_D02,Y4_R03,Y4_Basic_Obfuscation,MySQL,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R03_D03,Y4_R03,Y4_Basic_Obfuscation,MariaDB,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R03_D04,Y4_R03,Y4_Basic_Obfuscation,SQLite,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R03_D05,Y4_R03,Y4_Basic_Obfuscation,SQL Server,T-SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R03_D06,Y4_R03,Y4_Basic_Obfuscation,Oracle,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R03_D07,Y4_R03,Y4_Basic_Obfuscation,BigQuery,GoogleSQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R03_D08,Y4_R03,Y4_Basic_Obfuscation,Snowflake,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R03_D09,Y4_R03,Y4_Basic_Obfuscation,ClickHouse,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R03_D10,Y4_R03,Y4_Basic_Obfuscation,DuckDB,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R03_D11,Y4_R03,Y4_Basic_Obfuscation,MongoDB,MQL/JSON,D3,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R03_D12,Y4_R03,Y4_Basic_Obfuscation,Couchbase,SQL++,D3,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R03_D13,Y4_R03,Y4_Basic_Obfuscation,Redis,RediSearch query syntax (module required),D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R03_D14,Y4_R03,Y4_Basic_Obfuscation,Cassandra,CQL,D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R03_D15,Y4_R03,Y4_Basic_Obfuscation,DynamoDB,Condition/FilterExpression with values,D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R03_D16,Y4_R03,Y4_Basic_Obfuscation,Neo4j,Cypher,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R03_D17,Y4_R03,Y4_Basic_Obfuscation,Elasticsearch,JSON Query DSL,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R03_D18,Y4_R03,Y4_Basic_Obfuscation,OpenSearch,JSON Query DSL,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R04_D01,Y4_R04,Y4_Basic_Obfuscation,PostgreSQL,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R04_D02,Y4_R04,Y4_Basic_Obfuscation,MySQL,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R04_D03,Y4_R04,Y4_Basic_Obfuscation,MariaDB,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R04_D04,Y4_R04,Y4_Basic_Obfuscation,SQLite,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R04_D05,Y4_R04,Y4_Basic_Obfuscation,SQL Server,T-SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R04_D06,Y4_R04,Y4_Basic_Obfuscation,Oracle,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R04_D07,Y4_R04,Y4_Basic_Obfuscation,BigQuery,GoogleSQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R04_D08,Y4_R04,Y4_Basic_Obfuscation,Snowflake,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R04_D09,Y4_R04,Y4_Basic_Obfuscation,ClickHouse,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R04_D10,Y4_R04,Y4_Basic_Obfuscation,DuckDB,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R04_D11,Y4_R04,Y4_Basic_Obfuscation,MongoDB,MQL/JSON,D3,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R04_D12,Y4_R04,Y4_Basic_Obfuscation,Couchbase,SQL++,D3,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R04_D13,Y4_R04,Y4_Basic_Obfuscation,Redis,RediSearch query syntax (module required),D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R04_D14,Y4_R04,Y4_Basic_Obfuscation,Cassandra,CQL,D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R04_D15,Y4_R04,Y4_Basic_Obfuscation,DynamoDB,Condition/FilterExpression with values,D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R04_D16,Y4_R04,Y4_Basic_Obfuscation,Neo4j,Cypher,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R04_D17,Y4_R04,Y4_Basic_Obfuscation,Elasticsearch,JSON Query DSL,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R04_D18,Y4_R04,Y4_Basic_Obfuscation,OpenSearch,JSON Query DSL,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R05_D01,Y4_R05,Y4_Basic_Obfuscation,PostgreSQL,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R05_D02,Y4_R05,Y4_Basic_Obfuscation,MySQL,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R05_D03,Y4_R05,Y4_Basic_Obfuscation,MariaDB,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R05_D04,Y4_R05,Y4_Basic_Obfuscation,SQLite,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R05_D05,Y4_R05,Y4_Basic_Obfuscation,SQL Server,T-SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R05_D06,Y4_R05,Y4_Basic_Obfuscation,Oracle,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R05_D07,Y4_R05,Y4_Basic_Obfuscation,BigQuery,GoogleSQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R05_D08,Y4_R05,Y4_Basic_Obfuscation,Snowflake,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R05_D09,Y4_R05,Y4_Basic_Obfuscation,ClickHouse,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R05_D10,Y4_R05,Y4_Basic_Obfuscation,DuckDB,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R05_D11,Y4_R05,Y4_Basic_Obfuscation,MongoDB,MQL/JSON,D3,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R05_D12,Y4_R05,Y4_Basic_Obfuscation,Couchbase,SQL++,D3,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R05_D13,Y4_R05,Y4_Basic_Obfuscation,Redis,RediSearch query syntax (module required),D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R05_D14,Y4_R05,Y4_Basic_Obfuscation,Cassandra,CQL,D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R05_D15,Y4_R05,Y4_Basic_Obfuscation,DynamoDB,Condition/FilterExpression with values,D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R05_D16,Y4_R05,Y4_Basic_Obfuscation,Neo4j,Cypher,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R05_D17,Y4_R05,Y4_Basic_Obfuscation,Elasticsearch,JSON Query DSL,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R05_D18,Y4_R05,Y4_Basic_Obfuscation,OpenSearch,JSON Query DSL,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R06_D01,Y4_R06,Y4_Basic_Obfuscation,PostgreSQL,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R06_D02,Y4_R06,Y4_Basic_Obfuscation,MySQL,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R06_D03,Y4_R06,Y4_Basic_Obfuscation,MariaDB,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R06_D04,Y4_R06,Y4_Basic_Obfuscation,SQLite,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R06_D05,Y4_R06,Y4_Basic_Obfuscation,SQL Server,T-SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R06_D06,Y4_R06,Y4_Basic_Obfuscation,Oracle,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R06_D07,Y4_R06,Y4_Basic_Obfuscation,BigQuery,GoogleSQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R06_D08,Y4_R06,Y4_Basic_Obfuscation,Snowflake,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R06_D09,Y4_R06,Y4_Basic_Obfuscation,ClickHouse,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R06_D10,Y4_R06,Y4_Basic_Obfuscation,DuckDB,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R06_D11,Y4_R06,Y4_Basic_Obfuscation,MongoDB,MQL/JSON,D3,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R06_D12,Y4_R06,Y4_Basic_Obfuscation,Couchbase,SQL++,D3,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R06_D13,Y4_R06,Y4_Basic_Obfuscation,Redis,RediSearch query syntax (module required),D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R06_D14,Y4_R06,Y4_Basic_Obfuscation,Cassandra,CQL,D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R06_D15,Y4_R06,Y4_Basic_Obfuscation,DynamoDB,Condition/FilterExpression with values,D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R06_D16,Y4_R06,Y4_Basic_Obfuscation,Neo4j,Cypher,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R06_D17,Y4_R06,Y4_Basic_Obfuscation,Elasticsearch,JSON Query DSL,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R06_D18,Y4_R06,Y4_Basic_Obfuscation,OpenSearch,JSON Query DSL,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R07_D01,Y4_R07,Y4_Basic_Obfuscation,PostgreSQL,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R07_D02,Y4_R07,Y4_Basic_Obfuscation,MySQL,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R07_D03,Y4_R07,Y4_Basic_Obfuscation,MariaDB,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R07_D04,Y4_R07,Y4_Basic_Obfuscation,SQLite,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R07_D05,Y4_R07,Y4_Basic_Obfuscation,SQL Server,T-SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R07_D06,Y4_R07,Y4_Basic_Obfuscation,Oracle,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R07_D07,Y4_R07,Y4_Basic_Obfuscation,BigQuery,GoogleSQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R07_D08,Y4_R07,Y4_Basic_Obfuscation,Snowflake,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R07_D09,Y4_R07,Y4_Basic_Obfuscation,ClickHouse,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R07_D10,Y4_R07,Y4_Basic_Obfuscation,DuckDB,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R07_D11,Y4_R07,Y4_Basic_Obfuscation,MongoDB,MQL/JSON,D3,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R07_D12,Y4_R07,Y4_Basic_Obfuscation,Couchbase,SQL++,D3,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R07_D13,Y4_R07,Y4_Basic_Obfuscation,Redis,RediSearch query syntax (module required),D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R07_D14,Y4_R07,Y4_Basic_Obfuscation,Cassandra,CQL,D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R07_D15,Y4_R07,Y4_Basic_Obfuscation,DynamoDB,Condition/FilterExpression with values,D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R07_D16,Y4_R07,Y4_Basic_Obfuscation,Neo4j,Cypher,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R07_D17,Y4_R07,Y4_Basic_Obfuscation,Elasticsearch,JSON Query DSL,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R07_D18,Y4_R07,Y4_Basic_Obfuscation,OpenSearch,JSON Query DSL,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R08_D01,Y4_R08,Y4_Basic_Obfuscation,PostgreSQL,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R08_D02,Y4_R08,Y4_Basic_Obfuscation,MySQL,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R08_D03,Y4_R08,Y4_Basic_Obfuscation,MariaDB,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R08_D04,Y4_R08,Y4_Basic_Obfuscation,SQLite,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R08_D05,Y4_R08,Y4_Basic_Obfuscation,SQL Server,T-SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R08_D06,Y4_R08,Y4_Basic_Obfuscation,Oracle,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R08_D07,Y4_R08,Y4_Basic_Obfuscation,BigQuery,GoogleSQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R08_D08,Y4_R08,Y4_Basic_Obfuscation,Snowflake,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R08_D09,Y4_R08,Y4_Basic_Obfuscation,ClickHouse,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R08_D10,Y4_R08,Y4_Basic_Obfuscation,DuckDB,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R08_D11,Y4_R08,Y4_Basic_Obfuscation,MongoDB,MQL/JSON,D3,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R08_D12,Y4_R08,Y4_Basic_Obfuscation,Couchbase,SQL++,D3,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R08_D13,Y4_R08,Y4_Basic_Obfuscation,Redis,RediSearch query syntax (module required),D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R08_D14,Y4_R08,Y4_Basic_Obfuscation,Cassandra,CQL,D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R08_D15,Y4_R08,Y4_Basic_Obfuscation,DynamoDB,Condition/FilterExpression with values,D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R08_D16,Y4_R08,Y4_Basic_Obfuscation,Neo4j,Cypher,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R08_D17,Y4_R08,Y4_Basic_Obfuscation,Elasticsearch,JSON Query DSL,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R08_D18,Y4_R08,Y4_Basic_Obfuscation,OpenSearch,JSON Query DSL,D5,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R09_D01,Y4_R09,Y4_Basic_Obfuscation,PostgreSQL,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R09_D02,Y4_R09,Y4_Basic_Obfuscation,MySQL,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R09_D03,Y4_R09,Y4_Basic_Obfuscation,MariaDB,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R09_D04,Y4_R09,Y4_Basic_Obfuscation,SQLite,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R09_D05,Y4_R09,Y4_Basic_Obfuscation,SQL Server,T-SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R09_D06,Y4_R09,Y4_Basic_Obfuscation,Oracle,SQL,D1,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R09_D07,Y4_R09,Y4_Basic_Obfuscation,BigQuery,GoogleSQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R09_D08,Y4_R09,Y4_Basic_Obfuscation,Snowflake,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R09_D09,Y4_R09,Y4_Basic_Obfuscation,ClickHouse,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R09_D10,Y4_R09,Y4_Basic_Obfuscation,DuckDB,SQL,D2,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R09_D11,Y4_R09,Y4_Basic_Obfuscation,MongoDB,MQL/JSON,D3,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R09_D12,Y4_R09,Y4_Basic_Obfuscation,Couchbase,SQL++,D3,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
Y4_R09_D13,Y4_R09,Y4_Basic_Obfuscation,Redis,RediSearch query syntax (module required),D4,dialect-specific documented predicate renderer plus Y tier,20,NOT_CONFIRMED,none_Z1
