structure_cell_id,root_id,y_level,semantic_family,cell_index,cell_recipe,expected_samples,required_tokens,skeleton_reference,structure_signature,cell_contract,module_id,module_short,ruleset_version
PG_BOOL_R004_C06,PG_BOOL_R004,Y1,comparison_numeric,6,case_boolean_wrapper,6,<|<=|=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (INT <= INT) THEN TRUE ELSE FALSE END,fb2a73e5ca50efd5a5804b4b,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R004_C07,PG_BOOL_R004,Y1,comparison_numeric,7,and_true_guard,6,<|<=|=|AND,(INT <= INT) AND (INT = INT),a41696072072cccac0ab7687,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R004_C08,PG_BOOL_R004,Y1,comparison_numeric,8,or_false_guard,6,<|<=|<>|=|>|OR,(INT <= INT) OR (INT <> INT),225ed12098773eee6b38bdab,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R004_C09,PG_BOOL_R004,Y1,comparison_numeric,9,equals_true_wrapper,6,<|<=|=|TRUE,((INT <= INT) = TRUE),efe66606428c1aee9b13268b,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R004_C10,PG_BOOL_R004,Y1,comparison_numeric,10,coalesce_false_wrapper,6,<|<=|=|COALESCE|FALSE,"COALESCE((INT <= INT), FALSE)",e1ce007ef0e8b259b8f9e143,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R005_C01,PG_BOOL_R005,Y1,comparison_numeric,1,base_predicate,6,=,(INT + INT) = INT,31718cd60a1caa9d078f5034,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R005_C02,PG_BOOL_R005,Y1,comparison_numeric,2,parenthesized_predicate,6,=,((INT + INT) = INT),136f790625f89afabe9fd802,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R005_C03,PG_BOOL_R005,Y1,comparison_numeric,3,negated_inverse_predicate,6,=|NOT,NOT ((INT + INT) = INT),63058bb2256bde970d6a85ed,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R005_C04,PG_BOOL_R005,Y1,comparison_numeric,4,is_true_wrapper,6,=|IS|TRUE,((INT + INT) = INT) IS TRUE,fc3186af7ba3a50edf35da8f,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R005_C05,PG_BOOL_R005,Y1,comparison_numeric,5,is_not_false_wrapper,6,=|FALSE|IS|NOT,((INT + INT) = INT) IS NOT FALSE,034f877c77f69a9a13def275,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R005_C06,PG_BOOL_R005,Y1,comparison_numeric,6,case_boolean_wrapper,6,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN ((INT + INT) = INT) THEN TRUE ELSE FALSE END,adc95a296e3328b4688c84db,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R005_C07,PG_BOOL_R005,Y1,comparison_numeric,7,and_true_guard,6,=|AND,((INT + INT) = INT) AND (INT = INT),879d210ac1620e9b9e942590,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R005_C08,PG_BOOL_R005,Y1,comparison_numeric,8,or_false_guard,6,<|<>|=|>|OR,((INT + INT) = INT) OR (INT <> INT),66fe9ae43728127e362a33bc,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R005_C09,PG_BOOL_R005,Y1,comparison_numeric,9,equals_true_wrapper,6,=|TRUE,(((INT + INT) = INT) = TRUE),d0cbce0b06fee8990405fc5a,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R005_C10,PG_BOOL_R005,Y1,comparison_numeric,10,coalesce_false_wrapper,6,=|COALESCE|FALSE,"COALESCE(((INT + INT) = INT), FALSE)",baadffaa5d84cfd5683c0d3d,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R006_C01,PG_BOOL_R006,Y1,comparison_text,1,base_predicate,6,=,STR = STR,79b7f951273d0fa3484adc52,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R006_C02,PG_BOOL_R006,Y1,comparison_text,2,parenthesized_predicate,6,=,(STR = STR),e7f8293a32306835125a7735,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R006_C03,PG_BOOL_R006,Y1,comparison_text,3,negated_inverse_predicate,6,=|NOT,NOT (STR = STR),9e0e56f3daea498f4e331bcd,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R006_C04,PG_BOOL_R006,Y1,comparison_text,4,is_true_wrapper,6,=|IS|TRUE,(STR = STR) IS TRUE,7bbcbe695e9ba83649b01dea,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R006_C05,PG_BOOL_R006,Y1,comparison_text,5,is_not_false_wrapper,6,=|FALSE|IS|NOT,(STR = STR) IS NOT FALSE,255767350a4b6dd4610bcdfa,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R006_C06,PG_BOOL_R006,Y1,comparison_text,6,case_boolean_wrapper,6,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (STR = STR) THEN TRUE ELSE FALSE END,e859422b7ec946241e81a67b,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R006_C07,PG_BOOL_R006,Y1,comparison_text,7,and_true_guard,6,=|AND,(STR = STR) AND (INT = INT),a908b0077023bb09b9dd5429,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R006_C08,PG_BOOL_R006,Y1,comparison_text,8,or_false_guard,6,<|<>|=|>|OR,(STR = STR) OR (INT <> INT),68fc8458e0ec7764650dcf30,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R006_C09,PG_BOOL_R006,Y1,comparison_text,9,equals_true_wrapper,6,=|TRUE,((STR = STR) = TRUE),50eb6eeeec5dccbc8116131c,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R006_C10,PG_BOOL_R006,Y1,comparison_text,10,coalesce_false_wrapper,6,=|COALESCE|FALSE,"COALESCE((STR = STR), FALSE)",309c260278b425fe69acccbf,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R007_C01,PG_BOOL_R007,Y1,comparison_text,1,base_predicate,6,<|<>|>,STR <> STR,cd0fb187e8f8bc3c2aca52df,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R007_C02,PG_BOOL_R007,Y1,comparison_text,2,parenthesized_predicate,6,<|<>|>,(STR <> STR),daaaadb20d0f0b595660260c,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R007_C03,PG_BOOL_R007,Y1,comparison_text,3,negated_inverse_predicate,6,<|<>|>|NOT,NOT (STR <> STR),69efb8c2f773edb805fc2caa,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R007_C04,PG_BOOL_R007,Y1,comparison_text,4,is_true_wrapper,6,<|<>|>|IS|TRUE,(STR <> STR) IS TRUE,44a96fd36994f61f81a59932,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R007_C05,PG_BOOL_R007,Y1,comparison_text,5,is_not_false_wrapper,6,<|<>|>|FALSE|IS|NOT,(STR <> STR) IS NOT FALSE,2ef128b6c9cabcde8232814b,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R007_C06,PG_BOOL_R007,Y1,comparison_text,6,case_boolean_wrapper,6,<|<>|>|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (STR <> STR) THEN TRUE ELSE FALSE END,f3a7ea80c89bb50ec16ef3b9,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R007_C07,PG_BOOL_R007,Y1,comparison_text,7,and_true_guard,6,<|<>|=|>|AND,(STR <> STR) AND (INT = INT),b23a556c0af8ce78cd1a1188,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R007_C08,PG_BOOL_R007,Y1,comparison_text,8,or_false_guard,6,<|<>|>|OR,(STR <> STR) OR (INT <> INT),b38580c7e9e23dcaf4dc1238,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R007_C09,PG_BOOL_R007,Y1,comparison_text,9,equals_true_wrapper,6,<|<>|=|>|TRUE,((STR <> STR) = TRUE),72a4f141abee43be527f1282,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R007_C10,PG_BOOL_R007,Y1,comparison_text,10,coalesce_false_wrapper,6,<|<>|>|COALESCE|FALSE,"COALESCE((STR <> STR), FALSE)",c0f3a6a01ad13fdc7916ddf7,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R008_C01,PG_BOOL_R008,Y1,comparison_text,1,base_predicate,6,=,LOWER(STR) = STR,141c7bcc03f0fd554bd5f45f,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R008_C02,PG_BOOL_R008,Y1,comparison_text,2,parenthesized_predicate,6,=,(LOWER(STR) = STR),6169bd2be2af60ef8e2c48f1,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R008_C03,PG_BOOL_R008,Y1,comparison_text,3,negated_inverse_predicate,6,=|NOT,NOT (LOWER(STR) = STR),dcc91f5277d7ad95ab22a0af,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R008_C04,PG_BOOL_R008,Y1,comparison_text,4,is_true_wrapper,6,=|IS|TRUE,(LOWER(STR) = STR) IS TRUE,480ca584015824bc022e289e,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R008_C05,PG_BOOL_R008,Y1,comparison_text,5,is_not_false_wrapper,6,=|FALSE|IS|NOT,(LOWER(STR) = STR) IS NOT FALSE,ae4bebb1ab2e1c5cce7f96eb,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R008_C06,PG_BOOL_R008,Y1,comparison_text,6,case_boolean_wrapper,6,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (LOWER(STR) = STR) THEN TRUE ELSE FALSE END,929fd7ecc1028c68fad1a0ed,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R008_C07,PG_BOOL_R008,Y1,comparison_text,7,and_true_guard,6,=|AND,(LOWER(STR) = STR) AND (INT = INT),7e57ca396c8816b5d195bef9,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R008_C08,PG_BOOL_R008,Y1,comparison_text,8,or_false_guard,6,<|<>|=|>|OR,(LOWER(STR) = STR) OR (INT <> INT),b32196947b49d81428148bfc,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R008_C09,PG_BOOL_R008,Y1,comparison_text,9,equals_true_wrapper,6,=|TRUE,((LOWER(STR) = STR) = TRUE),74e3250e5b2fc989ab2d6374,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R008_C10,PG_BOOL_R008,Y1,comparison_text,10,coalesce_false_wrapper,6,=|COALESCE|FALSE,"COALESCE((LOWER(STR) = STR), FALSE)",020fab4c44ce34204e100439,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R009_C01,PG_BOOL_R009,Y1,comparison_text,1,base_predicate,6,=,CHAR_LENGTH(STR) = INT,66a9157b9cf9d65b2f982a83,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R009_C02,PG_BOOL_R009,Y1,comparison_text,2,parenthesized_predicate,6,=,(CHAR_LENGTH(STR) = INT),2882244c4e52118547040d99,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R009_C03,PG_BOOL_R009,Y1,comparison_text,3,negated_inverse_predicate,6,=|NOT,NOT (CHAR_LENGTH(STR) = INT),6ba6078fadac03fb2ef24806,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R009_C04,PG_BOOL_R009,Y1,comparison_text,4,is_true_wrapper,6,=|IS|TRUE,(CHAR_LENGTH(STR) = INT) IS TRUE,c99d6672ed48531deaa1a00b,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R009_C05,PG_BOOL_R009,Y1,comparison_text,5,is_not_false_wrapper,6,=|FALSE|IS|NOT,(CHAR_LENGTH(STR) = INT) IS NOT FALSE,56324c82f25eedbd3bdeb57a,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R009_C06,PG_BOOL_R009,Y1,comparison_text,6,case_boolean_wrapper,6,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,CASE WHEN (CHAR_LENGTH(STR) = INT) THEN TRUE ELSE FALSE END,9f5c6ebda1dc324d399823a2,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R009_C07,PG_BOOL_R009,Y1,comparison_text,7,and_true_guard,6,=|AND,(CHAR_LENGTH(STR) = INT) AND (INT = INT),37b6db9afaa972781cb5fba0,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R009_C08,PG_BOOL_R009,Y1,comparison_text,8,or_false_guard,6,<|<>|=|>|OR,(CHAR_LENGTH(STR) = INT) OR (INT <> INT),628d2499f37f9c00bb6804a5,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R009_C09,PG_BOOL_R009,Y1,comparison_text,9,equals_true_wrapper,6,=|TRUE,((CHAR_LENGTH(STR) = INT) = TRUE),f8e3dfc9edf8a5779733c616,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R009_C10,PG_BOOL_R009,Y1,comparison_text,10,coalesce_false_wrapper,6,=|COALESCE|FALSE,"COALESCE((CHAR_LENGTH(STR) = INT), FALSE)",5edf8c9da74af1f549838e6c,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R010_C01,PG_BOOL_R010,Y1,comparison_text,1,base_predicate,6,>|IN,POSITION(STR IN STR) > INT,9ea35e77623c52f00218d123,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R010_C02,PG_BOOL_R010,Y1,comparison_text,2,parenthesized_predicate,6,>|IN,(POSITION(STR IN STR) > INT),a2b181e44d42554501a9e013,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R010_C03,PG_BOOL_R010,Y1,comparison_text,3,negated_inverse_predicate,6,>|IN|NOT,NOT (POSITION(STR IN STR) > INT),6e664063f2c7d3c4659f294c,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R010_C04,PG_BOOL_R010,Y1,comparison_text,4,is_true_wrapper,6,>|IN|IS|TRUE,(POSITION(STR IN STR) > INT) IS TRUE,620a481cb2a880ea480c78e5,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R010_C05,PG_BOOL_R010,Y1,comparison_text,5,is_not_false_wrapper,6,>|FALSE|IN|IS|NOT,(POSITION(STR IN STR) > INT) IS NOT FALSE,396b5067fa72144a0f42ae7a,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
PG_BOOL_R010_C06,PG_BOOL_R010,Y1,comparison_text,6,case_boolean_wrapper,6,>|CASE|ELSE|END|FALSE|IN|THEN|TRUE|WHEN,CASE WHEN (POSITION(STR IN STR) > INT) THEN TRUE ELSE FALSE END,77653f0e7bde4b9a85328785,required_tokens + skeleton_family + delimiter_integrity + boolean_signal,Y1_basic_boolean,Y1,v5
