sample_id,text,payload_raw,prefix,ruleset_id,root_id,structure_cell_id,module_id,y_level,semantic_family,ruleset_family,skeleton_reference,required_tokens,slot_schema_id,source_split,source_view,raw_payload_hash,postgres_runtime_valid,semantic_behavior_valid,usable_for_mle,usable_for_reward_positive,training_role,minimal_seed_reason,schema_version
Y1_R001_C03_S01,<RULE=RS_Y1_R001_C03><CELL=PG_BOOL_R001_C03><FAMILY=comparison_numeric> NOT (54 = 71),NOT (54 = 71),<RULE=RS_Y1_R001_C03><CELL=PG_BOOL_R001_C03><FAMILY=comparison_numeric>,RS_Y1_R001_C03,PG_BOOL_R001,PG_BOOL_R001_C03,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,NOT (INT = INT),=|NOT,SLOT_Y1_R001_C03,train,accepted_static_v4_1,sha256:9d080826776af5026cd5f49100cf0620ec9a73a36ab2ac8a47b0fa9253c93c75,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C03_S02,<RULE=RS_Y1_R001_C03><CELL=PG_BOOL_R001_C03><FAMILY=comparison_numeric> NOT (67 = 84),NOT (67 = 84),<RULE=RS_Y1_R001_C03><CELL=PG_BOOL_R001_C03><FAMILY=comparison_numeric>,RS_Y1_R001_C03,PG_BOOL_R001,PG_BOOL_R001_C03,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,NOT (INT = INT),=|NOT,SLOT_Y1_R001_C03,train,accepted_static_v4_1,sha256:4ba69d0b1c86845b9a0682337740a690a79963daaf4d3b5af570475089e06b89,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C03_S03,<RULE=RS_Y1_R001_C03><CELL=PG_BOOL_R001_C03><FAMILY=comparison_numeric> NOT (80 = 97),NOT (80 = 97),<RULE=RS_Y1_R001_C03><CELL=PG_BOOL_R001_C03><FAMILY=comparison_numeric>,RS_Y1_R001_C03,PG_BOOL_R001,PG_BOOL_R001_C03,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,NOT (INT = INT),=|NOT,SLOT_Y1_R001_C03,train,accepted_static_v4_1,sha256:c153b4fb0ff337f6ad912cfab930ddf3f20d106180943972556ae7789ea7de28,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C03_S04,<RULE=RS_Y1_R001_C03><CELL=PG_BOOL_R001_C03><FAMILY=comparison_numeric> NOT (93 = 93),NOT (93 = 93),<RULE=RS_Y1_R001_C03><CELL=PG_BOOL_R001_C03><FAMILY=comparison_numeric>,RS_Y1_R001_C03,PG_BOOL_R001,PG_BOOL_R001_C03,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,NOT (INT = INT),=|NOT,SLOT_Y1_R001_C03,train,accepted_static_v4_1,sha256:052578c2d241690db738fb4ade3ef8bbb5f0dd0cacd30927d88103b3382d1b85,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C03_S05,<RULE=RS_Y1_R001_C03><CELL=PG_BOOL_R001_C03><FAMILY=comparison_numeric> NOT (9 = 9),NOT (9 = 9),<RULE=RS_Y1_R001_C03><CELL=PG_BOOL_R001_C03><FAMILY=comparison_numeric>,RS_Y1_R001_C03,PG_BOOL_R001,PG_BOOL_R001_C03,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,NOT (INT = INT),=|NOT,SLOT_Y1_R001_C03,train,accepted_static_v4_1,sha256:b402b769d04b47118a0b3e5a1eb2ae2ac40ef9d5b75398e329b72f3010644581,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C03_S06,<RULE=RS_Y1_R001_C03><CELL=PG_BOOL_R001_C03><FAMILY=comparison_numeric> NOT (22 = 22),NOT (22 = 22),<RULE=RS_Y1_R001_C03><CELL=PG_BOOL_R001_C03><FAMILY=comparison_numeric>,RS_Y1_R001_C03,PG_BOOL_R001,PG_BOOL_R001_C03,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,NOT (INT = INT),=|NOT,SLOT_Y1_R001_C03,train,accepted_static_v4_1,sha256:d6440ebe28706432ee496d7746a90ee2712b6b7c0629a7da6f5353a1a6fd6136,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C04_S01,<RULE=RS_Y1_R001_C04><CELL=PG_BOOL_R001_C04><FAMILY=comparison_numeric> (65 = 65) IS TRUE,(65 = 65) IS TRUE,<RULE=RS_Y1_R001_C04><CELL=PG_BOOL_R001_C04><FAMILY=comparison_numeric>,RS_Y1_R001_C04,PG_BOOL_R001,PG_BOOL_R001_C04,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT) IS TRUE,=|IS|TRUE,SLOT_Y1_R001_C04,test,accepted_static_v4_1,sha256:6f307ba048d71f0f5f64735dd380bc86ea677abbf8bd2579dc7aa7f73c34c771,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C04_S02,<RULE=RS_Y1_R001_C04><CELL=PG_BOOL_R001_C04><FAMILY=comparison_numeric> (78 = 78) IS TRUE,(78 = 78) IS TRUE,<RULE=RS_Y1_R001_C04><CELL=PG_BOOL_R001_C04><FAMILY=comparison_numeric>,RS_Y1_R001_C04,PG_BOOL_R001,PG_BOOL_R001_C04,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT) IS TRUE,=|IS|TRUE,SLOT_Y1_R001_C04,train,accepted_static_v4_1,sha256:99b66219c0438573c3449cb1d6823cc1d91a5a4fae4c8c35eafa5b0d64fae6cd,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C04_S03,<RULE=RS_Y1_R001_C04><CELL=PG_BOOL_R001_C04><FAMILY=comparison_numeric> (91 = 91) IS TRUE,(91 = 91) IS TRUE,<RULE=RS_Y1_R001_C04><CELL=PG_BOOL_R001_C04><FAMILY=comparison_numeric>,RS_Y1_R001_C04,PG_BOOL_R001,PG_BOOL_R001_C04,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT) IS TRUE,=|IS|TRUE,SLOT_Y1_R001_C04,train,accepted_static_v4_1,sha256:e646d08ca8d7daa84df1d5715146ad895c59e56322c578509cefd2c3016044e5,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C04_S04,<RULE=RS_Y1_R001_C04><CELL=PG_BOOL_R001_C04><FAMILY=comparison_numeric> (7 = 24) IS TRUE,(7 = 24) IS TRUE,<RULE=RS_Y1_R001_C04><CELL=PG_BOOL_R001_C04><FAMILY=comparison_numeric>,RS_Y1_R001_C04,PG_BOOL_R001,PG_BOOL_R001_C04,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT) IS TRUE,=|IS|TRUE,SLOT_Y1_R001_C04,train,accepted_static_v4_1,sha256:758a2c124c00c7cbded26a81fa935297193e5ec46b83b65fddca492d9b6f15e8,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C04_S05,<RULE=RS_Y1_R001_C04><CELL=PG_BOOL_R001_C04><FAMILY=comparison_numeric> (20 = 37) IS TRUE,(20 = 37) IS TRUE,<RULE=RS_Y1_R001_C04><CELL=PG_BOOL_R001_C04><FAMILY=comparison_numeric>,RS_Y1_R001_C04,PG_BOOL_R001,PG_BOOL_R001_C04,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT) IS TRUE,=|IS|TRUE,SLOT_Y1_R001_C04,train,accepted_static_v4_1,sha256:9d8644ce4615ccee4d4f450e36f7645b671b36a0051b6d2bdc2281f761159af1,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C04_S06,<RULE=RS_Y1_R001_C04><CELL=PG_BOOL_R001_C04><FAMILY=comparison_numeric> (33 = 50) IS TRUE,(33 = 50) IS TRUE,<RULE=RS_Y1_R001_C04><CELL=PG_BOOL_R001_C04><FAMILY=comparison_numeric>,RS_Y1_R001_C04,PG_BOOL_R001,PG_BOOL_R001_C04,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT) IS TRUE,=|IS|TRUE,SLOT_Y1_R001_C04,train,accepted_static_v4_1,sha256:19768d5ab53c4cc47d3f6a2ce1c12fecd12caec622410153d6a2dc1e706d068e,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C05_S01,<RULE=RS_Y1_R001_C05><CELL=PG_BOOL_R001_C05><FAMILY=comparison_numeric> (76 = 76) IS NOT FALSE,(76 = 76) IS NOT FALSE,<RULE=RS_Y1_R001_C05><CELL=PG_BOOL_R001_C05><FAMILY=comparison_numeric>,RS_Y1_R001_C05,PG_BOOL_R001,PG_BOOL_R001_C05,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT) IS NOT FALSE,=|FALSE|IS|NOT,SLOT_Y1_R001_C05,train,accepted_static_v4_1,sha256:7905b7faaf549f6b90f69db5150c023a47a699c6d6abc7f247dd0d01f7a986c0,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C05_S02,<RULE=RS_Y1_R001_C05><CELL=PG_BOOL_R001_C05><FAMILY=comparison_numeric> (89 = 89) IS NOT FALSE,(89 = 89) IS NOT FALSE,<RULE=RS_Y1_R001_C05><CELL=PG_BOOL_R001_C05><FAMILY=comparison_numeric>,RS_Y1_R001_C05,PG_BOOL_R001,PG_BOOL_R001_C05,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT) IS NOT FALSE,=|FALSE|IS|NOT,SLOT_Y1_R001_C05,train,accepted_static_v4_1,sha256:cf12f89bb0c3e36222cb014135e9cbf070a3bbeaa7b1466b8aeb9cdb945ddead,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C05_S03,<RULE=RS_Y1_R001_C05><CELL=PG_BOOL_R001_C05><FAMILY=comparison_numeric> (5 = 5) IS NOT FALSE,(5 = 5) IS NOT FALSE,<RULE=RS_Y1_R001_C05><CELL=PG_BOOL_R001_C05><FAMILY=comparison_numeric>,RS_Y1_R001_C05,PG_BOOL_R001,PG_BOOL_R001_C05,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT) IS NOT FALSE,=|FALSE|IS|NOT,SLOT_Y1_R001_C05,train,accepted_static_v4_1,sha256:560ebc54be9c45ef91bf86279c5d5c48dbea363c9dda399fc6e5601a3c7622f5,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C05_S04,<RULE=RS_Y1_R001_C05><CELL=PG_BOOL_R001_C05><FAMILY=comparison_numeric> (18 = 35) IS NOT FALSE,(18 = 35) IS NOT FALSE,<RULE=RS_Y1_R001_C05><CELL=PG_BOOL_R001_C05><FAMILY=comparison_numeric>,RS_Y1_R001_C05,PG_BOOL_R001,PG_BOOL_R001_C05,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT) IS NOT FALSE,=|FALSE|IS|NOT,SLOT_Y1_R001_C05,train,accepted_static_v4_1,sha256:a614d8f096c387847cb263a816f646e5fcfc38a64dff2d0974227deaaf838ef3,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C05_S05,<RULE=RS_Y1_R001_C05><CELL=PG_BOOL_R001_C05><FAMILY=comparison_numeric> (31 = 48) IS NOT FALSE,(31 = 48) IS NOT FALSE,<RULE=RS_Y1_R001_C05><CELL=PG_BOOL_R001_C05><FAMILY=comparison_numeric>,RS_Y1_R001_C05,PG_BOOL_R001,PG_BOOL_R001_C05,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT) IS NOT FALSE,=|FALSE|IS|NOT,SLOT_Y1_R001_C05,train,accepted_static_v4_1,sha256:96fd3f151e142227fbf4f97750227e87c12da747330cc6b0fbb695b2f7f7173e,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C05_S06,<RULE=RS_Y1_R001_C05><CELL=PG_BOOL_R001_C05><FAMILY=comparison_numeric> (44 = 61) IS NOT FALSE,(44 = 61) IS NOT FALSE,<RULE=RS_Y1_R001_C05><CELL=PG_BOOL_R001_C05><FAMILY=comparison_numeric>,RS_Y1_R001_C05,PG_BOOL_R001,PG_BOOL_R001_C05,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT) IS NOT FALSE,=|FALSE|IS|NOT,SLOT_Y1_R001_C05,train,accepted_static_v4_1,sha256:a5fe54d7d16a74305a027f2c549d7904d9c3f7a50e669ddfbab9fa2de6f0b1f7,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C06_S01,<RULE=RS_Y1_R001_C06><CELL=PG_BOOL_R001_C06><FAMILY=comparison_numeric> CASE WHEN (87 = 87) THEN TRUE ELSE FALSE END,CASE WHEN (87 = 87) THEN TRUE ELSE FALSE END,<RULE=RS_Y1_R001_C06><CELL=PG_BOOL_R001_C06><FAMILY=comparison_numeric>,RS_Y1_R001_C06,PG_BOOL_R001,PG_BOOL_R001_C06,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,CASE WHEN (INT = INT) THEN TRUE ELSE FALSE END,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,SLOT_Y1_R001_C06,train,accepted_static_v4_1,sha256:b36e76e671e2dff7d545644f8af9eab0a66942b10a1d9a54ba54f291af31946e,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C06_S02,<RULE=RS_Y1_R001_C06><CELL=PG_BOOL_R001_C06><FAMILY=comparison_numeric> CASE WHEN (3 = 3) THEN TRUE ELSE FALSE END,CASE WHEN (3 = 3) THEN TRUE ELSE FALSE END,<RULE=RS_Y1_R001_C06><CELL=PG_BOOL_R001_C06><FAMILY=comparison_numeric>,RS_Y1_R001_C06,PG_BOOL_R001,PG_BOOL_R001_C06,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,CASE WHEN (INT = INT) THEN TRUE ELSE FALSE END,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,SLOT_Y1_R001_C06,train,accepted_static_v4_1,sha256:25a7682b1b7521850fefaaec50b585cc4280a132c9a8287ed66c30f788024cb6,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C06_S03,<RULE=RS_Y1_R001_C06><CELL=PG_BOOL_R001_C06><FAMILY=comparison_numeric> CASE WHEN (16 = 16) THEN TRUE ELSE FALSE END,CASE WHEN (16 = 16) THEN TRUE ELSE FALSE END,<RULE=RS_Y1_R001_C06><CELL=PG_BOOL_R001_C06><FAMILY=comparison_numeric>,RS_Y1_R001_C06,PG_BOOL_R001,PG_BOOL_R001_C06,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,CASE WHEN (INT = INT) THEN TRUE ELSE FALSE END,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,SLOT_Y1_R001_C06,train,accepted_static_v4_1,sha256:55db5a95119c1508c9bc2097cd202c44431a777327a2021eddb69eb6829e93a1,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C06_S04,<RULE=RS_Y1_R001_C06><CELL=PG_BOOL_R001_C06><FAMILY=comparison_numeric> CASE WHEN (29 = 46) THEN TRUE ELSE FALSE END,CASE WHEN (29 = 46) THEN TRUE ELSE FALSE END,<RULE=RS_Y1_R001_C06><CELL=PG_BOOL_R001_C06><FAMILY=comparison_numeric>,RS_Y1_R001_C06,PG_BOOL_R001,PG_BOOL_R001_C06,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,CASE WHEN (INT = INT) THEN TRUE ELSE FALSE END,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,SLOT_Y1_R001_C06,train,accepted_static_v4_1,sha256:3068daa38f93a3dcd9a4fb651f50717c71d152154e12348983dfb8d8d75f0b20,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C06_S05,<RULE=RS_Y1_R001_C06><CELL=PG_BOOL_R001_C06><FAMILY=comparison_numeric> CASE WHEN (42 = 59) THEN TRUE ELSE FALSE END,CASE WHEN (42 = 59) THEN TRUE ELSE FALSE END,<RULE=RS_Y1_R001_C06><CELL=PG_BOOL_R001_C06><FAMILY=comparison_numeric>,RS_Y1_R001_C06,PG_BOOL_R001,PG_BOOL_R001_C06,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,CASE WHEN (INT = INT) THEN TRUE ELSE FALSE END,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,SLOT_Y1_R001_C06,train,accepted_static_v4_1,sha256:875b55562f7dc22793fe8474cae9f28547d51231b24b3522f5f9504f9e8ab731,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C06_S06,<RULE=RS_Y1_R001_C06><CELL=PG_BOOL_R001_C06><FAMILY=comparison_numeric> CASE WHEN (55 = 72) THEN TRUE ELSE FALSE END,CASE WHEN (55 = 72) THEN TRUE ELSE FALSE END,<RULE=RS_Y1_R001_C06><CELL=PG_BOOL_R001_C06><FAMILY=comparison_numeric>,RS_Y1_R001_C06,PG_BOOL_R001,PG_BOOL_R001_C06,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,CASE WHEN (INT = INT) THEN TRUE ELSE FALSE END,=|CASE|ELSE|END|FALSE|THEN|TRUE|WHEN,SLOT_Y1_R001_C06,dev,accepted_static_v4_1,sha256:c7d01bf693520a6847fcac96e59e1711854dca63109b9bbdcda8297767949d6d,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C07_S01,<RULE=RS_Y1_R001_C07><CELL=PG_BOOL_R001_C07><FAMILY=comparison_numeric> (1 = 1) AND (52 = 52),(1 = 1) AND (52 = 52),<RULE=RS_Y1_R001_C07><CELL=PG_BOOL_R001_C07><FAMILY=comparison_numeric>,RS_Y1_R001_C07,PG_BOOL_R001,PG_BOOL_R001_C07,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT) AND (INT = INT),=|AND,SLOT_Y1_R001_C07,train,accepted_static_v4_1,sha256:1998d2d734ebb58034eee3af1d974f018c98421e9eedfd37f960c0cda81abf35,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C07_S02,<RULE=RS_Y1_R001_C07><CELL=PG_BOOL_R001_C07><FAMILY=comparison_numeric> (14 = 14) AND (65 = 65),(14 = 14) AND (65 = 65),<RULE=RS_Y1_R001_C07><CELL=PG_BOOL_R001_C07><FAMILY=comparison_numeric>,RS_Y1_R001_C07,PG_BOOL_R001,PG_BOOL_R001_C07,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT) AND (INT = INT),=|AND,SLOT_Y1_R001_C07,train,accepted_static_v4_1,sha256:02b77085184850f4c1ecbbba8d1a4b9decd4e6a5db8138adc4590fcb77e85069,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C07_S03,<RULE=RS_Y1_R001_C07><CELL=PG_BOOL_R001_C07><FAMILY=comparison_numeric> (27 = 27) AND (78 = 78),(27 = 27) AND (78 = 78),<RULE=RS_Y1_R001_C07><CELL=PG_BOOL_R001_C07><FAMILY=comparison_numeric>,RS_Y1_R001_C07,PG_BOOL_R001,PG_BOOL_R001_C07,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT) AND (INT = INT),=|AND,SLOT_Y1_R001_C07,train,accepted_static_v4_1,sha256:8a03a3c6bab93f5271d7a03c6cc3a34adee3d6b5b206ca3f45fc9403b26011f9,not_run,not_run,True,True,accepted_static_positive,,v5.1
Y1_R001_C07_S04,<RULE=RS_Y1_R001_C07><CELL=PG_BOOL_R001_C07><FAMILY=comparison_numeric> (40 = 57) AND (91 = 91),(40 = 57) AND (91 = 91),<RULE=RS_Y1_R001_C07><CELL=PG_BOOL_R001_C07><FAMILY=comparison_numeric>,RS_Y1_R001_C07,PG_BOOL_R001,PG_BOOL_R001_C07,Y1_basic_boolean,Y1,comparison_numeric,comparison_numeric,(INT = INT) AND (INT = INT),=|AND,SLOT_Y1_R001_C07,dev,accepted_static_v4_1,sha256:f911a9fbcbbd3fb6cb9d006ceae5f93c1b0adb01e42cc317a73add4746605532,not_run,not_run,True,True,accepted_static_positive,,v5.1
