rendered_sample_id,parent_sample_id,parent_ruleset_id,parent_module_id,target_module_id,payload_before_transform,payload_after_transform,transform_recipe_id,transform_family,roundtrip_valid,structure_preserved,semantic_preserved,parent_reward_total,render_reward_total,accepted_for_next_stage,runtime_validation_required,runtime_claim_allowed,lineage_source
Y3_R001_C03_S02,Y1_R001_C03_S02,RS_Y1_R001_C03,Y1_basic_boolean,Y3_encoded_boolean,NOT (67 = 84),NOT%20%2867%20%3D%2084%29,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C03_S03,Y2_R001_C03_S03,RS_Y2_R001_C03,Y2_boolean_variation,Y3_encoded_boolean,NOT (80 = 97),NOT%20%2880%20=%2097%29,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C03_S04,Y1_R001_C03_S04,RS_Y1_R001_C03,Y1_basic_boolean,Y3_encoded_boolean,NOT (93 = 93),NOT%20(93%20%3D%2093),T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C03_S05,Y1_R001_C03_S05,RS_Y1_R001_C03,Y1_basic_boolean,Y3_encoded_boolean,NOT (9 = 9),NOT%20%289%20%3D%209%29,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C03_S06,Y2_R001_C03_S06,RS_Y2_R001_C03,Y2_boolean_variation,Y3_encoded_boolean,NOT (22 = 22),NOT%20%2822%20=%2022%29,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C04_S01,Y1_R001_C04_S01,RS_Y1_R001_C04,Y1_basic_boolean,Y3_encoded_boolean,(65 = 65) IS TRUE,%2865%20%3D%2065%29%20IS%20TRUE,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C04_S02,Y2_R001_C04_S02,RS_Y2_R001_C04,Y2_boolean_variation,Y3_encoded_boolean,(78 = 78) IS TRUE,%2878%20=%2078%29%20IS%20TRUE,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C04_S03,Y1_R001_C04_S03,RS_Y1_R001_C04,Y1_basic_boolean,Y3_encoded_boolean,(91 = 91) IS TRUE,(91%20%3D%2091)%20IS%20TRUE,T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C04_S04,Y1_R001_C04_S04,RS_Y1_R001_C04,Y1_basic_boolean,Y3_encoded_boolean,(7 = 24) IS TRUE,%287%20%3D%2024%29%20IS%20TRUE,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C04_S05,Y2_R001_C04_S05,RS_Y2_R001_C04,Y2_boolean_variation,Y3_encoded_boolean,(20 = 37) IS TRUE,%2820%20=%2037%29%20IS%20TRUE,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C04_S06,Y1_R001_C04_S06,RS_Y1_R001_C04,Y1_basic_boolean,Y3_encoded_boolean,(33 = 50) IS TRUE,(33%20%3D%2050)%20IS%20TRUE,T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C05_S01,Y2_R001_C05_S01,RS_Y2_R001_C05,Y2_boolean_variation,Y3_encoded_boolean,(76 = 76) IS NOT FALSE,%2876%20=%2076%29%20IS%20NOT%20FALSE,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C05_S02,Y1_R001_C05_S02,RS_Y1_R001_C05,Y1_basic_boolean,Y3_encoded_boolean,(89 = 89) IS NOT FALSE,(89%20%3D%2089)%20IS%20NOT%20FALSE,T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C05_S03,Y1_R001_C05_S03,RS_Y1_R001_C05,Y1_basic_boolean,Y3_encoded_boolean,(5 = 5) IS NOT FALSE,%285%20%3D%205%29%20IS%20NOT%20FALSE,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C05_S04,Y2_R001_C05_S04,RS_Y2_R001_C05,Y2_boolean_variation,Y3_encoded_boolean,(18 = 35) IS NOT FALSE,%2818%20=%2035%29%20IS%20NOT%20FALSE,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C05_S05,Y1_R001_C05_S05,RS_Y1_R001_C05,Y1_basic_boolean,Y3_encoded_boolean,(31 = 48) IS NOT FALSE,(31%20%3D%2048)%20IS%20NOT%20FALSE,T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C05_S06,Y1_R001_C05_S06,RS_Y1_R001_C05,Y1_basic_boolean,Y3_encoded_boolean,(44 = 61) IS NOT FALSE,%2844%20%3D%2061%29%20IS%20NOT%20FALSE,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C06_S01,Y1_R001_C06_S01,RS_Y1_R001_C06,Y1_basic_boolean,Y3_encoded_boolean,CASE WHEN (87 = 87) THEN TRUE ELSE FALSE END,CASE%20WHEN%20(87%20%3D%2087)%20THEN%20TRUE%20ELSE%20FALSE%20END,T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C06_S02,Y1_R001_C06_S02,RS_Y1_R001_C06,Y1_basic_boolean,Y3_encoded_boolean,CASE WHEN (3 = 3) THEN TRUE ELSE FALSE END,CASE%20WHEN%20%283%20%3D%203%29%20THEN%20TRUE%20ELSE%20FALSE%20END,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C06_S03,Y2_R001_C06_S03,RS_Y2_R001_C06,Y2_boolean_variation,Y3_encoded_boolean,CASE WHEN (16 = 16) THEN TRUE ELSE FALSE END,CASE%20WHEN%20%2816%20=%2016%29%20THEN%20TRUE%20ELSE%20FALSE%20END,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C06_S04,Y1_R001_C06_S04,RS_Y1_R001_C06,Y1_basic_boolean,Y3_encoded_boolean,CASE WHEN (29 = 46) THEN TRUE ELSE FALSE END,CASE%20WHEN%20(29%20%3D%2046)%20THEN%20TRUE%20ELSE%20FALSE%20END,T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C06_S05,Y1_R001_C06_S05,RS_Y1_R001_C06,Y1_basic_boolean,Y3_encoded_boolean,CASE WHEN (42 = 59) THEN TRUE ELSE FALSE END,CASE%20WHEN%20%2842%20%3D%2059%29%20THEN%20TRUE%20ELSE%20FALSE%20END,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C06_S06,Y2_R001_C06_S06,RS_Y2_R001_C06,Y2_boolean_variation,Y3_encoded_boolean,CASE WHEN (55 = 72) THEN TRUE ELSE FALSE END,CASE%20WHEN%20%2855%20=%2072%29%20THEN%20TRUE%20ELSE%20FALSE%20END,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C07_S01,Y1_R001_C07_S01,RS_Y1_R001_C07,Y1_basic_boolean,Y3_encoded_boolean,(1 = 1) AND (52 = 52),%281%20%3D%201%29%20AND%20%2852%20%3D%2052%29,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C07_S02,Y2_R001_C07_S02,RS_Y2_R001_C07,Y2_boolean_variation,Y3_encoded_boolean,(14 = 14) AND (65 = 65),%2814%20=%2014%29%20AND%20%2865%20=%2065%29,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C07_S03,Y1_R001_C07_S03,RS_Y1_R001_C07,Y1_basic_boolean,Y3_encoded_boolean,(27 = 27) AND (78 = 78),(27%20%3D%2027)%20AND%20(78%20%3D%2078),T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C07_S04,Y1_R001_C07_S04,RS_Y1_R001_C07,Y1_basic_boolean,Y3_encoded_boolean,(40 = 57) AND (91 = 91),%2840%20%3D%2057%29%20AND%20%2891%20%3D%2091%29,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C07_S05,Y2_R001_C07_S05,RS_Y2_R001_C07,Y2_boolean_variation,Y3_encoded_boolean,(53 = 70) AND (7 = 7),%2853%20=%2070%29%20AND%20%287%20=%207%29,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C07_S06,Y1_R001_C07_S06,RS_Y1_R001_C07,Y1_basic_boolean,Y3_encoded_boolean,(66 = 83) AND (20 = 20),(66%20%3D%2083)%20AND%20(20%20%3D%2020),T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C08_S01,Y2_R001_C08_S01,RS_Y2_R001_C08,Y2_boolean_variation,Y3_encoded_boolean,(12 = 12) OR (80 <> 80),%2812%20=%2012%29%20OR%20%2880%20<>%2080%29,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C08_S02,Y1_R001_C08_S02,RS_Y1_R001_C08,Y1_basic_boolean,Y3_encoded_boolean,(25 = 25) OR (93 <> 93),(25%20%3D%2025)%20OR%20(93%20%3C%3E%2093),T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C08_S03,Y1_R001_C08_S03,RS_Y1_R001_C08,Y1_basic_boolean,Y3_encoded_boolean,(38 = 38) OR (9 <> 9),%2838%20%3D%2038%29%20OR%20%289%20%3C%3E%209%29,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C08_S04,Y2_R001_C08_S04,RS_Y2_R001_C08,Y2_boolean_variation,Y3_encoded_boolean,(51 = 68) OR (22 <> 22),%2851%20=%2068%29%20OR%20%2822%20<>%2022%29,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C08_S05,Y1_R001_C08_S05,RS_Y1_R001_C08,Y1_basic_boolean,Y3_encoded_boolean,(64 = 81) OR (35 <> 35),(64%20%3D%2081)%20OR%20(35%20%3C%3E%2035),T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C08_S06,Y1_R001_C08_S06,RS_Y1_R001_C08,Y1_basic_boolean,Y3_encoded_boolean,(77 = 94) OR (48 <> 48),%2877%20%3D%2094%29%20OR%20%2848%20%3C%3E%2048%29,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C09_S01,Y1_R001_C09_S01,RS_Y1_R001_C09,Y1_basic_boolean,Y3_encoded_boolean,((23 = 23) = TRUE),((23%20%3D%2023)%20%3D%20TRUE),T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C09_S02,Y1_R001_C09_S02,RS_Y1_R001_C09,Y1_basic_boolean,Y3_encoded_boolean,((36 = 36) = TRUE),%28%2836%20%3D%2036%29%20%3D%20TRUE%29,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C09_S03,Y2_R001_C09_S03,RS_Y2_R001_C09,Y2_boolean_variation,Y3_encoded_boolean,((49 = 49) = TRUE),%28%2849%20=%2049%29%20=%20TRUE%29,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C09_S04,Y1_R001_C09_S04,RS_Y1_R001_C09,Y1_basic_boolean,Y3_encoded_boolean,((62 = 79) = TRUE),((62%20%3D%2079)%20%3D%20TRUE),T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C09_S05,Y1_R001_C09_S05,RS_Y1_R001_C09,Y1_basic_boolean,Y3_encoded_boolean,((75 = 92) = TRUE),%28%2875%20%3D%2092%29%20%3D%20TRUE%29,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C09_S06,Y2_R001_C09_S06,RS_Y2_R001_C09,Y2_boolean_variation,Y3_encoded_boolean,((88 = 8) = TRUE),%28%2888%20=%208%29%20=%20TRUE%29,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C10_S01,Y1_R001_C10_S01,RS_Y1_R001_C10,Y1_basic_boolean,Y3_encoded_boolean,"COALESCE((34 = 34), FALSE)",COALESCE%28%2834%20%3D%2034%29%2C%20FALSE%29,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C10_S02,Y2_R001_C10_S02,RS_Y2_R001_C10,Y2_boolean_variation,Y3_encoded_boolean,"COALESCE((47 = 47), FALSE)",COALESCE%28%2847%20=%2047%29%2C%20FALSE%29,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C10_S03,Y1_R001_C10_S03,RS_Y1_R001_C10,Y1_basic_boolean,Y3_encoded_boolean,"COALESCE((60 = 60), FALSE)","COALESCE((60%20%3D%2060),%20FALSE)",T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C10_S04,Y1_R001_C10_S04,RS_Y1_R001_C10,Y1_basic_boolean,Y3_encoded_boolean,"COALESCE((73 = 90), FALSE)",COALESCE%28%2873%20%3D%2090%29%2C%20FALSE%29,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C10_S05,Y2_R001_C10_S05,RS_Y2_R001_C10,Y2_boolean_variation,Y3_encoded_boolean,"COALESCE((86 = 6), FALSE)",COALESCE%28%2886%20=%206%29%2C%20FALSE%29,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R001_C10_S06,Y1_R001_C10_S06,RS_Y1_R001_C10,Y1_basic_boolean,Y3_encoded_boolean,"COALESCE((2 = 19), FALSE)","COALESCE((2%20%3D%2019),%20FALSE)",T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C01_S01,Y2_R002_C01_S01,RS_Y2_R002_C01,Y2_boolean_variation,Y3_encoded_boolean,39 <> 56,39%20<>%2056,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C01_S02,Y1_R002_C01_S02,RS_Y1_R002_C01,Y1_basic_boolean,Y3_encoded_boolean,52 <> 69,52%20%3C%3E%2069,T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C01_S03,Y1_R002_C01_S03,RS_Y1_R002_C01,Y1_basic_boolean,Y3_encoded_boolean,65 <> 82,65%20%3C%3E%2082,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C01_S04,Y2_R002_C01_S04,RS_Y2_R002_C01,Y2_boolean_variation,Y3_encoded_boolean,78 <> 78,78%20<>%2078,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C01_S05,Y1_R002_C01_S05,RS_Y1_R002_C01,Y1_basic_boolean,Y3_encoded_boolean,91 <> 91,91%20%3C%3E%2091,T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C01_S06,Y1_R002_C01_S06,RS_Y1_R002_C01,Y1_basic_boolean,Y3_encoded_boolean,7 <> 7,7%20%3C%3E%207,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C02_S01,Y1_R002_C02_S01,RS_Y1_R002_C02,Y1_basic_boolean,Y3_encoded_boolean,(50 <> 67),(50%20%3C%3E%2067),T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C02_S02,Y1_R002_C02_S02,RS_Y1_R002_C02,Y1_basic_boolean,Y3_encoded_boolean,(63 <> 80),%2863%20%3C%3E%2080%29,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C02_S03,Y2_R002_C02_S03,RS_Y2_R002_C02,Y2_boolean_variation,Y3_encoded_boolean,(76 <> 93),%2876%20<>%2093%29,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C02_S04,Y1_R002_C02_S04,RS_Y1_R002_C02,Y1_basic_boolean,Y3_encoded_boolean,(89 <> 89),(89%20%3C%3E%2089),T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C02_S05,Y1_R002_C02_S05,RS_Y1_R002_C02,Y1_basic_boolean,Y3_encoded_boolean,(5 <> 5),%285%20%3C%3E%205%29,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C02_S06,Y2_R002_C02_S06,RS_Y2_R002_C02,Y2_boolean_variation,Y3_encoded_boolean,(18 <> 18),%2818%20<>%2018%29,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C03_S01,Y1_R002_C03_S01,RS_Y1_R002_C03,Y1_basic_boolean,Y3_encoded_boolean,NOT (61 <> 61),NOT%20%2861%20%3C%3E%2061%29,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C03_S02,Y2_R002_C03_S02,RS_Y2_R002_C03,Y2_boolean_variation,Y3_encoded_boolean,NOT (74 <> 74),NOT%20%2874%20<>%2074%29,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C03_S03,Y1_R002_C03_S03,RS_Y1_R002_C03,Y1_basic_boolean,Y3_encoded_boolean,NOT (87 <> 87),NOT%20(87%20%3C%3E%2087),T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C03_S04,Y1_R002_C03_S04,RS_Y1_R002_C03,Y1_basic_boolean,Y3_encoded_boolean,NOT (3 <> 20),NOT%20%283%20%3C%3E%2020%29,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C03_S05,Y2_R002_C03_S05,RS_Y2_R002_C03,Y2_boolean_variation,Y3_encoded_boolean,NOT (16 <> 33),NOT%20%2816%20<>%2033%29,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C03_S06,Y1_R002_C03_S06,RS_Y1_R002_C03,Y1_basic_boolean,Y3_encoded_boolean,NOT (29 <> 46),NOT%20(29%20%3C%3E%2046),T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C04_S01,Y2_R002_C04_S01,RS_Y2_R002_C04,Y2_boolean_variation,Y3_encoded_boolean,(72 <> 89) IS TRUE,%2872%20<>%2089%29%20IS%20TRUE,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C04_S02,Y1_R002_C04_S02,RS_Y1_R002_C04,Y1_basic_boolean,Y3_encoded_boolean,(85 <> 5) IS TRUE,(85%20%3C%3E%205)%20IS%20TRUE,T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C04_S03,Y1_R002_C04_S03,RS_Y1_R002_C04,Y1_basic_boolean,Y3_encoded_boolean,(1 <> 18) IS TRUE,%281%20%3C%3E%2018%29%20IS%20TRUE,T_Y3_URL_FULL,url_encode_space_delimiter_operator_quote,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C04_S04,Y2_R002_C04_S04,RS_Y2_R002_C04,Y2_boolean_variation,Y3_encoded_boolean,(14 <> 14) IS TRUE,%2814%20<>%2014%29%20IS%20TRUE,T_Y3_URL_PARTIAL,partial_url_encode_space_parentheses_comma,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
Y3_R002_C04_S05,Y1_R002_C04_S05,RS_Y1_R002_C04,Y1_basic_boolean,Y3_encoded_boolean,(27 <> 27) IS TRUE,(27%20%3C%3E%2027)%20IS%20TRUE,T_Y3_OPERATOR_QUOTE_PERCENT,operator_and_quote_percent_encoding,True,True,True,,0.935,True,True,False,source_assigned_renderer_lineage
