structure_cell_id,root_id,y_level,complexity_label,cell_index,cell_recipe,representation_contract,semantic_equivalence_group,decode_layers,requires_decode,corpus_role
Y1_PG_BOOL_R001_C01,PG_BOOL_R001,Y1,Simple,1,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R001,0,False,seqgan_attack_source
Y1_PG_BOOL_R005_C08,PG_BOOL_R005,Y1,Simple,8,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R005,0,False,seqgan_attack_source
Y1_PG_BOOL_R005_C09,PG_BOOL_R005,Y1,Simple,9,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R005,0,False,seqgan_attack_source
Y1_PG_BOOL_R005_C10,PG_BOOL_R005,Y1,Simple,10,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R005,0,False,seqgan_attack_source
Y1_PG_BOOL_R006_C01,PG_BOOL_R006,Y1,Simple,1,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R006,0,False,seqgan_attack_source
Y1_PG_BOOL_R006_C02,PG_BOOL_R006,Y1,Simple,2,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R006,0,False,seqgan_attack_source
Y1_PG_BOOL_R006_C03,PG_BOOL_R006,Y1,Simple,3,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R006,0,False,seqgan_attack_source
Y1_PG_BOOL_R006_C04,PG_BOOL_R006,Y1,Simple,4,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R006,0,False,seqgan_attack_source
Y1_PG_BOOL_R006_C05,PG_BOOL_R006,Y1,Simple,5,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R006,0,False,seqgan_attack_source
Y1_PG_BOOL_R006_C06,PG_BOOL_R006,Y1,Simple,6,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R006,0,False,seqgan_attack_source
Y1_PG_BOOL_R006_C07,PG_BOOL_R006,Y1,Simple,7,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R006,0,False,seqgan_attack_source
Y1_PG_BOOL_R006_C08,PG_BOOL_R006,Y1,Simple,8,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R006,0,False,seqgan_attack_source
Y1_PG_BOOL_R006_C09,PG_BOOL_R006,Y1,Simple,9,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R006,0,False,seqgan_attack_source
Y1_PG_BOOL_R006_C10,PG_BOOL_R006,Y1,Simple,10,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R006,0,False,seqgan_attack_source
Y1_PG_BOOL_R007_C01,PG_BOOL_R007,Y1,Simple,1,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R007,0,False,seqgan_attack_source
Y1_PG_BOOL_R007_C02,PG_BOOL_R007,Y1,Simple,2,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R007,0,False,seqgan_attack_source
Y1_PG_BOOL_R007_C03,PG_BOOL_R007,Y1,Simple,3,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R007,0,False,seqgan_attack_source
Y1_PG_BOOL_R007_C04,PG_BOOL_R007,Y1,Simple,4,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R007,0,False,seqgan_attack_source
Y1_PG_BOOL_R007_C05,PG_BOOL_R007,Y1,Simple,5,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R007,0,False,seqgan_attack_source
Y1_PG_BOOL_R007_C06,PG_BOOL_R007,Y1,Simple,6,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R007,0,False,seqgan_attack_source
Y1_PG_BOOL_R007_C07,PG_BOOL_R007,Y1,Simple,7,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R007,0,False,seqgan_attack_source
Y1_PG_BOOL_R007_C08,PG_BOOL_R007,Y1,Simple,8,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R007,0,False,seqgan_attack_source
Y1_PG_BOOL_R007_C09,PG_BOOL_R007,Y1,Simple,9,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R007,0,False,seqgan_attack_source
Y1_PG_BOOL_R007_C10,PG_BOOL_R007,Y1,Simple,10,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R007,0,False,seqgan_attack_source
Y1_PG_BOOL_R008_C01,PG_BOOL_R008,Y1,Simple,1,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R008,0,False,seqgan_attack_source
Y1_PG_BOOL_R008_C02,PG_BOOL_R008,Y1,Simple,2,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R008,0,False,seqgan_attack_source
Y1_PG_BOOL_R008_C03,PG_BOOL_R008,Y1,Simple,3,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R008,0,False,seqgan_attack_source
Y1_PG_BOOL_R008_C04,PG_BOOL_R008,Y1,Simple,4,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R008,0,False,seqgan_attack_source
Y1_PG_BOOL_R008_C05,PG_BOOL_R008,Y1,Simple,5,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R008,0,False,seqgan_attack_source
Y1_PG_BOOL_R008_C06,PG_BOOL_R008,Y1,Simple,6,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R008,0,False,seqgan_attack_source
Y1_PG_BOOL_R008_C07,PG_BOOL_R008,Y1,Simple,7,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R008,0,False,seqgan_attack_source
Y1_PG_BOOL_R008_C08,PG_BOOL_R008,Y1,Simple,8,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R008,0,False,seqgan_attack_source
Y1_PG_BOOL_R008_C09,PG_BOOL_R008,Y1,Simple,9,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R008,0,False,seqgan_attack_source
Y1_PG_BOOL_R008_C10,PG_BOOL_R008,Y1,Simple,10,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R008,0,False,seqgan_attack_source
Y1_PG_BOOL_R009_C01,PG_BOOL_R009,Y1,Simple,1,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R009,0,False,seqgan_attack_source
Y1_PG_BOOL_R009_C02,PG_BOOL_R009,Y1,Simple,2,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R009,0,False,seqgan_attack_source
Y1_PG_BOOL_R009_C03,PG_BOOL_R009,Y1,Simple,3,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R009,0,False,seqgan_attack_source
Y1_PG_BOOL_R009_C04,PG_BOOL_R009,Y1,Simple,4,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R009,0,False,seqgan_attack_source
Y1_PG_BOOL_R009_C05,PG_BOOL_R009,Y1,Simple,5,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R009,0,False,seqgan_attack_source
Y1_PG_BOOL_R009_C06,PG_BOOL_R009,Y1,Simple,6,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R009,0,False,seqgan_attack_source
Y1_PG_BOOL_R009_C07,PG_BOOL_R009,Y1,Simple,7,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R009,0,False,seqgan_attack_source
Y1_PG_BOOL_R009_C08,PG_BOOL_R009,Y1,Simple,8,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R009,0,False,seqgan_attack_source
Y1_PG_BOOL_R009_C09,PG_BOOL_R009,Y1,Simple,9,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R009,0,False,seqgan_attack_source
Y1_PG_BOOL_R009_C10,PG_BOOL_R009,Y1,Simple,10,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R009,0,False,seqgan_attack_source
Y1_PG_BOOL_R010_C01,PG_BOOL_R010,Y1,Simple,1,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R010,0,False,seqgan_attack_source
Y1_PG_BOOL_R010_C02,PG_BOOL_R010,Y1,Simple,2,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R010,0,False,seqgan_attack_source
Y1_PG_BOOL_R010_C03,PG_BOOL_R010,Y1,Simple,3,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R010,0,False,seqgan_attack_source
Y1_PG_BOOL_R010_C04,PG_BOOL_R010,Y1,Simple,4,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R010,0,False,seqgan_attack_source
Y1_PG_BOOL_R010_C05,PG_BOOL_R010,Y1,Simple,5,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R010,0,False,seqgan_attack_source
Y1_PG_BOOL_R010_C06,PG_BOOL_R010,Y1,Simple,6,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R010,0,False,seqgan_attack_source
Y1_PG_BOOL_R010_C07,PG_BOOL_R010,Y1,Simple,7,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R010,0,False,seqgan_attack_source
Y1_PG_BOOL_R010_C08,PG_BOOL_R010,Y1,Simple,8,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R010,0,False,seqgan_attack_source
Y1_PG_BOOL_R010_C09,PG_BOOL_R010,Y1,Simple,9,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R010,0,False,seqgan_attack_source
Y1_PG_BOOL_R010_C10,PG_BOOL_R010,Y1,Simple,10,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R010,0,False,seqgan_attack_source
Y1_PG_BOOL_R011_C01,PG_BOOL_R011,Y1,Simple,1,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R011,0,False,seqgan_attack_source
Y1_PG_BOOL_R011_C02,PG_BOOL_R011,Y1,Simple,2,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R011,0,False,seqgan_attack_source
Y1_PG_BOOL_R011_C03,PG_BOOL_R011,Y1,Simple,3,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R011,0,False,seqgan_attack_source
Y1_PG_BOOL_R011_C04,PG_BOOL_R011,Y1,Simple,4,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R011,0,False,seqgan_attack_source
Y1_PG_BOOL_R011_C05,PG_BOOL_R011,Y1,Simple,5,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R011,0,False,seqgan_attack_source
Y1_PG_BOOL_R011_C06,PG_BOOL_R011,Y1,Simple,6,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R011,0,False,seqgan_attack_source
Y1_PG_BOOL_R011_C07,PG_BOOL_R011,Y1,Simple,7,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R011,0,False,seqgan_attack_source
Y1_PG_BOOL_R011_C08,PG_BOOL_R011,Y1,Simple,8,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R011,0,False,seqgan_attack_source
Y1_PG_BOOL_R011_C09,PG_BOOL_R011,Y1,Simple,9,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R011,0,False,seqgan_attack_source
Y1_PG_BOOL_R011_C10,PG_BOOL_R011,Y1,Simple,10,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R011,0,False,seqgan_attack_source
Y1_PG_BOOL_R012_C01,PG_BOOL_R012,Y1,Simple,1,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R012,0,False,seqgan_attack_source
Y1_PG_BOOL_R012_C02,PG_BOOL_R012,Y1,Simple,2,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R012,0,False,seqgan_attack_source
Y1_PG_BOOL_R012_C03,PG_BOOL_R012,Y1,Simple,3,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R012,0,False,seqgan_attack_source
Y1_PG_BOOL_R012_C04,PG_BOOL_R012,Y1,Simple,4,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R012,0,False,seqgan_attack_source
Y1_PG_BOOL_R012_C05,PG_BOOL_R012,Y1,Simple,5,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R012,0,False,seqgan_attack_source
Y1_PG_BOOL_R012_C06,PG_BOOL_R012,Y1,Simple,6,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R012,0,False,seqgan_attack_source
Y1_PG_BOOL_R012_C07,PG_BOOL_R012,Y1,Simple,7,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R012,0,False,seqgan_attack_source
Y1_PG_BOOL_R012_C08,PG_BOOL_R012,Y1,Simple,8,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R012,0,False,seqgan_attack_source
Y1_PG_BOOL_R012_C09,PG_BOOL_R012,Y1,Simple,9,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R012,0,False,seqgan_attack_source
Y1_PG_BOOL_R012_C10,PG_BOOL_R012,Y1,Simple,10,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R012,0,False,seqgan_attack_source
Y1_PG_BOOL_R013_C01,PG_BOOL_R013,Y1,Simple,1,direct_canonical,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R013,0,False,seqgan_attack_source
Y1_PG_BOOL_R013_C02,PG_BOOL_R013,Y1,Simple,2,direct_literal_profile,Direct PostgreSQL Boolean predicate; no transport encoding; no deliberate lexical obfuscation.,PG_BOOL_R013,0,False,seqgan_attack_source
