root_id,y_level,y_name,semantic_family,root_variant,root_grammar_description,syntax_template_postgresql,source_type,attack_intent,no_context_payload_only,engine_validated,exploit_confirmed
PG_BOOL_R032,Y1,Y1_Simple,like_ilike,2,LIKE/ILIKE pattern predicate,'PRIME6' ILIKE 'pr%',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R033,Y1,Y1_Simple,like_ilike,3,LIKE/ILIKE pattern predicate,'core7' NOT LIKE 'zz%',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R034,Y1,Y1_Simple,like_ilike,4,LIKE/ILIKE pattern predicate,'safe8' LIKE '%e8',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R035,Y1,Y1_Simple,like_ilike,5,LIKE/ILIKE pattern predicate,'audit0' ILIKE '%ud%',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R036,Y1,Y1_Simple,regex_match,1,POSIX regex predicate,'trace1' ~ '^tr',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R037,Y1,Y1_Simple,regex_match,2,POSIX regex predicate,'signal2' !~ '^zz',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R038,Y1,Y1_Simple,regex_match,3,POSIX regex predicate,'alpha3' ~* 'AL',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R039,Y1,Y1_Simple,regex_match,4,POSIX regex predicate,'beta4' SIMILAR TO 'be%',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R040,Y1,Y1_Simple,regex_match,5,POSIX regex predicate,'gamma5' NOT SIMILAR TO 'zz%',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R041,Y1,Y1_Simple,string_function,1,String function predicate,length('delta6') = 6,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R042,Y1,Y1_Simple,string_function,2,String function predicate,substring('omega7' from 1 for 2) = 'om',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R043,Y1,Y1_Simple,string_function,3,String function predicate,upper('active8') = 'ACTIVE8',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R044,Y1,Y1_Simple,string_function,4,String function predicate,"replace('pending0', 'p', 'p') = 'pending0'",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R045,Y1,Y1_Simple,string_function,5,String function predicate,"left('public1', 1) = 'p'",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R046,Y1,Y1_Simple,arithmetic_expression,1,Arithmetic Boolean predicate,(56 + 73) = 129,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R047,Y1,Y1_Simple,arithmetic_expression,2,Arithmetic Boolean predicate,(80 - 63) = 17,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R048,Y1,Y1_Simple,arithmetic_expression,3,Arithmetic Boolean predicate,(70 * 2) = 140,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R049,Y1,Y1_Simple,arithmetic_expression,4,Arithmetic Boolean predicate,(94 % 77) = 17,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R050,Y1,Y1_Simple,arithmetic_expression,5,Arithmetic Boolean predicate,((84 + 4) > 84),synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R051,Y1,Y1_Simple,array_operator,1,PostgreSQL array operator predicate,"ARRAY[91, 11, 28] @> ARRAY[11]",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R052,Y1,Y1_Simple,array_operator,2,PostgreSQL array operator predicate,"ARRAY[1, 18] <@ ARRAY[1, 18, 35]",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R053,Y1,Y1_Simple,array_operator,3,PostgreSQL array operator predicate,"ARRAY[8, 25] && ARRAY[25, 142]",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R054,Y1,Y1_Simple,array_operator,4,PostgreSQL array operator predicate,"array_length(ARRAY[15, 32, 49], 1) = 3",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R055,Y1,Y1_Simple,array_operator,5,PostgreSQL array operator predicate,"39 = ANY(ARRAY[22, 39, 56])",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R056,Y1,Y1_Simple,row_comparison,1,Row constructor comparison predicate,"ROW(29, 'trace3') = ROW(29, 'trace3')",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R057,Y1,Y1_Simple,row_comparison,2,Row constructor comparison predicate,"ROW(36, 53) <> ROW(53, 36)",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R058,Y1,Y1_Simple,row_comparison,3,Row constructor comparison predicate,"ROW(43, 'alpha5') IS DISTINCT FROM ROW(43, 'alpha5')",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R059,Y1,Y1_Simple,row_comparison,4,Row constructor comparison predicate,"ROW(50, 67) < ROW(67, 84)",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R060,Y1,Y1_Simple,row_comparison,5,Row constructor comparison predicate,"ROW(57, 'gamma7') IS NOT DISTINCT FROM ROW(74, 'delta8')",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R061,Y1,Y1_Simple,conditional_expression,1,CASE/COALESCE conditional predicate,CASE WHEN 64 = 64 THEN 'delta8' ELSE 'omega0' END = 'delta8',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R062,Y1,Y1_Simple,conditional_expression,2,CASE/COALESCE conditional predicate,CASE WHEN 71 <> 71 THEN 88 ELSE 8 END = 8,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R063,Y1,Y1_Simple,conditional_expression,3,CASE/COALESCE conditional predicate,"COALESCE(NULL, 78) = 78",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R064,Y1,Y1_Simple,conditional_expression,4,CASE/COALESCE conditional predicate,"NULLIF(85, 85) IS NULL",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R065,Y1,Y1_Simple,conditional_expression,5,CASE/COALESCE conditional predicate,CASE WHEN 92 < 12 THEN TRUE ELSE FALSE END IS TRUE,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R066,Y1,Y1_Simple,cast_expression,1,Explicit cast predicate,'2'::int = 2,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R067,Y1,Y1_Simple,cast_expression,2,Explicit cast predicate,CAST('9' AS integer) = 9,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R068,Y1,Y1_Simple,cast_expression,3,Explicit cast predicate,CAST('true' AS boolean) IS TRUE,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R069,Y1,Y1_Simple,cast_expression,4,Explicit cast predicate,(23::text) = '23',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R070,Y1,Y1_Simple,cast_expression,5,Explicit cast predicate,CAST('east8' AS text) = 'east8',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R071,Y1,Y1_Simple,jsonb_predicate,1,JSONB containment/key predicate,"'{""k2"":1}'::jsonb ? 'k2'",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R072,Y1,Y1_Simple,jsonb_predicate,2,JSONB containment/key predicate,"'{""k3"":""prime1""}'::jsonb @> '{""k3"":""prime1""}'::jsonb",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R073,Y1,Y1_Simple,jsonb_predicate,3,JSONB containment/key predicate,"jsonb_typeof('{""k4"":1}'::jsonb) = 'object'",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R074,Y1,Y1_Simple,jsonb_predicate,4,JSONB containment/key predicate,"('{""k0"":1}'::jsonb ->> 'k0') = '1'",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R075,Y1,Y1_Simple,jsonb_predicate,5,JSONB containment/key predicate,"'[1,2,3]'::jsonb @> '[2]'::jsonb",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R076,Y1,Y1_Simple,range_type,1,Range type containment/overlap predicate,"int4range(72, 82, '[)') @> 75",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R077,Y1,Y1_Simple,range_type,2,Range type containment/overlap predicate,"int4range(79, 89, '[)') && int4range(80, 94, '[)')",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R078,Y1,Y1_Simple,range_type,3,Range type containment/overlap predicate,"int4range(86, 96, '[)') <@ int4range(85, 97, '[)')",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R079,Y1,Y1_Simple,range_type,4,Range type containment/overlap predicate,"lower(int4range(93, 103, '[)')) = 93",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R080,Y1,Y1_Simple,range_type,5,Range type containment/overlap predicate,"upper(int4range(3, 13, '[)')) = 13",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R081,Y1,Y1_Simple,network_inet,1,INET/CIDR containment predicate,inet '192.168.83.5' << inet '192.168.83.0/24',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R082,Y1,Y1_Simple,network_inet,2,INET/CIDR containment predicate,inet '192.168.84.0/24' >>= inet '192.168.84.5',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R083,Y1,Y1_Simple,network_inet,3,INET/CIDR containment predicate,host(inet '192.168.85.5') = '192.168.85.5',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R084,Y1,Y1_Simple,network_inet,4,INET/CIDR containment predicate,family(inet '192.168.86.5') = 4,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R085,Y1,Y1_Simple,network_inet,5,INET/CIDR containment predicate,"set_masklen(inet '192.168.87.5', 24) = inet '192.168.87.0/24'",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R086,Y1,Y1_Simple,uuid_predicate,1,UUID comparison predicate,uuid '00000000-0000-0000-0000-000000003195' = uuid '00000000-0000-0000-0000-000000003195',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R087,Y1,Y1_Simple,uuid_predicate,2,UUID comparison predicate,uuid '00000000-0000-0000-0000-000000003232' <> uuid '00000000-0000-0000-0000-000000003239',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R088,Y1,Y1_Simple,uuid_predicate,3,UUID comparison predicate,uuid '00000000-0000-0000-0000-000000003269' IS NOT DISTINCT FROM uuid '00000000-0000-0000-0000-000000003276',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R089,Y1,Y1_Simple,uuid_predicate,4,UUID comparison predicate,uuid '00000000-0000-0000-0000-000000003306'::text LIKE '00000000%',synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R090,Y1,Y1_Simple,uuid_predicate,5,UUID comparison predicate,length(uuid '00000000-0000-0000-0000-000000003343'::text) = 36,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R091,Y1,Y1_Simple,full_text_predicate,1,Full-text search Boolean predicate,"to_tsvector('english', 'west2 prime3 alpha') @@ plainto_tsquery('english', 'west2')",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R092,Y1,Y1_Simple,full_text_predicate,2,Full-text search Boolean predicate,"to_tsvector('simple', 'prime3 core4 alpha') @@ to_tsquery('simple', 'prime3')",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R093,Y1,Y1_Simple,full_text_predicate,3,Full-text search Boolean predicate,"numnode(plainto_tsquery('english', 'core4')) = 1",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R094,Y1,Y1_Simple,full_text_predicate,4,Full-text search Boolean predicate,"querytree(plainto_tsquery('english', 'safe5')) <> ''",synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R095,Y1,Y1_Simple,full_text_predicate,5,Full-text search Boolean predicate,to_tsvector('audit6 trace7 alpha') @@ websearch_to_tsquery('audit6'),synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R096,Y1,Y1_Simple,logical_composition,1,Composed Boolean predicate,(18 = 18) AND (35 = 35),synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R097,Y1,Y1_Simple,logical_composition,2,Composed Boolean predicate,(25 = 42) OR (25 = 25),synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R098,Y1,Y1_Simple,logical_composition,3,Composed Boolean predicate,NOT (32 = 49),synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R099,Y1,Y1_Simple,logical_composition,4,Composed Boolean predicate,((39 = 39) AND (56 = 56)) IS TRUE,synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
PG_BOOL_R100,Y1,Y1_Simple,logical_composition,5,Composed Boolean predicate,((46 = 46) OR (46 = 63)) AND (80 = 80),synthetic_rule_generated_postgresql_boolean_predicate,boolean_predicate_injection,True,False,False
