sample_id,text,payload_raw,prefix,ruleset_id,root_id,structure_cell_id,module_id,y_level,semantic_family,ruleset_family,skeleton_reference,required_tokens,slot_schema_id,source_split,source_view,raw_payload_hash,postgres_runtime_valid,semantic_behavior_valid,usable_for_mle,usable_for_reward_positive,training_role,minimal_seed_reason,schema_version
SEED_RS_Y2_R032_C01_MIN001,<RULE=RS_Y2_R032_C01><CELL=PG_BOOL_R032_C01><FAMILY=like_ilike> 'alpha' ILIKE 'beta','alpha' ILIKE 'beta',<RULE=RS_Y2_R032_C01><CELL=PG_BOOL_R032_C01><FAMILY=like_ilike>,RS_Y2_R032_C01,PG_BOOL_R032,PG_BOOL_R032_C01,Y2_boolean_variation,Y2,like_ilike,like_ilike,STR ILIKE STR,ILIKE,SLOT_Y2_R032_C01,train,ruleset_seed_minimal,sha256:91f18db34059deb093f85f970dd0e4b5e0f1a4a2e22d8a02cdc900ffe1953fe1,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R032_C02_MIN001,<RULE=RS_Y2_R032_C02><CELL=PG_BOOL_R032_C02><FAMILY=like_ilike> ('alpha' ILIKE 'beta'),('alpha' ILIKE 'beta'),<RULE=RS_Y2_R032_C02><CELL=PG_BOOL_R032_C02><FAMILY=like_ilike>,RS_Y2_R032_C02,PG_BOOL_R032,PG_BOOL_R032_C02,Y2_boolean_variation,Y2,like_ilike,like_ilike,(STR ILIKE STR),ILIKE,SLOT_Y2_R032_C02,train,ruleset_seed_minimal,sha256:3ad78e82f835ee751b4eb59505bcf15dc786d8c684a45e8298042c42da6ab31c,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R032_C03_MIN001,<RULE=RS_Y2_R032_C03><CELL=PG_BOOL_R032_C03><FAMILY=like_ilike> NOT ('alpha' ILIKE 'beta'),NOT ('alpha' ILIKE 'beta'),<RULE=RS_Y2_R032_C03><CELL=PG_BOOL_R032_C03><FAMILY=like_ilike>,RS_Y2_R032_C03,PG_BOOL_R032,PG_BOOL_R032_C03,Y2_boolean_variation,Y2,like_ilike,like_ilike,NOT (STR ILIKE STR),ILIKE|NOT,SLOT_Y2_R032_C03,train,ruleset_seed_minimal,sha256:e77d3209d20c394366a7143618685f6901415723e99cc0f9fe95781d0a960a0a,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R032_C04_MIN001,<RULE=RS_Y2_R032_C04><CELL=PG_BOOL_R032_C04><FAMILY=like_ilike> ('alpha' ILIKE 'beta') IS TRUE,('alpha' ILIKE 'beta') IS TRUE,<RULE=RS_Y2_R032_C04><CELL=PG_BOOL_R032_C04><FAMILY=like_ilike>,RS_Y2_R032_C04,PG_BOOL_R032,PG_BOOL_R032_C04,Y2_boolean_variation,Y2,like_ilike,like_ilike,(STR ILIKE STR) IS TRUE,ILIKE|IS|TRUE,SLOT_Y2_R032_C04,train,ruleset_seed_minimal,sha256:b077e6677661345f6421f547b954fef9373c115a517e6d8480254a6e66e9f337,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R032_C05_MIN001,<RULE=RS_Y2_R032_C05><CELL=PG_BOOL_R032_C05><FAMILY=like_ilike> ('alpha' ILIKE 'beta') IS NOT FALSE,('alpha' ILIKE 'beta') IS NOT FALSE,<RULE=RS_Y2_R032_C05><CELL=PG_BOOL_R032_C05><FAMILY=like_ilike>,RS_Y2_R032_C05,PG_BOOL_R032,PG_BOOL_R032_C05,Y2_boolean_variation,Y2,like_ilike,like_ilike,(STR ILIKE STR) IS NOT FALSE,FALSE|ILIKE|IS|NOT,SLOT_Y2_R032_C05,train,ruleset_seed_minimal,sha256:5e10baa7c3583749c11c2c73296bb8c6091d44edfcf1ed0927cc89eb7898b0b4,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R032_C06_MIN001,<RULE=RS_Y2_R032_C06><CELL=PG_BOOL_R032_C06><FAMILY=like_ilike> CASE WHEN ('alpha' ILIKE 'beta') THEN TRUE ELSE FALSE END,CASE WHEN ('alpha' ILIKE 'beta') THEN TRUE ELSE FALSE END,<RULE=RS_Y2_R032_C06><CELL=PG_BOOL_R032_C06><FAMILY=like_ilike>,RS_Y2_R032_C06,PG_BOOL_R032,PG_BOOL_R032_C06,Y2_boolean_variation,Y2,like_ilike,like_ilike,CASE WHEN (STR ILIKE STR) THEN TRUE ELSE FALSE END,CASE|ELSE|END|FALSE|ILIKE|THEN|TRUE|WHEN,SLOT_Y2_R032_C06,train,ruleset_seed_minimal,sha256:fcc4a4cdc60163cbeb69bdecb88f66876380edaef6d8d8413eed7436f80e2caa,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R032_C07_MIN001,<RULE=RS_Y2_R032_C07><CELL=PG_BOOL_R032_C07><FAMILY=like_ilike> ('alpha' ILIKE 'beta') AND (7 = 19),('alpha' ILIKE 'beta') AND (7 = 19),<RULE=RS_Y2_R032_C07><CELL=PG_BOOL_R032_C07><FAMILY=like_ilike>,RS_Y2_R032_C07,PG_BOOL_R032,PG_BOOL_R032_C07,Y2_boolean_variation,Y2,like_ilike,like_ilike,(STR ILIKE STR) AND (INT = INT),=|AND|ILIKE,SLOT_Y2_R032_C07,train,ruleset_seed_minimal,sha256:617e7972c301eda0cc320892931485a35188b9ab54ed281dec8653b4f244d8c0,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R032_C08_MIN001,<RULE=RS_Y2_R032_C08><CELL=PG_BOOL_R032_C08><FAMILY=like_ilike> ('alpha' ILIKE 'beta') OR (7 <> 15),('alpha' ILIKE 'beta') OR (7 <> 15),<RULE=RS_Y2_R032_C08><CELL=PG_BOOL_R032_C08><FAMILY=like_ilike>,RS_Y2_R032_C08,PG_BOOL_R032,PG_BOOL_R032_C08,Y2_boolean_variation,Y2,like_ilike,like_ilike,(STR ILIKE STR) OR (INT <> INT),<|<>|>|ILIKE|OR,SLOT_Y2_R032_C08,train,ruleset_seed_minimal,sha256:7584efa7e4db3bce1dd49eeb26603f1139aafb274214ed43d8c0ea1e22ce1265,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R032_C09_MIN001,<RULE=RS_Y2_R032_C09><CELL=PG_BOOL_R032_C09><FAMILY=like_ilike> (('alpha' ILIKE 'beta') = TRUE),(('alpha' ILIKE 'beta') = TRUE),<RULE=RS_Y2_R032_C09><CELL=PG_BOOL_R032_C09><FAMILY=like_ilike>,RS_Y2_R032_C09,PG_BOOL_R032,PG_BOOL_R032_C09,Y2_boolean_variation,Y2,like_ilike,like_ilike,((STR ILIKE STR) = TRUE),=|ILIKE|TRUE,SLOT_Y2_R032_C09,train,ruleset_seed_minimal,sha256:e8d5d2a2f701be79016b30a651ff98a16c592c6874cb71d9410977850cf7dad1,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R032_C10_MIN001,"<RULE=RS_Y2_R032_C10><CELL=PG_BOOL_R032_C10><FAMILY=like_ilike> COALESCE(('alpha' ILIKE 'beta'), FALSE)","COALESCE(('alpha' ILIKE 'beta'), FALSE)",<RULE=RS_Y2_R032_C10><CELL=PG_BOOL_R032_C10><FAMILY=like_ilike>,RS_Y2_R032_C10,PG_BOOL_R032,PG_BOOL_R032_C10,Y2_boolean_variation,Y2,like_ilike,like_ilike,"COALESCE((STR ILIKE STR), FALSE)",COALESCE|FALSE|ILIKE,SLOT_Y2_R032_C10,train,ruleset_seed_minimal,sha256:394252121bec21b7324013fbb47864b30d70cc8285d9d597f90f8cb02ca02fa1,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R033_C01_MIN001,<RULE=RS_Y2_R033_C01><CELL=PG_BOOL_R033_C01><FAMILY=like_ilike> 'alpha' NOT LIKE 'beta','alpha' NOT LIKE 'beta',<RULE=RS_Y2_R033_C01><CELL=PG_BOOL_R033_C01><FAMILY=like_ilike>,RS_Y2_R033_C01,PG_BOOL_R033,PG_BOOL_R033_C01,Y2_boolean_variation,Y2,like_ilike,like_ilike,STR NOT LIKE STR,LIKE|NOT,SLOT_Y2_R033_C01,train,ruleset_seed_minimal,sha256:34c5cb3b3424c3619c12a9766b47e9eb3954518a7b43093bdc81f766a6f7453e,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R033_C02_MIN001,<RULE=RS_Y2_R033_C02><CELL=PG_BOOL_R033_C02><FAMILY=like_ilike> ('alpha' NOT LIKE 'beta'),('alpha' NOT LIKE 'beta'),<RULE=RS_Y2_R033_C02><CELL=PG_BOOL_R033_C02><FAMILY=like_ilike>,RS_Y2_R033_C02,PG_BOOL_R033,PG_BOOL_R033_C02,Y2_boolean_variation,Y2,like_ilike,like_ilike,(STR NOT LIKE STR),LIKE|NOT,SLOT_Y2_R033_C02,train,ruleset_seed_minimal,sha256:7a8eae90af57d1e27689b9814d23fb307a079e6411f586c64132add1a50e9438,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R033_C03_MIN001,<RULE=RS_Y2_R033_C03><CELL=PG_BOOL_R033_C03><FAMILY=like_ilike> NOT ('alpha' NOT LIKE 'beta'),NOT ('alpha' NOT LIKE 'beta'),<RULE=RS_Y2_R033_C03><CELL=PG_BOOL_R033_C03><FAMILY=like_ilike>,RS_Y2_R033_C03,PG_BOOL_R033,PG_BOOL_R033_C03,Y2_boolean_variation,Y2,like_ilike,like_ilike,NOT (STR NOT LIKE STR),LIKE|NOT,SLOT_Y2_R033_C03,train,ruleset_seed_minimal,sha256:8a7f37e2930788cfc2c87438bef2541e6def681245e6ffa4d9c1275ae416a648,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R033_C04_MIN001,<RULE=RS_Y2_R033_C04><CELL=PG_BOOL_R033_C04><FAMILY=like_ilike> ('alpha' NOT LIKE 'beta') IS TRUE,('alpha' NOT LIKE 'beta') IS TRUE,<RULE=RS_Y2_R033_C04><CELL=PG_BOOL_R033_C04><FAMILY=like_ilike>,RS_Y2_R033_C04,PG_BOOL_R033,PG_BOOL_R033_C04,Y2_boolean_variation,Y2,like_ilike,like_ilike,(STR NOT LIKE STR) IS TRUE,IS|LIKE|NOT|TRUE,SLOT_Y2_R033_C04,train,ruleset_seed_minimal,sha256:3a5b5997bf4b3de560eac39dce7e9fd2caa85e1921bacafc15b0a58d6b3431f1,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R033_C05_MIN001,<RULE=RS_Y2_R033_C05><CELL=PG_BOOL_R033_C05><FAMILY=like_ilike> ('alpha' NOT LIKE 'beta') IS NOT FALSE,('alpha' NOT LIKE 'beta') IS NOT FALSE,<RULE=RS_Y2_R033_C05><CELL=PG_BOOL_R033_C05><FAMILY=like_ilike>,RS_Y2_R033_C05,PG_BOOL_R033,PG_BOOL_R033_C05,Y2_boolean_variation,Y2,like_ilike,like_ilike,(STR NOT LIKE STR) IS NOT FALSE,FALSE|IS|LIKE|NOT,SLOT_Y2_R033_C05,train,ruleset_seed_minimal,sha256:90a711d9eb78e4129d30a5bab144792d2dd5a84fc6ced3f5deb9794c93f366d6,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R033_C06_MIN001,<RULE=RS_Y2_R033_C06><CELL=PG_BOOL_R033_C06><FAMILY=like_ilike> CASE WHEN ('alpha' NOT LIKE 'beta') THEN TRUE ELSE FALSE END,CASE WHEN ('alpha' NOT LIKE 'beta') THEN TRUE ELSE FALSE END,<RULE=RS_Y2_R033_C06><CELL=PG_BOOL_R033_C06><FAMILY=like_ilike>,RS_Y2_R033_C06,PG_BOOL_R033,PG_BOOL_R033_C06,Y2_boolean_variation,Y2,like_ilike,like_ilike,CASE WHEN (STR NOT LIKE STR) THEN TRUE ELSE FALSE END,CASE|ELSE|END|FALSE|LIKE|NOT|THEN|TRUE|WHEN,SLOT_Y2_R033_C06,train,ruleset_seed_minimal,sha256:5a86790c91626595e42a6a666d8b963f858e5a9ee810f44f5ca597ca7823e1df,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R033_C07_MIN001,<RULE=RS_Y2_R033_C07><CELL=PG_BOOL_R033_C07><FAMILY=like_ilike> ('alpha' NOT LIKE 'beta') AND (9 = 77),('alpha' NOT LIKE 'beta') AND (9 = 77),<RULE=RS_Y2_R033_C07><CELL=PG_BOOL_R033_C07><FAMILY=like_ilike>,RS_Y2_R033_C07,PG_BOOL_R033,PG_BOOL_R033_C07,Y2_boolean_variation,Y2,like_ilike,like_ilike,(STR NOT LIKE STR) AND (INT = INT),=|AND|LIKE|NOT,SLOT_Y2_R033_C07,train,ruleset_seed_minimal,sha256:221de3e4739f65604df24aeaae08832e4a1ffc6b8276756af76bc1ac03cad5b3,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R033_C08_MIN001,<RULE=RS_Y2_R033_C08><CELL=PG_BOOL_R033_C08><FAMILY=like_ilike> ('alpha' NOT LIKE 'beta') OR (3 <> 85),('alpha' NOT LIKE 'beta') OR (3 <> 85),<RULE=RS_Y2_R033_C08><CELL=PG_BOOL_R033_C08><FAMILY=like_ilike>,RS_Y2_R033_C08,PG_BOOL_R033,PG_BOOL_R033_C08,Y2_boolean_variation,Y2,like_ilike,like_ilike,(STR NOT LIKE STR) OR (INT <> INT),<|<>|>|LIKE|NOT|OR,SLOT_Y2_R033_C08,train,ruleset_seed_minimal,sha256:6f0aff990dc292b289c42425fb7c03ab91ec5c32abd234c519fd45a3f54671f2,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R033_C09_MIN001,<RULE=RS_Y2_R033_C09><CELL=PG_BOOL_R033_C09><FAMILY=like_ilike> (('alpha' NOT LIKE 'beta') = TRUE),(('alpha' NOT LIKE 'beta') = TRUE),<RULE=RS_Y2_R033_C09><CELL=PG_BOOL_R033_C09><FAMILY=like_ilike>,RS_Y2_R033_C09,PG_BOOL_R033,PG_BOOL_R033_C09,Y2_boolean_variation,Y2,like_ilike,like_ilike,((STR NOT LIKE STR) = TRUE),=|LIKE|NOT|TRUE,SLOT_Y2_R033_C09,train,ruleset_seed_minimal,sha256:00d6c9def71cb092ed890ab8063a676bde8470f362fb1baf91e22b92ba2d4fb4,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R033_C10_MIN001,"<RULE=RS_Y2_R033_C10><CELL=PG_BOOL_R033_C10><FAMILY=like_ilike> COALESCE(('alpha' NOT LIKE 'beta'), FALSE)","COALESCE(('alpha' NOT LIKE 'beta'), FALSE)",<RULE=RS_Y2_R033_C10><CELL=PG_BOOL_R033_C10><FAMILY=like_ilike>,RS_Y2_R033_C10,PG_BOOL_R033,PG_BOOL_R033_C10,Y2_boolean_variation,Y2,like_ilike,like_ilike,"COALESCE((STR NOT LIKE STR), FALSE)",COALESCE|FALSE|LIKE|NOT,SLOT_Y2_R033_C10,train,ruleset_seed_minimal,sha256:27a5177ba1b0e65ff96c2039828f52aff3d02cf65da41c459118976489a05e39,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R034_C01_MIN001,<RULE=RS_Y2_R034_C01><CELL=PG_BOOL_R034_C01><FAMILY=like_ilike> 'alpha' LIKE 'beta','alpha' LIKE 'beta',<RULE=RS_Y2_R034_C01><CELL=PG_BOOL_R034_C01><FAMILY=like_ilike>,RS_Y2_R034_C01,PG_BOOL_R034,PG_BOOL_R034_C01,Y2_boolean_variation,Y2,like_ilike,like_ilike,STR LIKE STR,LIKE,SLOT_Y2_R034_C01,train,ruleset_seed_minimal,sha256:b36c8af434c83a320ecfffa39074a81496007f0bfb1653c0a801299d0c029acc,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R034_C02_MIN001,<RULE=RS_Y2_R034_C02><CELL=PG_BOOL_R034_C02><FAMILY=like_ilike> ('alpha' LIKE 'beta'),('alpha' LIKE 'beta'),<RULE=RS_Y2_R034_C02><CELL=PG_BOOL_R034_C02><FAMILY=like_ilike>,RS_Y2_R034_C02,PG_BOOL_R034,PG_BOOL_R034_C02,Y2_boolean_variation,Y2,like_ilike,like_ilike,(STR LIKE STR),LIKE,SLOT_Y2_R034_C02,train,ruleset_seed_minimal,sha256:80aa6b655e9fad0af3d8bc04f4488017cf9e7b833cb9ccc19d369373a0ec10df,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R034_C03_MIN001,<RULE=RS_Y2_R034_C03><CELL=PG_BOOL_R034_C03><FAMILY=like_ilike> NOT ('alpha' LIKE 'beta'),NOT ('alpha' LIKE 'beta'),<RULE=RS_Y2_R034_C03><CELL=PG_BOOL_R034_C03><FAMILY=like_ilike>,RS_Y2_R034_C03,PG_BOOL_R034,PG_BOOL_R034_C03,Y2_boolean_variation,Y2,like_ilike,like_ilike,NOT (STR LIKE STR),LIKE|NOT,SLOT_Y2_R034_C03,train,ruleset_seed_minimal,sha256:b2ee227d2cb20652348f854e226edb2185c0030f68d80f16b6876219f5292988,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R034_C04_MIN001,<RULE=RS_Y2_R034_C04><CELL=PG_BOOL_R034_C04><FAMILY=like_ilike> ('alpha' LIKE 'beta') IS TRUE,('alpha' LIKE 'beta') IS TRUE,<RULE=RS_Y2_R034_C04><CELL=PG_BOOL_R034_C04><FAMILY=like_ilike>,RS_Y2_R034_C04,PG_BOOL_R034,PG_BOOL_R034_C04,Y2_boolean_variation,Y2,like_ilike,like_ilike,(STR LIKE STR) IS TRUE,IS|LIKE|TRUE,SLOT_Y2_R034_C04,train,ruleset_seed_minimal,sha256:8159fac9a39a01d05f2cdbb9c1723836bf1cdc1af6635e4a169a06b486a56fd2,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
SEED_RS_Y2_R034_C05_MIN001,<RULE=RS_Y2_R034_C05><CELL=PG_BOOL_R034_C05><FAMILY=like_ilike> ('alpha' LIKE 'beta') IS NOT FALSE,('alpha' LIKE 'beta') IS NOT FALSE,<RULE=RS_Y2_R034_C05><CELL=PG_BOOL_R034_C05><FAMILY=like_ilike>,RS_Y2_R034_C05,PG_BOOL_R034,PG_BOOL_R034_C05,Y2_boolean_variation,Y2,like_ilike,like_ilike,(STR LIKE STR) IS NOT FALSE,FALSE|IS|LIKE|NOT,SLOT_Y2_R034_C05,train,ruleset_seed_minimal,sha256:a15f6c36c1266c04c8697714fa46c6be36ed3767388ef99aaedfbe317b455198,not_run,not_run,True,False,coverage_seed_shape_only,ruleset_missing_accepted_static_row,v5.1
